Region,Region name,Year,Symbol,Value,Label,Unit
AT,Austria,1961,A,1.7480979047105294,Cropland in use,Mha
AT,Austria,1961,B,46.91639123995167,Symbiotic fixation in cropland,Gg N
AT,Austria,1961,D,31.93181910104468,Atmospheric deposition to cropland,Gg N
AT,Austria,1961,F,46.99526509549301,Synthetic fertilizer to cropland,Gg N
AT,Austria,1961,H,114.5705331355473,Cropland harvest,Gg N
AT,Austria,1961,M,55.323236439769055,Manure to cropland,Gg N
AT,Austria,1962,A,1.7101993936010238,Cropland in use,Mha
AT,Austria,1962,B,45.975339981788224,Symbiotic fixation in cropland,Gg N
AT,Austria,1962,D,31.045228094833007,Atmospheric deposition to cropland,Gg N
AT,Austria,1962,F,57.34392296068665,Synthetic fertilizer to cropland,Gg N
AT,Austria,1962,H,114.2679895127644,Cropland harvest,Gg N
AT,Austria,1962,M,56.657293962385204,Manure to cropland,Gg N
AT,Austria,1963,A,1.7134284850014885,Cropland in use,Mha
AT,Austria,1963,B,45.30468369029688,Symbiotic fixation in cropland,Gg N
AT,Austria,1963,D,30.909165097852995,Atmospheric deposition to cropland,Gg N
AT,Austria,1963,F,60.822335093869455,Synthetic fertilizer to cropland,Gg N
AT,Austria,1963,H,115.23833055973563,Cropland harvest,Gg N
AT,Austria,1963,M,55.89083119251451,Manure to cropland,Gg N
AT,Austria,1964,A,1.7107969102484766,Cropland in use,Mha
AT,Austria,1964,B,44.3726195025443,Symbiotic fixation in cropland,Gg N
AT,Austria,1964,D,30.667311520801814,Atmospheric deposition to cropland,Gg N
AT,Austria,1964,F,65.63519084390563,Synthetic fertilizer to cropland,Gg N
AT,Austria,1964,H,117.55169847646098,Cropland harvest,Gg N
AT,Austria,1964,M,55.96846228238945,Manure to cropland,Gg N
AT,Austria,1965,A,1.6199715973278346,Cropland in use,Mha
AT,Austria,1965,B,43.43812067506381,Symbiotic fixation in cropland,Gg N
AT,Austria,1965,D,28.855137965028916,Atmospheric deposition to cropland,Gg N
AT,Austria,1965,F,80.81280731565717,Synthetic fertilizer to cropland,Gg N
AT,Austria,1965,H,106.38485120294048,Cropland harvest,Gg N
AT,Austria,1965,M,57.77618101897201,Manure to cropland,Gg N
AT,Austria,1966,A,1.6766940278483198,Cropland in use,Mha
AT,Austria,1966,B,42.89903235772209,Symbiotic fixation in cropland,Gg N
AT,Austria,1966,D,29.674978171885712,Atmospheric deposition to cropland,Gg N
AT,Austria,1966,F,81.17822498876147,Synthetic fertilizer to cropland,Gg N
AT,Austria,1966,H,120.93672650917411,Cropland harvest,Gg N
AT,Austria,1966,M,57.68955410245257,Manure to cropland,Gg N
AT,Austria,1967,A,1.656152080403252,Cropland in use,Mha
AT,Austria,1967,B,41.95017800865248,Symbiotic fixation in cropland,Gg N
AT,Austria,1967,D,29.12324354517153,Atmospheric deposition to cropland,Gg N
AT,Austria,1967,F,89.96273635968453,Synthetic fertilizer to cropland,Gg N
AT,Austria,1967,H,125.5538085351618,Cropland harvest,Gg N
AT,Austria,1967,M,60.302529572276526,Manure to cropland,Gg N
AT,Austria,1968,A,1.672,Cropland in use,Mha
AT,Austria,1968,B,40.66271670198828,Symbiotic fixation in cropland,Gg N
AT,Austria,1968,D,29.211953859439998,Atmospheric deposition to cropland,Gg N
AT,Austria,1968,F,104.18350858479627,Synthetic fertilizer to cropland,Gg N
AT,Austria,1968,H,127.5090442709037,Cropland harvest,Gg N
AT,Austria,1968,M,60.81763454352806,Manure to cropland,Gg N
AT,Austria,1969,A,1.68,Cropland in use,Mha
AT,Austria,1969,B,39.09509496786286,Symbiotic fixation in cropland,Gg N
AT,Austria,1969,D,29.1608414832,Atmospheric deposition to cropland,Gg N
AT,Austria,1969,F,111.54617406511663,Synthetic fertilizer to cropland,Gg N
AT,Austria,1969,H,130.28829405639965,Cropland harvest,Gg N
AT,Austria,1969,M,62.289111742808885,Manure to cropland,Gg N
AT,Austria,1970,A,1.6768312731668928,Cropland in use,Mha
AT,Austria,1970,B,38.03150883187621,Symbiotic fixation in cropland,Gg N
AT,Austria,1970,D,28.915317393743752,Atmospheric deposition to cropland,Gg N
