Region,Region name,Year,Animal,Symbol,Value,Label,Unit
AT,Austria,1961,Asses,E,,Excretion,Gg N
AT,Austria,1961,Beef,E,35.911181838,Excretion,Gg N
AT,Austria,1961,Buffaloes,E,,Excretion,Gg N
AT,Austria,1961,Chickens,E,5.500856,Excretion,Gg N
AT,Austria,1961,Dairy,E,58.03095149399999,Excretion,Gg N
AT,Austria,1961,Ducks,E,0.10396999999999999,Excretion,Gg N
AT,Austria,1961,Geese and guinea fowls,E,0.08935799999999999,Excretion,Gg N
AT,Austria,1961,Goats,E,1.601625074,Excretion,Gg N
AT,Austria,1961,Horses,E,7.812532,Excretion,Gg N
AT,Austria,1961,Mules,E,,Excretion,Gg N
AT,Austria,1961,"Pigeons, other birds",E,,Excretion,Gg N
AT,Austria,1961,Pigs,E,38.92489146,Excretion,Gg N
AT,Austria,1961,Rabbits and hares,E,0.15173999999999999,Excretion,Gg N
AT,Austria,1961,Sheep,E,1.429949092,Excretion,Gg N
AT,Austria,1961,Turkeys,E,0.020794,Excretion,Gg N
AT,Austria,1962,Asses,E,,Excretion,Gg N
AT,Austria,1962,Beef,E,37.87665276,Excretion,Gg N
AT,Austria,1962,Buffaloes,E,,Excretion,Gg N
AT,Austria,1962,Chickens,E,5.61898816,Excretion,Gg N
AT,Austria,1962,Dairy,E,60.097164758,Excretion,Gg N
AT,Austria,1962,Ducks,E,0.10511232000000001,Excretion,Gg N
AT,Austria,1962,Geese and guinea fowls,E,0.08420288000000001,Excretion,Gg N
AT,Austria,1962,Goats,E,1.5078896,Excretion,Gg N
AT,Austria,1962,Horses,E,7.020676,Excretion,Gg N
AT,Austria,1962,Mules,E,,Excretion,Gg N
AT,Austria,1962,"Pigeons, other birds",E,,Excretion,Gg N
AT,Austria,1962,Pigs,E,39.11641872599999,Excretion,Gg N
AT,Austria,1962,Rabbits and hares,E,0.1299776,Excretion,Gg N
AT,Austria,1962,Sheep,E,1.4392790880000002,Excretion,Gg N
AT,Austria,1962,Turkeys,E,0.020909439999999998,Excretion,Gg N
AT,Austria,1963,Asses,E,,Excretion,Gg N
AT,Austria,1963,Beef,E,37.337666516999995,Excretion,Gg N
AT,Austria,1963,Buffaloes,E,,Excretion,Gg N
AT,Austria,1963,Chickens,E,5.69736612,Excretion,Gg N
AT,Austria,1963,Dairy,E,60.983175343999996,Excretion,Gg N
AT,Austria,1963,Ducks,E,0.07863508,Excretion,Gg N
AT,Austria,1963,Geese and guinea fowls,E,0.06675496,Excretion,Gg N
AT,Austria,1963,Goats,E,1.3233376529999998,Excretion,Gg N
AT,Austria,1963,Horses,E,6.5353818,Excretion,Gg N
AT,Austria,1963,Mules,E,,Excretion,Gg N
AT,Austria,1963,"Pigeons, other birds",E,,Excretion,Gg N
AT,Austria,1963,Pigs,E,37.137098431999995,Excretion,Gg N
AT,Austria,1963,Rabbits and hares,E,0.1301156,Excretion,Gg N
AT,Austria,1963,Sheep,E,1.27506496,Excretion,Gg N
AT,Austria,1963,Turkeys,E,0.02149736,Excretion,Gg N
AT,Austria,1964,Asses,E,,Excretion,Gg N
AT,Austria,1964,Beef,E,35.562533851999994,Excretion,Gg N
AT,Austria,1964,Buffaloes,E,,Excretion,Gg N
AT,Austria,1964,Chickens,E,5.8511731199999995,Excretion,Gg N
