Region;Region name;Year;Symbol;Value;Label;Unit
AT;Austria;1961;C;1.7480979047105294;Cropland in use;Mha
AT;Austria;1961;Csum;1.7480979047105294;Crop area sum;Mha
AT;Austria;1961;Ctot;1.754;FAOSTAT cropland;Mha
AT;Austria;1961;PG;1.8014000000000001;Permanent grassland;Mha
AT;Austria;1961;TG;0.1529722;Temporary grassland;Mha
AT;Austria;1962;C;1.7101993936010238;Cropland in use;Mha
AT;Austria;1962;Csum;1.7101993936010238;Crop area sum;Mha
AT;Austria;1962;Ctot;1.746;FAOSTAT cropland;Mha
AT;Austria;1962;PG;1.785;Permanent grassland;Mha
AT;Austria;1962;TG;0.1533444;Temporary grassland;Mha
AT;Austria;1963;C;1.7134284850014883;Cropland in use;Mha
AT;Austria;1963;Csum;1.7134284850014883;Crop area sum;Mha
AT;Austria;1963;Ctot;1.721;FAOSTAT cropland;Mha
AT;Austria;1963;PG;1.7688;Permanent grassland;Mha
AT;Austria;1963;TG;0.15371659999999998;Temporary grassland;Mha
AT;Austria;1964;C;1.7107969102484766;Cropland in use;Mha
AT;Austria;1964;Csum;1.7107969102484766;Crop area sum;Mha
AT;Austria;1964;Ctot;1.724;FAOSTAT cropland;Mha
AT;Austria;1964;PG;1.7525;Permanent grassland;Mha
AT;Austria;1964;TG;0.1540888;Temporary grassland;Mha
AT;Austria;1965;C;1.6199715973278346;Cropland in use;Mha
AT;Austria;1965;Csum;1.6199715973278346;Crop area sum;Mha
AT;Austria;1965;Ctot;1.728;FAOSTAT cropland;Mha
AT;Austria;1965;PG;1.7362;Permanent grassland;Mha
AT;Austria;1965;TG;0.15446100000000001;Temporary grassland;Mha
AT;Austria;1966;C;1.6766940278483198;Cropland in use;Mha
AT;Austria;1966;Csum;1.6766940278483198;Crop area sum;Mha
AT;Austria;1966;Ctot;1.686;FAOSTAT cropland;Mha
AT;Austria;1966;PG;1.72;Permanent grassland;Mha
AT;Austria;1966;TG;0.1548332;Temporary grassland;Mha
AT;Austria;1967;C;1.6561520804032521;Cropland in use;Mha
AT;Austria;1967;Csum;1.6561520804032521;Crop area sum;Mha
AT;Austria;1967;Ctot;1.67;FAOSTAT cropland;Mha
AT;Austria;1967;PG;1.7037;Permanent grassland;Mha
AT;Austria;1967;TG;0.1552054;Temporary grassland;Mha
AT;Austria;1968;C;1.672;Cropland in use;Mha
AT;Austria;1968;Csum;1.67443424100415;Crop area sum;Mha
AT;Austria;1968;Ctot;1.672;FAOSTAT cropland;Mha
AT;Austria;1968;PG;1.6873;Permanent grassland;Mha
AT;Austria;1968;TG;0.1555776;Temporary grassland;Mha
AT;Austria;1969;C;1.68;Cropland in use;Mha
AT;Austria;1969;Csum;1.6839223803214576;Crop area sum;Mha
AT;Austria;1969;Ctot;1.68;FAOSTAT cropland;Mha
AT;Austria;1969;PG;1.6710999999999998;Permanent grassland;Mha
AT;Austria;1969;TG;0.15594980000000003;Temporary grassland;Mha
AT;Austria;1970;C;1.6768312731668928;Cropland in use;Mha
AT;Austria;1970;Csum;1.6768312731668928;Crop area sum;Mha
AT;Austria;1970;Ctot;1.681;FAOSTAT cropland;Mha
AT;Austria;1970;PG;1.6548;Permanent grassland;Mha
AT;Austria;1970;TG;0.15632200000000002;Temporary grassland;Mha
AT;Austria;1971;C;1.6642985774604464;Cropland in use;Mha
AT;Austria;1971;Csum;1.6642985774604464;Crop area sum;Mha
AT;Austria;1971;Ctot;1.681;FAOSTAT cropland;Mha
AT;Austria;1971;PG;1.6399000000000001;Permanent grassland;Mha
AT;Austria;1971;TG;0.15656;Temporary grassland;Mha
AT;Austria;1972;C;1.647825712713967;Cropland in use;Mha
AT;Austria;1972;Csum;1.647825712713967;Crop area sum;Mha
AT;Austria;1972;Ctot;1.682;FAOSTAT cropland;Mha
AT;Austria;1972;PG;1.6251;Permanent grassland;Mha
AT;Austria;1972;TG;0.15563200000000002;Temporary grassland;Mha
AT;Austria;1973;C;1.6065908986823267;Cropland in use;Mha
AT;Austria;1973;Csum;1.6065908986823267;Crop area sum;Mha
AT;Austria;1973;Ctot;1.612;FAOSTAT cropland;Mha
AT;Austria;1973;PG;1.6102;Permanent grassland;Mha
AT;Austria;1973;TG;0.103951;Temporary grassland;Mha
AT;Austria;1974;C;1.6054411810112719;Cropland in use;Mha
