Region;Region name;Animal_simple;Destination_simple;Symbol;Value;Label;Unit
AT;Austria;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
AT;Austria;Pigs;Grassland;destination_share;0.5755930934124619;Share of stored manure to destination;-
AT;Austria;Pigs;Non grassland;destination_share;0.42440690658753805;Share of stored manure to destination;-
AT;Austria;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
AT;Austria;Poultry and rabbits;Grassland;destination_share;0.05;Share of stored manure to destination;-
AT;Austria;Poultry and rabbits;Non grassland;destination_share;0.9500000000000001;Share of stored manure to destination;-
AT;Austria;Ruminants and equines;Discharged;destination_share;0.0;Share of stored manure to destination;-
AT;Austria;Ruminants and equines;Grassland;destination_share;0.46789374755444774;Share of stored manure to destination;-
AT;Austria;Ruminants and equines;Non grassland;destination_share;0.5321062524455523;Share of stored manure to destination;-
BE;Belgium;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
BE;Belgium;Pigs;Grassland;destination_share;0.19430615463592266;Share of stored manure to destination;-
BE;Belgium;Pigs;Non grassland;destination_share;0.8056938453640773;Share of stored manure to destination;-
BE;Belgium;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
BE;Belgium;Poultry and rabbits;Grassland;destination_share;0.0;Share of stored manure to destination;-
BE;Belgium;Poultry and rabbits;Non grassland;destination_share;1.0;Share of stored manure to destination;-
BE;Belgium;Ruminants and equines;Discharged;destination_share;0.0;Share of stored manure to destination;-
BE;Belgium;Ruminants and equines;Grassland;destination_share;0.060869079712457363;Share of stored manure to destination;-
BE;Belgium;Ruminants and equines;Non grassland;destination_share;0.9391309202875426;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Pigs;Grassland;destination_share;0.19826446126756597;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Pigs;Non grassland;destination_share;0.801735538732434;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Poultry and rabbits;Grassland;destination_share;0.0;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Poultry and rabbits;Non grassland;destination_share;1.0;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Ruminants and equines;Discharged;destination_share;0.0;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Ruminants and equines;Grassland;destination_share;0.08269345516982489;Share of stored manure to destination;-
BE_LU;Belgium and Luxembourg;Ruminants and equines;Non grassland;destination_share;0.917306544830175;Share of stored manure to destination;-
BG;Bulgaria;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
BG;Bulgaria;Pigs;Grassland;destination_share;0.16579061147498064;Share of stored manure to destination;-
BG;Bulgaria;Pigs;Non grassland;destination_share;0.8342093885250195;Share of stored manure to destination;-
BG;Bulgaria;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
BG;Bulgaria;Poultry and rabbits;Grassland;destination_share;0.0;Share of stored manure to destination;-
BG;Bulgaria;Poultry and rabbits;Non grassland;destination_share;1.0;Share of stored manure to destination;-
BG;Bulgaria;Ruminants and equines;Discharged;destination_share;0.0;Share of stored manure to destination;-
BG;Bulgaria;Ruminants and equines;Grassland;destination_share;0.015002292070944508;Share of stored manure to destination;-
BG;Bulgaria;Ruminants and equines;Non grassland;destination_share;0.9849977079290554;Share of stored manure to destination;-
CZ;Czechia;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
CZ;Czechia;Pigs;Grassland;destination_share;0.6606060606060606;Share of stored manure to destination;-
CZ;Czechia;Pigs;Non grassland;destination_share;0.3393939393939393;Share of stored manure to destination;-
CZ;Czechia;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
CZ;Czechia;Poultry and rabbits;Grassland;destination_share;0.1;Share of stored manure to destination;-
CZ;Czechia;Poultry and rabbits;Non grassland;destination_share;0.9;Share of stored manure to destination;-
CZ;Czechia;Ruminants and equines;Discharged;destination_share;0.0;Share of stored manure to destination;-
CZ;Czechia;Ruminants and equines;Grassland;destination_share;0.399027476848059;Share of stored manure to destination;-
CZ;Czechia;Ruminants and equines;Non grassland;destination_share;0.6009725231519409;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Pigs;Grassland;destination_share;0.5053050812378719;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Pigs;Non grassland;destination_share;0.494694918762128;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Poultry and rabbits;Grassland;destination_share;0.06879772558715717;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Poultry and rabbits;Non grassland;destination_share;0.9312022744128429;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Ruminants and equines;Discharged;destination_share;0.0;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Ruminants and equines;Grassland;destination_share;0.28804851907316636;Share of stored manure to destination;-
CZ_SK;Former Czechoslovakia;Ruminants and equines;Non grassland;destination_share;0.7119514809268337;Share of stored manure to destination;-
DE;Germany;Pigs;Discharged;destination_share;0.0;Share of stored manure to destination;-
DE;Germany;Pigs;Grassland;destination_share;0.15;Share of stored manure to destination;-
DE;Germany;Pigs;Non grassland;destination_share;0.85;Share of stored manure to destination;-
DE;Germany;Poultry and rabbits;Discharged;destination_share;0.0;Share of stored manure to destination;-
DE;Germany;Poultry and rabbits;Grassland;destination_share;0.0;Share of stored manure to destination;-
