Region,Region name,Year,Category,Symbol,Value,Label,Unit
AT,Austria,1961,Forage legumes,B,39.218711941706474,Symbiotic fixation,Gg N
AT,Austria,1961,Other forage crops,B,0.32943528184039883,Symbiotic fixation,Gg N
AT,Austria,1961,Pulses,B,0.2943487594666667,Symbiotic fixation,Gg N
AT,Austria,1961,Temporary grassland,B,7.073895256938139,Symbiotic fixation,Gg N
AT,Austria,1962,Forage legumes,B,38.22874049010489,Symbiotic fixation,Gg N
AT,Austria,1962,Other forage crops,B,0.33167633817944914,Symbiotic fixation,Gg N
AT,Austria,1962,Pulses,B,0.27557742506666666,Symbiotic fixation,Gg N
AT,Austria,1962,Temporary grassland,B,7.139345728437219,Symbiotic fixation,Gg N
AT,Austria,1963,Forage legumes,B,37.221785722146706,Symbiotic fixation,Gg N
AT,Austria,1963,Other forage crops,B,0.3339173945184995,Symbiotic fixation,Gg N
AT,Austria,1963,Pulses,B,0.5439502016000001,Symbiotic fixation,Gg N
AT,Austria,1963,Temporary grassland,B,7.2050303720316675,Symbiotic fixation,Gg N
AT,Austria,1964,Forage legumes,B,36.19784763783193,Symbiotic fixation,Gg N
AT,Austria,1964,Other forage crops,B,0.3361584508575498,Symbiotic fixation,Gg N
AT,Austria,1964,Pulses,B,0.5676642261333333,Symbiotic fixation,Gg N
AT,Austria,1964,Temporary grassland,B,7.270949187721485,Symbiotic fixation,Gg N
AT,Austria,1965,Forage legumes,B,35.15692623716053,Symbiotic fixation,Gg N
AT,Austria,1965,Other forage crops,B,0.33839950719660017,Symbiotic fixation,Gg N
AT,Austria,1965,Pulses,B,0.6056927552000001,Symbiotic fixation,Gg N
AT,Austria,1965,Temporary grassland,B,7.3371021755066765,Symbiotic fixation,Gg N
AT,Austria,1966,Forage legumes,B,34.09902152013254,Symbiotic fixation,Gg N
AT,Austria,1966,Other forage crops,B,0.3406405635356505,Symbiotic fixation,Gg N
AT,Austria,1966,Pulses,B,1.0558809386666668,Symbiotic fixation,Gg N
AT,Austria,1966,Temporary grassland,B,7.403489335387233,Symbiotic fixation,Gg N
AT,Austria,1967,Forage legumes,B,33.02413348674795,Symbiotic fixation,Gg N
AT,Austria,1967,Other forage crops,B,0.3428816198747008,Symbiotic fixation,Gg N
AT,Austria,1967,Pulses,B,1.113052234666667,Symbiotic fixation,Gg N
AT,Austria,1967,Temporary grassland,B,7.4701106673631585,Symbiotic fixation,Gg N
AT,Austria,1968,Forage legumes,B,31.93226213700674,Symbiotic fixation,Gg N
AT,Austria,1968,Other forage crops,B,0.34512267621375115,Symbiotic fixation,Gg N
AT,Austria,1968,Pulses,B,0.8483657173333333,Symbiotic fixation,Gg N
AT,Austria,1968,Temporary grassland,B,7.536966171434455,Symbiotic fixation,Gg N
AT,Austria,1969,Forage legumes,B,30.82340747090894,Symbiotic fixation,Gg N
AT,Austria,1969,Other forage crops,B,0.3473637325528015,Symbiotic fixation,Gg N
AT,Austria,1969,Pulses,B,0.32026791680000005,Symbiotic fixation,Gg N
AT,Austria,1969,Temporary grassland,B,7.6040558476011215,Symbiotic fixation,Gg N
AT,Austria,1970,Forage legumes,B,29.697569488454526,Symbiotic fixation,Gg N
AT,Austria,1970,Other forage crops,B,0.34960478889185176,Symbiotic fixation,Gg N
AT,Austria,1970,Pulses,B,0.31295485866666667,Symbiotic fixation,Gg N
AT,Austria,1970,Temporary grassland,B,7.671379695863155,Symbiotic fixation,Gg N
AT,Austria,1971,Forage legumes,B,29.41263551904411,Symbiotic fixation,Gg N
AT,Austria,1971,Other forage crops,B,0.3518458452309021,Symbiotic fixation,Gg N
AT,Austria,1971,Pulses,B,0.24958333226666668,Symbiotic fixation,Gg N
AT,Austria,1971,Temporary grassland,B,7.732309739936069,Symbiotic fixation,Gg N
AT,Austria,1972,Forage legumes,B,29.198272612673605,Symbiotic fixation,Gg N
AT,Austria,1972,Other forage crops,B,0.3540869015699525,Symbiotic fixation,Gg N
AT,Austria,1972,Pulses,B,0.2755721557333334,Symbiotic fixation,Gg N
AT,Austria,1972,Temporary grassland,B,7.735435390042987,Symbiotic fixation,Gg N
AT,Austria,1973,Forage legumes,B,24.28443380774736,Symbiotic fixation,Gg N
AT,Austria,1973,Other forage crops,B,0.3563279579090028,Symbiotic fixation,Gg N
AT,Austria,1973,Pulses,B,0.2239009344,Symbiotic fixation,Gg N
AT,Austria,1973,Temporary grassland,B,5.199416085748,Symbiotic fixation,Gg N
AT,Austria,1974,Forage legumes,B,24.166296534741882,Symbiotic fixation,Gg N
AT,Austria,1974,Other forage crops,B,0.3585690142480531,Symbiotic fixation,Gg N
AT,Austria,1974,Pulses,B,0.22234600960000003,Symbiotic fixation,Gg N
AT,Austria,1974,Temporary grassland,B,5.188126184712661,Symbiotic fixation,Gg N
