Domain Code;Domain;region;Area;Element Code;Element;Item Code (CPC);Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1990;1990;t;16500;X;Figure from international organizations;Unofficial figure
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1990;1990;1000 No;342700;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1991;1991;t;13000;E;Estimated value;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1991;1991;1000 No;270600;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1992;1992;t;13000;E;Estimated value;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1992;1992;1000 No;269741;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1993;1993;t;13260;E;Estimated value;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1993;1993;1000 No;276157;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1994;1994;t;13680;E;Estimated value;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1994;1994;1000 No;285000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1995;1995;t;13680;E;Estimated value;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1995;1995;1000 No;285000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1996;1996;t;15070;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1996;1996;1000 No;314000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1997;1997;t;16180;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1997;1997;1000 No;337037;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1998;1998;t;19060;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1998;1998;1000 No;397203;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;1999;1999;t;20200;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;1999;1999;1000 No;414000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2000;2000;t;21000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2000;2000;1000 No;530000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2001;2001;t;24000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2001;2001;1000 No;608000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2002;2002;t;24400;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2002;2002;1000 No;660000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2003;2003;t;26600;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2003;2003;1000 No;720000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2004;2004;t;29000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2004;2004;1000 No;780000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2005;2005;t;27300;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2005;2005;1000 No;738000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2006;2006;t;26500;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2006;2006;1000 No;716000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2007;2007;t;27200;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2007;2007;1000 No;736000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2008;2008;t;29700;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2008;2008;1000 No;803000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2009;2009;t;30000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2009;2009;1000 No;811000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2010;2010;t;31300;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2010;2010;1000 No;846000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2011;2011;t;31745;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2011;2011;1000 No;858000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2012;2012;t;50559;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5513;Production;231;Hen eggs in shell, fresh;2012;2012;1000 No;887000;A;Official figure;
QCL;Crops and livestock products;AL;Albania;5510;Production;231;Hen eggs in shell, fresh;2013;2013;t;47310;A;Official figure;
