Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1990","1990","No","457061","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1991","1991","No","457061","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1992","1992","No","483212","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1993","1993","No","430071","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1994","1994","No","411082","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1995","1995","No","399246","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1996","1996","No","393223","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1997","1997","No","381567","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1998","1998","No","369171","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","1999","1999","No","343062","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2000","2000","No","330672","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2001","2001","No","310000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2002","2002","No","345000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2003","2003","No","327346","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2004","2004","No","283300","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2005","2005","No","327346","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2006","2006","No","311000","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2007","2007","No","298000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2008","2008","No","300000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2009","2009","No","330000","E","Estimated value",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2010","2010","No","367583","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2011","2011","No","368183","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2012","2012","No","376485","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2013","2013","No","382638","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2014","2014","No","376121","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2015","2015","No","347100","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2016","2016","No","354100","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2017","2017","No","353300","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2018","2018","No","372900","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5114","Stocks","02196","Bees","2019","2019","No","372900","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1990","1990","An","2562393","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1991","1991","An","2583914","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1992","1992","An","2534008","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1993","1993","An","2400725","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1994","1994","An","2333887","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1995","1995","An","2328518","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1996","1996","An","2325825","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1997","1997","An","2271949","A","Official figure",""
"QCL","Crops and livestock products","040","Austria","5111","Stocks","02111","Cattle","1998","1998","An","2197940","A","Official figure",""
