Domain Code;Domain;Area Code (M49);Area;Code;Element Code;Element;Item Code;Item;Year Code;Year;Unit;Value;Flag;Flag Description;Note
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1990;1990;t;73500;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1991;1991;t;22300;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1992;1992;t;14800;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1993;1993;t;15220;A;Official figure;Official data from questionnaire
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1994;1994;t;12680;A;Official figure;Official data from questionnaire
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1995;1995;t;10000;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1996;1996;t;5500;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1997;1997;t;4200;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1998;1998;t;18000;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);1999;1999;t;5800;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2000;2000;t;12100;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2001;2001;t;10700;X;Figure from international organizations;Data sourced from another international organization
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2002;2002;t;38216.98;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2003;2003;t;37378.31;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2004;2004;t;36119.72;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2005;2005;t;37210.64;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2006;2006;t;30333.88;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2007;2007;t;31483.82;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2008;2008;t;28744.8;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2009;2009;t;33940.18;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2010;2010;t;31292.44;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2011;2011;t;36892.7;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2012;2012;t;34944.13;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2013;2013;t;30711.91;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2014;2014;t;30711.76;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2015;2015;t;36803.92;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2016;2016;t;42896.08;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2017;2017;t;39184.92;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2018;2018;t;24769.07;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2019;2019;t;38329.56;E;Estimated value;
RFN;Fertilizers by Nutrient;8;Albania;AL;5157;Agricultural Use;3102;Nutrient nitrogen N (total);2020;2020;t;32578.7;E;Estimated value;
