region;Arable land;Perm. crops;;;;
AT;71.0;33.0;;;;
BE;104.1;50.0;;;;
DK;79.3;100.0;;;;
DE;129.0;40.0;;;;
ES;76.0;55.0;;;;
FI;71.0;40.0;;;;
FR;115.6;35.0;;;;
UK;144.8;42.0;;;;
EL;81.4;43.0;;;;
IE;116.0;0.0;;;;
IT;62.9;35.0;;;;
NL;106.9;60.0;;;;
PT;86.4;50.0;;;;
SE;67.0;0.0;;;;
BG;47.0;30.0;;;;
CY;57.9;51.0;;;;
CZ;105.2;50.8;;;;
EE;57.2;30.9;;;;
HU;78.3;20.2;;;;
LT;80.5;30.9;;;;
LV;44.7;31.2;;;;
PL;70.5;66.0;;;;
RO;26.3;30.0;;;;
SI;130.3;30.0;;;;
SK;66.6;20.4;;;;
NO;111.1;50.0;;;;
CH;127.3;70.0;;;;
