ID;dairycows;othercattle;pigs;layinghens;broilers;sheep;goats;turkey;otherpoultry
AL;111;52;9.9;0.74;0.73;8.0;6.6;2.9;0.9
AT1;107;54;10.1;0.86;0.77;8.1;8.5;3.9;0.8
AT2;107;54;10.1;0.86;0.77;8.1;8.5;3.9;0.8
AT3;107;54;10.1;0.86;0.77;8.1;8.5;3.9;0.8
BE2;113;46;11.1;0.65;0.26;7.6;10.7;1.5;0.9
BE3;113;46;11.1;0.65;0.26;7.6;10.7;1.5;0.9
BG;83;42;7.6;0.86;0.69;8.1;7.2;2.9;1.1
HR;96;44;7.8;0.81;0.51;7.1;6.1;2.0;0.7
CY;79;63;9.8;0.83;0.83;6.1;4.9;2.9;0.9
CZ;101;47;10.0;0.83;0.78;7.6;9.5;2.9;1.4
DK;82;63;10.8;0.90;0.92;6.0;6.6;2.9;1.2
EE;133;41;9.3;0.87;0.86;7.0;8.3;2.9;0.9
FI;118;39;10.3;0.86;0.62;7.8;6.6;2.3;0.9
FR10;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRB0;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRC1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRC2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRD1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRD2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRE1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRE2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRF1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRF2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRF3;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRG0;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRH0;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRI1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRI2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRI3;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRJ1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRJ2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRK1;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRK2;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRL0;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
FRM0;123;52;11.9;0.71;0.77;8.7;10.7;2.8;0.9
DE1;101;43;10.5;0.87;0.79;8.0;8.5;4.0;1.2
