region;total per cap ingestion (kgN/cap/yr);cereal protein ingestion (kgN/cap/yr)
AL;6.306925457;1.73
AT1;6.039312112;1.57
AT2;6.039312112;1.57
AT3;6.039312112;1.57
BE1;5.740772017;1.51
BE2;5.740772017;1.51
BE3;5.740772017;1.51
BG;4.74618563;1.92
HR;4.840268267;1.49
CY;6.445150078;1.15
CZ;4.913214819;1.49
DK;6.229241753;1.51
EE;5.827759724;1.9
FI;6.660691872;1.8
FR10;6.516529398;1.7
FRB0;6.516529398;1.7
FRC1;6.516529398;1.7
FRC2;6.516529398;1.7
FRD1;6.516529398;1.7
FRD2;6.516529398;1.7
FRE1;6.516529398;1.7
FRE2;6.516529398;1.7
FRF1;6.516529398;1.7
FRF2;6.516529398;1.7
FRF3;6.516529398;1.7
FRG0;6.516529398;1.7
FRH0;6.516529398;1.7
FRI1;6.516529398;1.7
FRI2;6.516529398;1.7
FRI3;6.516529398;1.7
FRJ1;6.516529398;1.7
FRJ2;6.516529398;1.7
FRK1;6.516529398;1.7
FRK2;6.516529398;1.7
FRL0;6.516529398;1.7
FRM0;6.516529398;1.7
DE1;5.968858931;1.54
DE2;5.968858931;1.54
DE3;5.968858931;1.54
DE4;5.968858931;1.54
DE5;5.968858931;1.54
DE6;5.968858931;1.54
DE7;5.968858931;1.54
DE8;5.968858931;1.54
DE9;5.968858931;1.54
DEA;5.968858931;1.54
DEB;5.968858931;1.54
DEC;5.968858931;1.54
DED;5.968858931;1.54
DEE;5.968858931;1.54
DEF;5.968858931;1.54
DEG;5.968858931;1.54
EL;6.445150078;1.73
HU1;4.766319442;1.56
HU2;4.766319442;1.56
HU3;4.766319442;1.56
IE04;6.391060142;1.72
IE05;6.391060142;1.72
IE06;6.391060142;1.72
ITG;6.436843133;2.5
ITH;6.436843133;2.5
ITI;6.436843133;2.5
ITC;6.436843133;2.5
ITF;6.436843133;2.5
LV;5.526947154;1.56
LT;7.199008607;1.96
LU;5.740772017;1.51
MK;4.920748237;1.73
MT;6.436843133;1.73
ME;4.920748237;1.73
NL;6.413459808;1.29
NO;6.436914323;1.61
PL2;5.924449645;2.7
PL4;5.924449645;2.7
PL5;5.924449645;2.7
PL6;5.924449645;2.7
PL7;5.924449645;2.7
PL8;5.924449645;2.7
PL9;5.924449645;2.7
PT11;6.552633228;1.65
PT15;6.552633228;1.65
PT16;6.552633228;1.65
PT17;6.552633228;1.65
PT18;6.552633228;1.65
RO11;6.129808547;2.35
RO12;6.129808547;2.35
RO21;6.129808547;2.35
RO22;6.129808547;2.35
RO31;6.129808547;2.35
RO32;6.129808547;2.35
RO41;6.129808547;2.35
RO42;6.129808547;2.35
RS;4.920748237;1.73
SK;4.913214819;1.49
SI;5.789819772;1.79
ES11;6.194652041;1.42
ES12;6.194652041;1.42
ES13;6.194652041;1.42
ES21;6.194652041;1.42
ES22;6.194652041;1.42
ES23;6.194652041;1.42
ES24;6.194652041;1.42
ES30;6.194652041;1.42
ES41;6.194652041;1.42
ES42;6.194652041;1.42
ES43;6.194652041;1.42
ES51;6.194652041;1.42
ES52;6.194652041;1.42
ES53;6.194652041;1.42
ES61;6.194652041;1.42
ES62;6.194652041;1.42
SE1;6.259404108;1.35
SE2;6.259404108;1.35
SE3;6.259404108;1.35
CH;5.491457304;1.24
UKC;6.000139795;1.64
UKD;6.000139795;1.64
UKE;6.000139795;1.64
UKF;6.000139795;1.64
UKG;6.000139795;1.64
UKH;6.000139795;1.64
UKI;6.000139795;1.64
UKJ;6.000139795;1.64
UKK;6.000139795;1.64
UKL;6.000139795;1.64
UKM;6.000139795;1.64
UKN;6.000139795;1.64
