region;PG_N_yield;kgN/ha/yr
AL;49.703;
AT1;75.70052697;
AT2;82.28072124;
AT3;84.2470357;
BE1;;
BE2;232.5;
BE3;122.4820161;
BG;60.191;
HR;65.4108872;
CY;29.31749946;
CZ;79.71960655;
DK;100;
EE;54.59216442;
FI;30;
FR10;95;
FRB0;76.1138188;
FRC1;78.5518641;
FRC2;72.92109821;
FRD1;134.3987695;
FRD2;105.6719721;
FRE1;131.0288747;
FRE2;137.8064708;
FRF1;93.96637793;
FRF2;81.63793439;
FRF3;92.2876072;
FRG0;93.62551584;
FRH0;92.14570082;
FRI1;63.94057031;
FRI2;80.37091139;
FRI3;102.7559318;
FRJ1;18.13320593;
FRJ2;59.12113201;
FRK1;85.27263949;
FRK2;63.09178612;
FRL0;28.05187764;
FRM0;28.05187764;
DE1;100.5577017;
DE2;88.01041863;
DE3;;
DE4;88.803;
DE5;0;
DE6;0;
DE7;114.77;
DE8;82.26333333;
DE9;137.7;
DEA;106.49;
DEB;97.39733333;
DEC;90.13125;
DED;87.04360974;
DEE;92.72745012;
DEF;134.7623431;
DEG;101.811939;
EL;35.67233236;
HU1;43.7;
HU2;43.7;
HU3;43.7;
IE04;118.4;
IE05;148;
IE06;148;
ITG;24.22070595;
ITH;54.9294174;
ITI;44.79710245;
ITC;56.68066738;
ITF;40.28386515;
LV;60;
LT;55;
LU;130;
MK;37.12871287;
MT;21.16;
ME;40;
NL;220;
NO;40;
PL2;88.31992528;
PL4;88.803;
PL5;86.11918848;
PL6;86.71015901;
PL7;88.803;
PL8;85.39175359;
PL9;88.803;
PT11;71.5;
PT15;14.3;
PT16;38.7;
PT17;30;
PT18;21.3;
RO11;68.68619885;
RO12;75;
RO21;75.7637432;
RO22;45.85839257;
RO31;49.24800481;
RO32;39.33;
RO41;49.10233933;
RO42;57.75614379;
RS;49.703;
SK;65;
SI;71.33839186;
ES11;68.73388381;
ES12;70.94671924;
ES13;48.28068558;
ES21;70.82760996;
ES22;41.69944247;
ES23;32.02930775;
ES24;25.99868677;
ES30;26.59857579;
ES41;28.40003166;
ES42;19.87461992;
ES43;20.89377327;
ES51;40.15591189;
ES52;19.15809028;
ES53;13.615776;
ES61;21.19266544;
ES62;23.114848;
SE1;38.71892544;
SE2;41.70669725;
SE3;39.57437731;
CH;86.41051496;
UKC;93.32681817;
UKD;98.19062067;
UKE;94.53159926;
UKF;112.4543543;
UKG;114.9896313;
UKH;108.2063681;
UKI;;
UKJ;108.2470066;
UKK;110.1297926;
UKL;99.47744974;
UKM;66.28104995;
UKN;103.7988147;
