,region,region_name,symbol,year,value,label,unit,confidence
0,AL,Albania,A,1990,0.3014314009263088,arable area sum,Mha,
1,AL,Albania,B,1990,1.0460918648401827,symbiotic fixation in arable,Gg N,
2,AL,Albania,D,1990,3.271021916815859,atmospheric deposition to arable,Gg N,
3,AL,Albania,F,1990,60.78316406105061,synthetic fertilizer to arable,Gg N,
4,AL,Albania,H,1990,15.09770278138755,arable harvest,Gg N,
5,AL,Albania,M,1990,13.223369712022318,manure to arable,Gg N,
6,AL,Albania,Vm,1990,2.7769076395246866,N volatilization at manure application,Gg N,
7,AL,Albania,Vf,1990,6.686148046715568,N volatilization at fertilizer application,Gg N,
8,AL,Albania,NUE,1990,0.19276046574360534,N use efficiency,no unit,
9,AL,Albania,NS,1990,178.35862130450244,N surplus,kgN/ha,
10,AL,Albania,A,1991,0.2192432409507552,arable area sum,Mha,
11,AL,Albania,B,1991,0.7387485515981734,symbiotic fixation in arable,Gg N,
12,AL,Albania,D,1991,2.6043023697351155,atmospheric deposition to arable,Gg N,
13,AL,Albania,F,1991,17.31842710666971,synthetic fertilizer to arable,Gg N,
14,AL,Albania,H,1991,10.82085282867991,arable harvest,Gg N,
15,AL,Albania,M,1991,11.955785136270539,manure to arable,Gg N,
16,AL,Albania,Vm,1991,2.510714878616813,N volatilization at manure application,Gg N,
17,AL,Albania,Vf,1991,1.905026981733668,N volatilization at fertilizer application,Gg N,
18,AL,Albania,NUE,1991,0.33175232312354913,N use efficiency,no unit,
19,AL,Albania,NS,1991,79.27573228652948,N surplus,kgN/ha,
20,AL,Albania,A,1992,0.2120523276232787,arable area sum,Mha,
21,AL,Albania,B,1992,1.170153789954338,symbiotic fixation in arable,Gg N,
22,AL,Albania,D,1992,2.2987747706008776,atmospheric deposition to arable,Gg N,
23,AL,Albania,F,1992,11.4074287468854,synthetic fertilizer to arable,Gg N,
24,AL,Albania,H,1992,10.979901155378533,arable harvest,Gg N,
25,AL,Albania,M,1992,10.864271874473172,manure to arable,Gg N,
26,AL,Albania,Vm,1992,2.281497093639366,N volatilization at manure application,Gg N,
27,AL,Albania,Vf,1992,1.254817162157394,N volatilization at fertilizer application,Gg N,
28,AL,Albania,NUE,1992,0.42655915975408143,N use efficiency,no unit,
29,AL,Albania,NS,1992,52.93228278389479,N surplus,kgN/ha,
30,AL,Albania,A,1993,0.216693447604944,arable area sum,Mha,
