,region,region name,crop,year,symbol,label,unit,value,confidence
0,AL,Albania,Barley,1990,A,harvested area,Mha,0.006,unprocessed
1,AL,Albania,Barley,1990,H,harvested quantity,Gg N,0.0528,unprocessed
2,AL,Albania,Barley,1990,Y,yield,kg N / ha,8.799999999999999,calculated
3,AL,Albania,Barley,1991,A,harvested area,Mha,0.003,unprocessed
4,AL,Albania,Barley,1991,H,harvested quantity,Gg N,0.0528,unprocessed
5,AL,Albania,Barley,1991,Y,yield,kg N / ha,17.599999999999998,calculated
6,AL,Albania,Barley,1992,A,harvested area,Mha,0.004,unprocessed
7,AL,Albania,Barley,1992,H,harvested quantity,Gg N,0.1056,unprocessed
8,AL,Albania,Barley,1992,Y,yield,kg N / ha,26.4,calculated
9,AL,Albania,Barley,1993,A,harvested area,Mha,0.003,unprocessed
10,AL,Albania,Barley,1993,H,harvested quantity,Gg N,0.0704,unprocessed
11,AL,Albania,Barley,1993,Y,yield,kg N / ha,23.46666666666667,calculated
12,AL,Albania,Barley,1994,A,harvested area,Mha,0.004,unprocessed
13,AL,Albania,Barley,1994,H,harvested quantity,Gg N,0.1584,unprocessed
14,AL,Albania,Barley,1994,Y,yield,kg N / ha,39.6,calculated
15,AL,Albania,Barley,1995,A,harvested area,Mha,0.003,unprocessed
16,AL,Albania,Barley,1995,H,harvested quantity,Gg N,0.1232,unprocessed
17,AL,Albania,Barley,1995,Y,yield,kg N / ha,41.06666666666667,calculated
18,AL,Albania,Barley,1996,A,harvested area,Mha,0.002,unprocessed
19,AL,Albania,Barley,1996,H,harvested quantity,Gg N,0.0528,unprocessed
20,AL,Albania,Barley,1996,Y,yield,kg N / ha,26.4,calculated
21,AL,Albania,Barley,1997,A,harvested area,Mha,0.0026,unprocessed
22,AL,Albania,Barley,1997,H,harvested quantity,Gg N,0.06512,unprocessed
23,AL,Albania,Barley,1997,Y,yield,kg N / ha,25.046153846153846,calculated
24,AL,Albania,Barley,1998,A,harvested area,Mha,0.0017,unprocessed
25,AL,Albania,Barley,1998,H,harvested quantity,Gg N,0.05632,unprocessed
26,AL,Albania,Barley,1998,Y,yield,kg N / ha,33.129411764705885,calculated
27,AL,Albania,Barley,1999,A,harvested area,Mha,0.002,unprocessed
28,AL,Albania,Barley,1999,H,harvested quantity,Gg N,0.05104,unprocessed
29,AL,Albania,Barley,1999,Y,yield,kg N / ha,25.52,calculated
30,AL,Albania,Barley,2000,A,harvested area,Mha,0.0012,unprocessed
31,AL,Albania,Barley,2000,H,harvested quantity,Gg N,0.03168,unprocessed
32,AL,Albania,Barley,2000,Y,yield,kg N / ha,26.400000000000002,calculated
33,AL,Albania,Barley,2001,A,harvested area,Mha,0.0012,unprocessed
34,AL,Albania,Barley,2001,H,harvested quantity,Gg N,0.0528,unprocessed
35,AL,Albania,Barley,2001,Y,yield,kg N / ha,44.00000000000001,calculated
36,AL,Albania,Barley,2002,A,harvested area,Mha,0.0008,unprocessed
37,AL,Albania,Barley,2002,H,harvested quantity,Gg N,0.06688,unprocessed
38,AL,Albania,Barley,2002,Y,yield,kg N / ha,83.6,calculated
39,AL,Albania,Barley,2003,A,harvested area,Mha,0.0016,unprocessed
40,AL,Albania,Barley,2003,H,harvested quantity,Gg N,0.05104,unprocessed
41,AL,Albania,Barley,2003,Y,yield,kg N / ha,31.9,calculated
42,AL,Albania,Barley,2004,A,harvested area,Mha,0.0015,unprocessed
43,AL,Albania,Barley,2004,H,harvested quantity,Gg N,0.06512,unprocessed
44,AL,Albania,Barley,2004,Y,yield,kg N / ha,43.413333333333334,calculated
