region,year,symbol,value,label,unit,confidence
AL,1990,Q,73.5,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1991,Q,22.3,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1992,Q,14.8,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1993,Q,15.22,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1994,Q,12.68,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1995,Q,10.0,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1996,Q,5.5,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1997,Q,4.2,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1998,Q,18.0,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,1999,Q,5.8,total quantity of synthetic N fertilizer applied,Gg N,filled (b)
AL,2000,Q,13.943,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2001,Q,18.131,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2002,Q,18.187,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2003,Q,20.028,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2004,Q,16.511,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2005,Q,17.281,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2006,Q,14.584,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2007,Q,14.803,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2008,Q,13.442,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2009,Q,15.631,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2010,Q,16.566,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2011,Q,17.966,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
AL,2012,Q,17.097,total quantity of synthetic N fertilizer applied,Gg N,unprocessed
