region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,395.1,,2.9,3.2,12.5,,284.7857695339134,,,0.0,,602.8,2.7,2.6,0.1,,,22.7,,,145.0,55.7,,,,,,,68.3,46.9,2.2,52.5,,413.70000000000005
AT1,934.6,66.0,182.9348908244901,840.4,88.9994297989926,14.91221063205897,721.1524715636699,63.72690404182306,8.847552908430716,0.0,230.55096498467853,2735.2,181.8,55.7,20.5,0.0,6.159646464646465,104.3,,1454.6,545.6,2827.1,,,0.0,,325.3122989950229,,342.1,0.0,,207.00211771578796,,2422.1244002820436
AT2,48.2,2.6324854716827253,15.192586181167972,125.8,11.41418353142451,4.844321975924866,698.4889056322056,20.179916196253433,6.612449432665305,0.0,14.976884106243407,928.8,19.2,0.5,17.0,0.0,6.643282828282828,10.8,,1000.5,31.5,16.2,,,0.0,,108.58069527729731,,18.3,0.0,,306.1325982181978,,243.24037746269693
AT3,292.8,1.3342577973946104,42.97252299434188,245.3,63.78638666958288,19.043467392016165,418.67592147279885,43.893179761923506,0.5353516426666631,0.0,14.772150909078075,1106.9,34.3,0.4,12.9,0.0,0.49707070707070705,68.0,,1409.8,69.8,470.9,,,0.0,,214.8070057276799,,0.1,0.0,,144.56528406601433,,723.9019655243371
BE2,634.8,0.0,3.526656932295505,94.6,4.82244194621063,,417.9121420781716,26.53490640960856,,0.0,0.0,1056.3,0.4,0.0,0.0,20.0,,2.9,,5363.7,1646.3,1994.0,,33.32918066399653,,,236.36679080373892,559.9044046389115,0.0,0.0,,516.4428485759151,,764.2840052881147
BE3,1136.0,0.0,3.973343067704496,279.6,23.677558053789372,,60.86345442021187,31.56509359039144,,0.0,0.0,1477.8,19.0,0.0,0.0,46.1,,11.6,,2313.3,806.9,3367.9,,32.77081933600346,,,702.633209196261,361.8955953610885,0.0,0.0,,46.257151424084874,,1474.8159947118854
BG,3751.3,48.7,26.6,631.4,67.5,0.6183386845644048,1629.1730002076333,7.9,0.7,14.4,4.3,5856.2,590.4,579.4,5.6,,9.7,38.1,,1013.3,478.3,61.8,7.9,0.1,0.0,7.2,289.0,18.4,361.8,,,326.6,,4552.799999999999
CH,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
CY,6.47652682001207,11.6,,53.0,0.3,,,2.029161277126396,,,,64.9,,,,,,,,,,,139.6,,,,,,124.0,10.7,114.0,,,64.89999999999999
CZ,3844.7,,261.2,2093.1,179.7,4.159503166557398,595.3299978370029,79.1,,,10.5,6668.9,717.0,36.5,0.3,0.0,62.0,139.2,,8310.7,1519.8,3479.4,565.8,11.2,,,,,55.2,,,,,6468.3
