region,wheatspelt1,wheatspelt2,rye,Barley,oats1,oats2,Grain maize,triticale,sorghum,rice,othercereals,graincereals,oilrape,sunflower,soy,flax,otheroilseeds,Pulses,otherroot,Green maize,Potatoes,Sugar beet,Vegetables and other,fibreflax,hemp,fibrecotton,legharvgr,Temporary grassland,grapes,olives,citrus,fruits,other permanent,sumcereals
AL,70.5,,1.2,3.1,14.7,,58.5,,,1.905579399141631,,148.0,,0.7,0.3,,,13.7,,14.6,9.7,0.7,38.9,,,,143.7,143.7,10.0,44.1,1.0,16.3,,148.0
AT1,225.72,22.98,30.12,83.68,12.96,1.0962110598512573,85.94,29.65,1.29,0.0,7.469245749628853,499.89,31.7,17.5,30.38,0.95,20.818096135721017,17.94,0.05853353973168215,31.95,18.29,37.81,,0.0,0.960336270112866,0.0,41.71,18.96,43.50877424766028,0.0,0.0,2.077193749839601,,500.9054568094801
AT2,15.32,0.14,2.59,13.5,2.04,0.358444882896456,59.18,8.39,0.86,0.0,0.48189372885283466,103.67,0.38,0.41,6.73,0.06,21.868677348413446,1.23,0.017360165118679053,18.18,1.1,0.25,,0.0,0.029191086573001474,0.0,13.21,19.16,2.9812257523397245,0.0,0.0,5.484372187352717,,102.86033861174928
AT3,53.47,0.13,7.3,43.24,7.51,1.3353440572522866,50.13,16.84,0.11,0.0,0.478860521518313,180.75,7.58,0.28,12.68,0.28,1.3132265158655354,5.63,0.05410629514963881,34.51,1.84,5.44,,0.0,0.1204726433141327,0.0,23.49,14.0,0.043276986612472916,0.0,0.0,1.6384340628076814,,180.5442045787706
BE2,70.69,0.0,0.23,17.76,0.55,0.0,47.36,2.4,0.0,0.0,0.11167232793589026,139.14,0.46,0.0,0.0,0.036476404992192846,,0.51,2.684434729916897,117.49,50.64,18.68,,4.79,0.05925925925925926,0.0,1.48,54.09,,0.0,0.0,16.740567901234567,0.0,139.1016723279359
BE3,144.36,0.0,0.35,37.51,3.09,0.0,4.68,3.58,0.0,0.0,3.40832767206411,196.93,10.92,0.0,0.0,0.12,,2.38,1.9955652700831021,51.14,38.41,36.68,,10.25,0.3407407407407408,0.0,2.74,36.24,,0.0,0.0,1.499432098765432,0.0,196.97832767206413
BG,1179.1,13.49,7.47,159.83,15.32,0.0,406.94,16.1,3.29,11.99,3.11,1816.64,171.51,817.51,14.16,0.0,15.74,30.81,0.76,31.1,8.38,0.0,39.52,0.0,0.0,4.49,92.19,0.91,36.55,0.0,0.0,37.18,0.0,1816.6399999999999
CH,88.46,0.0,2.01,28.64,1.68,0.22,14.17,8.72,0.0,0.08,0.11,144.1,20.98,4.88,1.77,0.14,0.07,5.99,0.51,47.0,11.0,19.17,16.54,0.0,0.03,0.0,0.0,126.11,14.98,0.0,0.0,6.43,0.0,144.09
CY,0.78,7.61,0.0,14.54,0.37,0.0,0.0,0.51,0.0,0.0,0.0,23.8,0.0,0.0,0.0,0.0,0.08,0.45,0.0,0.2,5.04,0.0,2.95,0.0,0.0,0.0,2.55,0.43,6.07,10.61,3.41,5.34,0.96,23.81
CZ,839.71,0.0,21.45,325.73,37.57,3.33,86.41,39.6,0.0,0.0,5.23,1359.01,392.99,15.65,10.61,1.48,49.45,35.63,0.5,234.4,23.41,60.74,10.91,0.0,0.56,0.0,169.13,36.44,15.8,0.0,0.0,14.92,0.0,1359.0300000000002
DE1,227.9,2.7,9.3,144.4,18.4,1.6757441418619379,63.6,22.7,,0.0,,491.4,48.6,0.5,5.9,0.3,,11.7,0.34020618556701027,134.4,5.4,15.6,,,,0.0,38.2,10.9,,0.0,0.0,17.3996991485653,0.0,490.67574414186197
DE2,528.8,5.9,35.4,328.3,21.8,3.1257758074730844,125.4,74.5,,0.0,,1123.3,110.2,1.3,6.5,0.2,,23.6,0.5008591065292096,435.3,40.2,59.6,,,,0.0,97.8,21.1,,0.0,0.0,5.818180854451596,0.0,1123.225775807473
DE4,172.1,0.21125883491542657,175.8,98.8,13.1,0.5266624445851804,19.2,41.2,,0.0,,523.2,134.0,9.5,0.7,1.9,,23.1,0.2268041237113402,179.7,9.5,7.8,,,,0.0,29.2,35.9,,0.0,0.0,3.1049110016090107,0.0,520.9379212795006
DE7,161.2,0.5,14.8,82.6,8.0,1.0259658011399617,5.6,18.1,,0.0,,292.1,60.9,0.1,0.4,0.0669282800948571,,8.2,0.3307560137457044,46.3,3.9,13.4,,,,0.0,4.1,11.3,,0.0,0.0,1.0221128528090642,0.0,291.82596580113994
DE8,342.1,0.0,55.6,134.4,7.2,0.4719442685243825,3.0,11.9,,0.0,,555.5,228.5,0.4,0.2,0.2,,18.0,0.2268041237113402,151.0,11.5,24.2,,,,0.0,12.8,22.0,,0.0,0.0,1.7297294432153396,0.0,554.6719442685244
DE9,410.5,0.0,121.4,198.8,9.9,0.9849271690943634,64.7,81.3,,0.0,,888.3,122.3,0.1,0.3,0.2,,11.4,0.595360824742268,524.7,107.9,86.4,,,,0.0,8.9,59.9,,0.0,0.0,8.372723396855726,0.0,887.5849271690944
DEA,268.6,0.0,16.6,152.1,7.3,0.9096896770107664,88.6,68.6,,0.0,,603.5,59.0,0.05621274943139934,0.2,0.028295023204372164,,8.2,1.9467353951890032,196.7,31.0,48.4,,,,0.0,4.2,30.0,,0.0,0.0,2.8304663616251005,0.0,602.7096896770108
DEB,115.7,2.3,8.9,72.1,4.3,0.6839772007599746,9.4,17.1,,0.0,,231.0,45.2,0.3,,0.1,,3.340358455301647,0.17010309278350513,33.5,6.7,16.7,,,,0.0,8.2,14.2,,0.0,0.0,5.0304610192075625,0.0,230.48397720075997
DEC,9.6,0.2952533114480661,3.0,4.5,1.5,0.18467384420519317,0.23933379838502267,2.5,,0.0,,21.5,3.9,0.04261663466668736,,0.019707667149712706,,0.3287376039238324,0.028350515463917526,4.5,0.1,0.0,,,,0.0,1.0,2.1,,0.0,0.0,0.15724813120139447,0.0,21.81926095403828
DED,195.1,0.7,27.5,117.1,8.4,0.2325522482583914,16.3,18.3,,0.0,,384.2,129.8,1.2,0.3,0.1,,14.8,0.29295532646048106,79.2,6.3,12.7,,,,0.0,18.7,17.4,,0.0,0.0,3.773955148833468,0.0,383.6325522482584
DEE,331.2,9.0,67.5,104.5,4.4,0.2325522482583914,15.8,18.4,,0.0,,551.4,170.6,2.5,0.9,0.5,,27.1,0.29295532646048106,128.0,12.7,34.8,,,,0.0,13.0,9.3,,0.0,0.0,1.9255500175985518,0.0,551.0325522482584
DEF,204.05667945761576,,27.0,69.6,7.8,0.5061431285623812,1.0,8.5,,0.0,,303.7,93.0,0.019612448620082098,0.0,0.07917709209978804,,4.2,0.2551546391752577,165.2,5.4,7.1,,,,0.0,7.5,33.6,,0.0,0.0,0.8648647216076698,0.0,318.4628225861781
DEG,223.1,4.2,7.4,97.0,3.3,0.23939202026599113,3.8,12.9,,0.0,,351.9,118.8,0.7,0.3,0.6,,17.9,0.29295532646048106,57.8,1.8,7.8,,,,0.0,17.8,11.0,,0.0,0.0,2.2800979024202204,0.0,351.939392020266
DK,583.0,0.0,99.6,706.9,53.1,6.5,5.7,10.1,0.0,0.0,0.0,1464.8,163.2,0.0,0.0,0.0,0.0,15.7,4.4,182.4,46.1,33.1,11.85,0.0,0.0,0.0,2.1,257.2,0.0,0.0,0.0,3.39,0.0,1464.9
EE,164.5,0.0,12.4,135.4,29.3,1.0,0.0,5.7,0.0,0.0,3.1,351.4,70.1,0.0,0.0,0.12,3.76,55.42,0.26,7.96,3.71,0.0,2.48,0.0,0.0,0.0,36.85,121.66,0.0,0.0,0.0,1.62,0.0,351.40000000000003
EL,149.42,388.17,14.76,132.8,96.0,8.06,139.48,21.11,2.74,35.14,0.26,987.95,4.01,85.1,1.55,0.02,1.78,88.06,0.0,118.69,19.13,5.46,83.18,0.0,0.0,236.04,25.97,109.83,98.09,969.07,45.86,132.69,5.51,987.94
ES11,14.45,0.01648673671311646,5.7,0.47,0.13,0.14204908878716083,18.48,0.06119124108554832,0.0,0.0,,39.23,0.0,0.0,0.0,0.0,,2.14,6.359939048056291,67.62,19.05,0.005277698671651683,,0.0,,0.0,0.08,207.51,23.4264397620197,,,1.8057480628649334,,39.44972706658582
ES12,0.05,0.04633907815486987,0.0,0.0,0.0,,0.41,0.0,0.0,0.0,,0.46,0.1384517878548888,0.0,0.0,0.0,,1.19,0.22046253336790575,7.34,0.84,0.0,,0.0,,0.0,0.01,5.78,0.08093847262992593,,,5.121191521348762,,0.5063390781548699
ES13,0.78,0.10695020908776318,0.05,0.14,0.1,,0.42,0.06,0.01,0.0,,1.55,0.04,0.03,0.0,0.0,,0.115973923019738,0.0465733189012172,1.2,0.2,0.007716318924611576,,0.0,,0.0,0.26,0.24,0.017306252105089855,,,0.2259349200595042,,1.6669502090877633
ES21,25.01,0.010527523035878505,0.18,13.35,6.37,,0.18,0.23,0.0,0.0,,45.32,1.02,1.17,0.0,0.005351121004449152,,3.72,0.19060488290101654,0.9,1.56,1.66,,0.0,,0.0,1.26,1.87,9.327079325193308,0.10901430617897022,,1.8448587261349103,,45.33052752303588
ES22,76.72,1.05,0.08,85.16,11.25,,14.86,1.28,0.06,2.15,0.018884167457210742,192.71,5.47,4.01,0.03,3.9778636668645156e-05,,8.86,,4.22,0.33,0.17,,0.0,,0.0,11.27,6.75,15.739321881487998,2.940062311131408,,6.307785127765981,,192.6288841674572
ES23,30.4,0.05,0.14,17.98,0.47,,0.49,1.44,0.0,0.0981324253245887,,50.96,0.97,0.57,0.06382995409313472,2.3980331627506944e-05,,1.11,0.019209436238060797,0.11,1.22,1.34,,0.0,,0.0,1.71,0.07,30.20623833058563,2.8314289144965983,,12.334360596909137,,51.068132425324585
ES24,150.99,126.87,19.42,434.6,25.06,,82.81,35.35,2.81,5.49,0.14527990686002706,885.76,4.12,15.91,0.1,0.001716916951851695,0.027424657534246576,28.01,1.4182006320721805,0.9829713145190595,0.51,0.019452430586368082,,0.0,,0.0,103.64,12.72,39.31489518816576,63.45627583990085,,85.97192208469347,,883.5452799068602
ES30,24.16,0.4,1.3,39.51,5.76,0.020498287659812712,5.77,5.58,0.02,0.009651362037630389,0.2192856626121684,82.52,0.83,1.19,0.0,9.8305227940825e-05,,6.75,,0.14607127939594206,0.1,0.019115038755829424,,0.0,,0.0,1.84,2.22,15.034619334664912,24.67801968016843,,0.3765582000991737,,82.7494353123096
ES41,900.46,4.45,101.66,786.33,87.19,,102.05,30.72,0.2,0.0,0.3472148620911458,2013.89,42.43,248.53,0.28,0.01,4.0588493150684934,126.59,0.04367700493507302,9.98,19.87,22.49,,0.0,,0.0,192.61,7.01,56.59720358426714,9.866963834478776,,5.649228189510377,,2013.4072148620912
ES42,298.02,9.55,33.17,779.24,175.74,0.052380025051232425,23.33,90.02,0.41,0.13,0.24615152366736404,1410.87,11.12,182.46,0.034398929193894465,0.003333857008051293,0.3565205479452055,173.94,0.5114428017589685,2.38,2.26,1.5118436811466636,,0.0,,0.0,25.96,1.9,476.36592594502787,322.7322722627779,,36.442779150367976,,1409.9085315487189
ES43,68.9,10.02,0.19,54.71,52.64,6.505622709168478,49.33,15.21,0.30227157467147264,24.65,0.020498691697827233,280.89,0.42,18.24,0.53,0.0005982479109186863,0.16454794520547944,12.56,0.008340203500540782,0.57,0.55,0.28798123735094244,,0.0,,0.0,24.61,17.38,64.46999886385511,274.6015514440794,,17.509745958749704,,282.4783929755377
ES51,95.45,0.25,1.23,178.68,8.64,0.44999751936294946,38.51,4.61,1.27,20.86,0.5137976149811845,350.31,12.81,3.01,0.05,0.01,0.027349726775955586,11.18,0.008888656112618944,9.45,0.97,0.0234758311250529,,0.0,,0.0,38.45,10.65,52.387233036774724,134.75590357957978,,119.18012725658768,,350.46379513434414
ES52,4.92,0.26,0.84,15.82,5.34,,0.58,0.58,0.07,15.4,0.006575241460370634,43.84,0.4250355796742574,1.5,0.0081035938690617,5.064177208698956e-05,0.027424657534246576,1.31,0.49951923373416707,0.29,2.24,0.0,,0.0,0.014545454545454545,0.00933136984763525,2.64,0.1255827582275093,73.41613808292514,106.7607375492133,,265.0562718205471,,43.81657524146037
ES53,5.14,0.02,0.011205531395153227,21.37,15.32,,0.29,1.45,0.0021203520450257317,0.03,0.007568569933526966,43.61,0.022646470964990124,0.01,0.015319188982352332,0.0,0.027349726775955586,3.5,0.05203590963933537,0.11,1.74,0.0,,0.0,,0.0,1.68,11.89,1.335073392784778,8.994849385047013,,59.384695270956534,,43.640894453373704
ES61,105.46,294.71,26.49,113.46,96.2,0.08945236997036506,20.86,40.83,3.26,40.11,5.274743759239175,744.56,12.25,241.0,0.01,0.00031263783498540053,5.375232876712329,78.75,0.7013464916280452,1.5,10.76,7.2,,0.0,0.06545454545454546,60.76,18.64,3.47,39.69002054420915,1549.3763021286943,,211.6203505667876,,746.7441961292095
ES62,7.51,0.54,0.75,22.23,19.29,,0.14,0.42,0.03,0.45,,51.36,0.06958767770580991,0.04,0.0,0.0,,0.21,0.009759847154579301,0.06,5.15,0.0012470161939157518,,0.0,,0.05,0.65,0.009767827613277177,37.71887425540887,20.58661876425382,,106.13844254661726,,51.36
FI,215.1,0.0,26.0,435.9,304.9,13.6,0.0,0.0,0.0,0.0,2.6,998.1,60.4,0.0,0.0,1.5,0.0,26.2,0.0,0.0,21.7,11.6,17.54,0.0,0.0,0.0,0.0,615.5,0.0,0.0,0.0,3.13,0.0,998.1
FR10,235.71,3.8,0.33,83.07,2.53,0.18039850536163565,35.34,1.73,0.14,0.0,0.3709494540111449,363.29,80.0,1.18,0.26,0.49,0.41785557986870897,19.45,0.08044452718272962,1.93,4.41,42.78,,2.48,0.14421231637667234,0.0,1.55,3.6,,,,1.4119720927776154,0.0,363.2013479593728
FRB0,683.81,93.92,3.69,303.32,7.76,4.090305355133625,111.43,24.58,4.18,0.0,34.12305865637742,1254.6,313.2,46.38,1.94,6.78,0.6647702407002188,43.44,0.3486586070464108,37.0,11.82,31.0,,0.45,0.142375782372104,0.0,28.08,119.18,19.592490526902285,,,5.847625116512371,0.0,1270.903364011511
FRC1,331.2,1.05,1.41,197.16,11.41,4.996268709009185,38.29,25.08,1.07,0.0,,611.3,167.12,12.76,14.67,2.05,5.441619256017506,24.35,,35.02,0.63,1.53,,0.0,0.6897451669026988,0.0,15.5,103.71,23.670984130621154,,,1.256986567707739,0.0,611.6662687090092
FRC2,68.33,0.32,0.97,32.86,1.45,1.7339647893009058,22.48,5.05,0.14,0.0,0.007348396077979811,133.93,29.72,1.22,10.21,0.13,,1.23,0.23163148392416644,24.1,0.15,0.9121400705191101,,0.0,1.1150688843541368,0.0,4.2,70.97,1.8692216789308065,,,0.25658497791274737,0.0,133.34131318537888
FRD1,216.32,0.25,0.17,61.63,6.26,1.9507091931491571,14.5,6.58,0.07,0.0,0.32639680499334334,307.56,51.81,0.35,0.03,0.09,,15.12,1.830504568007064,178.8,1.7,9.34,,8.05,0.10088579977229792,0.0,7.1,112.8,,,,2.2994620402141472,0.0,308.0571059981425
FRD2,267.12,0.26,0.09,66.25,1.42,0.2099319974185683,7.04,0.86,0.03,0.0,0.08776118817229363,343.32,83.1,0.03,0.06,0.13,0.12345733041575493,14.38,4.38823137502776,47.8,14.06,20.8,,46.7,,0.0,4.25,20.2,,,,1.5495151068348674,0.0,343.36769318559084
FRE1,292.5,0.23,0.06,56.15,2.64,0.13330397619875095,14.5,1.05,0.01,0.0,0.06816378544631936,367.4,28.01,0.01,0.018355059729819233,0.32,,6.21,3.6238252456676494,64.6,57.0,57.22,,15.81,0.005585139646671816,0.0,2.17,14.8,,,,0.467671262926468,0.0,367.34146776164505
FRE2,544.0,0.33,0.58,122.4,4.37,0.26026604251075436,32.79,1.64,0.07,0.0,0.0624636153742396,706.64,133.42,0.29,0.08,0.96,0.8167177242888403,33.22,1.9995522124134384,42.68,48.36,138.2,,13.85,,0.0,7.3,14.23,2.226986482801184,,,1.7366824502055838,0.0,706.5027296578851
FRF1,52.8,0.02616772960563532,0.18,5.56,0.48,0.1635054044028961,123.95,1.64,0.34,0.0,0.10555182412996365,185.42,3.98,0.6,4.47,0.02208391204120088,0.03798687089715536,0.31,0.061706965467383884,13.2,1.28,6.73,,0.15643223013731397,0.1979589058616427,0.0,1.0,9.82,12.099127903010855,,,0.9241488105083556,0.0,185.24522495813852
FRF2,410.34,0.23,0.37,282.55,4.78,0.3118574933524032,35.66,5.18,0.26,0.0,0.44050190429737107,740.26,190.74,7.37,1.19,0.5,0.42735229759299787,37.5,0.2642863954560063,41.58,17.54,90.98,,0.56,6.697524112782329,0.0,56.27,19.29,22.899336999337507,,,0.30572548441255354,0.0,740.1223593976497
FRF3,259.62,0.04,0.57,150.77,3.96,0.7986085233782301,14.11,10.69,0.3,0.0,0.8596995998425796,440.24,128.27,7.79,0.31,1.11,,15.66,0.08556651194636196,81.13,0.52,0.18,,0.4,,0.0,6.35,51.7,0.30866375807744706,,,1.798754918160676,0.0,441.7183081232208
FRG0,405.47,36.71,1.06,86.08,4.67,10.614199473381612,116.58,39.49,2.99,0.0,4.595383071590704,708.62,74.73,25.21,0.93,3.69,0.5982932166301971,20.54,1.7090260709249856,274.71,1.26,0.91,,0.16,1.948209496281172,0.0,22.61,452.91,35.20037486219926,,,9.237074213322094,0.0,708.2595825449724
FRH0,303.49,1.0931268255824034,0.37,119.0,8.67,7.760508813032955,118.79,28.67,0.2,0.0,8.175087296381392,588.26,42.24,0.05,0.05,0.47,0.04748358862144421,8.88,4.510739865333886,322.0,11.76,0.26,,0.03,0.10784385424877108,0.0,2.83,445.87,,,,2.6416315896865417,0.0,596.2187229349969
FRI1,110.75,3.78,0.62,24.97,2.51,1.0641867534873648,290.15,19.76,8.07,0.0,0.4447644358276373,464.61,15.45,65.26,28.21,0.22,,5.03,0.16198212113609614,41.11,2.68,0.1414910192751933,,0.014024505240229034,,0.0,16.47,161.95,119.19584544119652,,,19.86554109583392,0.0,462.118951189315
FRI2,31.34,0.2,1.27,13.27,2.37,3.677157098176237,6.29,31.36,0.19,0.0,1.6226634435608958,95.91,3.93,2.49,0.15,0.01,,0.93,0.286874150490829,30.38,0.37,0.006032383764679482,,0.003222826502100593,,0.0,2.91,214.39,0.3712359787652734,,,3.0295513162055325,0.0,91.58982054173713
FRI3,396.4,60.07,0.57,116.96,4.54,2.8400193381563588,160.64,25.28,3.78,0.0,4.15769799676251,781.5,116.68,128.82,3.86,3.49,,28.98,0.7535117846577034,56.07,0.75,0.060927076023225606,,0.0,0.5754352935468677,0.0,28.53,211.25,74.79317773102987,,,2.2237314752698936,0.0,775.2377173349188
FRJ1,11.45,63.01,2.1,12.34,2.82,0.2759281027076812,3.88,6.02,2.46,3.28,0.17875541177904503,108.37,3.77,24.21,1.1,0.07,0.028490153172866524,8.65,0.015761751885898016,0.79,0.73,0.0,,0.015973756429387025,,0.0,10.37,61.34,255.17286006378365,2.5214047847205214,,22.306647789518976,0.0,107.81468351448672
FRJ2,269.31,87.56,1.22,97.85,6.66,15.784459137208472,143.18,39.97,17.53,7.298191831277536,0.25520041716339126,688.96,44.54,178.93,53.89,4.22,,32.16,1.1374489814845072,41.05,0.56,0.01,,0.09584253857632213,2.0194708146172675,0.0,50.4,406.45,39.067077894707126,,,15.754716540714597,0.0,686.6178513856494
FRK1,120.18,0.31,4.93,29.51,2.15,4.719625848384248,40.49,35.05,0.85,0.0,0.5028495922592887,239.76,17.27,8.75,0.73,0.06,,7.04,0.23586447604362532,33.53,0.64,5.05,,0.0,,0.0,9.9,255.4,2.0152436371098132,,,0.5529416787366126,0.0,238.6924754406435
FRK2,119.73,10.34,3.45,45.04,2.08,0.5690748233168607,107.83,18.53,4.84,0.0,1.6385959732188968,313.82,19.75,16.94,12.98,0.16,,3.1,0.4282940004669624,55.52,1.94,0.19221993619018865,,0.0,0.12126957288404086,0.0,23.06,133.76,49.579500612076565,1.246556211938085,,32.9924189608262,0.0,314.0476707965358
FRL0,9.33,40.61,0.41,10.55,1.63,0.27572062293208766,3.79,3.23,0.9,11.73,0.5026193142578946,82.49,2.74,8.35,1.45,0.03,0.07597374179431073,2.39,0.016088905436545925,0.52,0.82,0.0,,0.0,,0.0,19.86,25.12,86.91008826354866,12.562749512967269,,28.274291545342347,0.0,82.95833993718999
FRM0,0.08,0.01,0.0025427821859222758,0.29,0.19,,0.63,0.22,0.09,0.0,,1.54,0.10925729154097105,0.06120770744933586,0.0842642766348043,0.0,,0.03,,0.13,0.02,0.0,,0.0,,0.0,3.09,3.97,6.717784035901979,1.0492894903741232,,4.926324966370154,0.0,1.5125427821859223
