,region,region_name,symbol,year,value,label,unit,confidence
0,AL,Albania,C_sum,1990,0.9045314009263088,crop area sum,Mha,calculated
1,AL,Albania,AL_sum,1990,0.3014314009263088,arable land area sum,Mha,calculated
2,AL,Albania,PC_sum,1990,0.125,permanent crop area sum,Mha,calculated
3,AL,Albania,TG,1990,0.1437,temporary grassland area,Mha,interpolated
4,AL,Albania,PG,1990,0.4781,permanent grassland area,Mha,Eurostat
5,AL,Albania,C_sum,1991,0.8223432409507552,crop area sum,Mha,calculated
6,AL,Albania,AL_sum,1991,0.2192432409507552,arable land area sum,Mha,calculated
7,AL,Albania,PC_sum,1991,0.125,permanent crop area sum,Mha,calculated
8,AL,Albania,TG,1991,0.1437,temporary grassland area,Mha,interpolated
9,AL,Albania,PG,1991,0.4781,permanent grassland area,Mha,Eurostat
10,AL,Albania,C_sum,1992,0.8151523276232787,crop area sum,Mha,calculated
11,AL,Albania,AL_sum,1992,0.2120523276232787,arable land area sum,Mha,calculated
12,AL,Albania,PC_sum,1992,0.125,permanent crop area sum,Mha,calculated
13,AL,Albania,TG,1992,0.1437,temporary grassland area,Mha,interpolated
14,AL,Albania,PG,1992,0.4781,permanent grassland area,Mha,Eurostat
15,AL,Albania,C_sum,1993,0.819793447604944,crop area sum,Mha,calculated
16,AL,Albania,AL_sum,1993,0.216693447604944,arable land area sum,Mha,calculated
17,AL,Albania,PC_sum,1993,0.125,permanent crop area sum,Mha,calculated
18,AL,Albania,TG,1993,0.1437,temporary grassland area,Mha,interpolated
19,AL,Albania,PG,1993,0.4781,permanent grassland area,Mha,Eurostat
20,AL,Albania,C_sum,1994,0.8235353476011242,crop area sum,Mha,calculated
21,AL,Albania,AL_sum,1994,0.2204353476011242,arable land area sum,Mha,calculated
22,AL,Albania,PC_sum,1994,0.125,permanent crop area sum,Mha,calculated
23,AL,Albania,TG,1994,0.1437,temporary grassland area,Mha,interpolated
24,AL,Albania,PG,1994,0.4781,permanent grassland area,Mha,Eurostat
25,AL,Albania,C_sum,1995,0.8119147876102915,crop area sum,Mha,calculated
26,AL,Albania,AL_sum,1995,0.2098147876102915,arable land area sum,Mha,calculated
27,AL,Albania,PC_sum,1995,0.124,permanent crop area sum,Mha,calculated
28,AL,Albania,TG,1995,0.1437,temporary grassland area,Mha,interpolated
29,AL,Albania,PG,1995,0.4781,permanent grassland area,Mha,Eurostat
30,AL,Albania,C_sum,1996,0.8041800009492273,crop area sum,Mha,calculated
31,AL,Albania,AL_sum,1996,0.2030800009492273,arable land area sum,Mha,calculated
32,AL,Albania,PC_sum,1996,0.123,permanent crop area sum,Mha,calculated
33,AL,Albania,TG,1996,0.1437,temporary grassland area,Mha,interpolated
34,AL,Albania,PG,1996,0.4781,permanent grassland area,Mha,Eurostat
35,AL,Albania,C_sum,1997,0.8090441129473938,crop area sum,Mha,calculated
36,AL,Albania,AL_sum,1997,0.20794411294739382,arable land area sum,Mha,calculated
37,AL,Albania,PC_sum,1997,0.123,permanent crop area sum,Mha,calculated
38,AL,Albania,TG,1997,0.1437,temporary grassland area,Mha,interpolated
39,AL,Albania,PG,1997,0.4781,permanent grassland area,Mha,Eurostat
