,region,region_name,symbol,year,value,label,unit,confidence
0,AL,Albania,L_storage,1990,6.147541964259277,loss from houses and storage,Gg N,estimated
1,AL,Albania,G,1990,57.53304920000001,excreted grazing,Gg N,estimated
2,AL,Albania,G_PG,1990,44.23697462611773,excreted grazing on permanent grassland,Gg N,estimated
3,AL,Albania,G_TG,1990,13.29607457388228,excreted grazing on temporary grassland,Gg N,estimated
4,AL,Albania,E_total,1990,78.31809500000001,excreted total,Gg N,estimated
5,AL,Albania,E_house,1990,20.785045800000006,excreted in house,Gg N,estimated
6,AL,Albania,A_PG,1990,0.17880026904853136,applied to permanent grassland,Gg N,estimated
7,AL,Albania,A_TG,1990,0.05374105555798778,applied to temporary grassland,Gg N,estimated
8,AL,Albania,A_PC,1990,1.2353338546698769,applied to permanent crops,Gg N,estimated
9,AL,Albania,A_AL,1990,13.169628656464333,applied to other arable land,Gg N,estimated
10,AL,Albania,L_storage,1991,5.678343181207805,loss from houses and storage,Gg N,estimated
11,AL,Albania,G,1991,58.59176104000001,excreted grazing,Gg N,estimated
12,AL,Albania,G_PG,1991,45.05101472052751,excreted grazing on permanent grassland,Gg N,estimated
13,AL,Albania,G_TG,1991,13.540746319472497,excreted grazing on temporary grassland,Gg N,estimated
14,AL,Albania,E_total,1991,77.79043,excreted total,Gg N,estimated
15,AL,Albania,E_house,1991,19.198668959999992,excreted in house,Gg N,estimated
16,AL,Albania,A_PG,1991,0.1816597964373537,applied to permanent grassland,Gg N,estimated
17,AL,Albania,A_TG,1991,0.054600528651009644,applied to temporary grassland,Gg N,estimated
18,AL,Albania,A_PC,1991,1.3828808460842978,applied to permanent crops,Gg N,estimated
19,AL,Albania,A_AL,1991,11.901184607619527,applied to other arable land,Gg N,estimated
20,AL,Albania,L_storage,1992,5.171940615017774,loss from houses and storage,Gg N,estimated
21,AL,Albania,G,1992,57.88330512,excreted grazing,Gg N,estimated
22,AL,Albania,G_PG,1992,44.50628526515279,excreted grazing on permanent grassland,Gg N,estimated
23,AL,Albania,G_TG,1992,13.377019854847212,excreted grazing on temporary grassland,Gg N,estimated
24,AL,Albania,E_total,1992,75.36981,excreted total,Gg N,estimated
25,AL,Albania,E_house,1992,17.48650488,excreted in house,Gg N,estimated
26,AL,Albania,A_PG,1992,0.16691872957776063,applied to permanent grassland,Gg N,estimated
27,AL,Albania,A_TG,1992,0.050169883790680186,applied to temporary grassland,Gg N,estimated
28,AL,Albania,A_PC,1992,1.2833736609312911,applied to permanent crops,Gg N,estimated
29,AL,Albania,A_AL,1992,10.814101990682492,applied to other arable land,Gg N,estimated
30,AL,Albania,L_storage,1993,5.46085462241254,loss from houses and storage,Gg N,estimated
31,AL,Albania,G,1993,61.44340716000001,excreted grazing,Gg N,estimated
32,AL,Albania,G_PG,1993,47.24363615824382,excreted grazing on permanent grassland,Gg N,estimated
33,AL,Albania,G_TG,1993,14.19977100175619,excreted grazing on temporary grassland,Gg N,estimated
34,AL,Albania,E_total,1993,79.90674,excreted total,Gg N,estimated
35,AL,Albania,E_house,1993,18.463332839999993,excreted in house,Gg N,estimated
36,AL,Albania,A_PG,1993,0.17524534318187004,applied to permanent grassland,Gg N,estimated
37,AL,Albania,A_TG,1993,0.05267257020546898,applied to temporary grassland,Gg N,estimated
38,AL,Albania,A_PC,1993,1.3387246110047855,applied to permanent crops,Gg N,estimated
39,AL,Albania,A_AL,1993,11.435835693195328,applied to other arable land,Gg N,estimated
40,AL,Albania,L_storage,1994,7.326915936344038,loss from houses and storage,Gg N,estimated
41,AL,Albania,G,1994,77.8823912,excreted grazing,Gg N,estimated
42,AL,Albania,G_PG,1994,59.883517582373756,excreted grazing on permanent grassland,Gg N,estimated
43,AL,Albania,G_TG,1994,17.998873617626245,excreted grazing on temporary grassland,Gg N,estimated
44,AL,Albania,E_total,1994,102.65494,excreted total,Gg N,estimated
45,AL,Albania,E_house,1994,24.772548799999996,excreted in house,Gg N,estimated
46,AL,Albania,A_PG,1994,0.23406111966402396,applied to permanent grassland,Gg N,estimated
47,AL,Albania,A_TG,1994,0.0703505185018202,applied to temporary grassland,Gg N,estimated
48,AL,Albania,A_PC,1994,1.7788945754118082,applied to permanent crops,Gg N,estimated
49,AL,Albania,A_AL,1994,15.362326650078305,applied to other arable land,Gg N,estimated
50,AL,Albania,L_storage,1995,7.463634838836387,loss from houses and storage,Gg N,estimated
51,AL,Albania,G,1995,78.95524,excreted grazing,Gg N,estimated
52,AL,Albania,G_PG,1995,60.70842753940175,excreted grazing on permanent grassland,Gg N,estimated
53,AL,Albania,G_TG,1995,18.246812460598257,excreted grazing on temporary grassland,Gg N,estimated
54,AL,Albania,E_total,1995,104.19004,excreted total,Gg N,estimated
55,AL,Albania,E_house,1995,25.234799999999993,excreted in house,Gg N,estimated
56,AL,Albania,A_PG,1995,0.24184117591113036,applied to permanent grassland,Gg N,estimated
57,AL,Albania,A_TG,1995,0.07268892904921442,applied to temporary grassland,Gg N,estimated
58,AL,Albania,A_PC,1995,1.8545888778316595,applied to permanent crops,Gg N,estimated
59,AL,Albania,A_AL,1995,15.602046178371602,applied to other arable land,Gg N,estimated
60,AL,Albania,L_storage,1996,6.953926798227372,loss from houses and storage,Gg N,estimated
61,AL,Albania,G,1996,71.47682,excreted grazing,Gg N,estimated
62,AL,Albania,G_PG,1996,54.95829469604375,excreted grazing on permanent grassland,Gg N,estimated
63,AL,Albania,G_TG,1996,16.518525303956253,excreted grazing on temporary grassland,Gg N,estimated
64,AL,Albania,E_total,1996,94.98827999999999,excreted total,Gg N,estimated
65,AL,Albania,E_house,1996,23.511459999999985,excreted in house,Gg N,estimated
66,AL,Albania,A_PG,1996,0.22749254026224153,applied to permanent grassland,Gg N,estimated
67,AL,Albania,A_TG,1996,0.06837623517189728,applied to temporary grassland,Gg N,estimated
68,AL,Albania,A_PC,1996,1.7514752357654721,applied to permanent crops,Gg N,estimated
69,AL,Albania,A_AL,1996,14.510189190573001,applied to other arable land,Gg N,estimated
70,AL,Albania,L_storage,1997,6.7305747425026015,loss from houses and storage,Gg N,estimated
71,AL,Albania,G,1997,67.8807308,excreted grazing,Gg N,estimated
72,AL,Albania,G_PG,1997,52.19327339253779,excreted grazing on permanent grassland,Gg N,estimated
73,AL,Albania,G_TG,1997,15.687457407462205,excreted grazing on temporary grassland,Gg N,estimated
74,AL,Albania,E_total,1997,90.63703,excreted total,Gg N,estimated
75,AL,Albania,E_house,1997,22.7562992,excreted in house,Gg N,estimated
76,AL,Albania,A_PG,1997,0.2188619495068078,applied to permanent grassland,Gg N,estimated
77,AL,Albania,A_TG,1997,0.06578218394504973,applied to temporary grassland,Gg N,estimated
78,AL,Albania,A_PC,1997,1.673135403825368,applied to permanent crops,Gg N,estimated
79,AL,Albania,A_AL,1997,14.067944920220175,applied to other arable land,Gg N,estimated
80,AL,Albania,L_storage,1998,6.387711007658784,loss from houses and storage,Gg N,estimated
81,AL,Albania,G,1998,63.1785996,excreted grazing,Gg N,estimated
82,AL,Albania,G_PG,1998,48.57781998835639,excreted grazing on permanent grassland,Gg N,estimated
83,AL,Albania,G_TG,1998,14.60077961164361,excreted grazing on temporary grassland,Gg N,estimated
84,AL,Albania,E_total,1998,84.77566499999999,excreted total,Gg N,estimated
85,AL,Albania,E_house,1998,21.59706539999999,excreted in house,Gg N,estimated
86,AL,Albania,A_PG,1998,0.2092440831710534,applied to permanent grassland,Gg N,estimated
87,AL,Albania,A_TG,1998,0.0628913924946253,applied to temporary grassland,Gg N,estimated
88,AL,Albania,A_PC,1998,1.6064648174723235,applied to permanent crops,Gg N,estimated
89,AL,Albania,A_AL,1998,13.330754099203206,applied to other arable land,Gg N,estimated
90,AL,Albania,L_storage,1999,6.5445519818316935,loss from houses and storage,Gg N,estimated
91,AL,Albania,G,1999,64.9536,excreted grazing,Gg N,estimated
92,AL,Albania,G_PG,1999,49.94261202959151,excreted grazing on permanent grassland,Gg N,estimated
