,region,region name,year,symbol,label,unit,value
0,AL,Albania,1990,H_ingestion,total human ingestion,Gg N,20.727710514430502
1,AL,Albania,1990,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.685645
2,AL,Albania,1990,E_total,total animal excretion,Gg N,78.31809500000001
3,AL,Albania,1990,A_non_edible,non-edible animal production,Gg N,0.620507
4,AL,Albania,1990,Eggs,egg production,Gg N,0.29535
5,AL,Albania,1990,Milk,cows milk production,Gg N,
6,AL,Albania,1990,Meat_bovine,bovine meat production,Gg N,0.19749
7,AL,Albania,1990,Meat_sheep,sheep meat production,Gg N,0.04134
8,AL,Albania,1990,Meat_goats,goats meat production,Gg N,0.027772
9,AL,Albania,1990,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
10,AL,Albania,1990,Meat_poultry,poultry meat production,Gg N,0.098739
11,AL,Albania,1990,Agri_total,total agricultural production,Gg N,34.26428972727592
12,AL,Albania,1990,M_ingestion,monogastric ingestion,Gg N,6.964303
13,AL,Albania,1990,R_ingestion,ruminant ingestion,Gg N,72.86874800000001
14,AL,Albania,1990,total_A_ingestion,total animal ingestion,Gg N,79.83305100000001
15,AL,Albania,1990,L_density,livestock density,LU/haUAA,0.8341902748699213
16,AL,Albania,1990,F_import,net import feed,Gg N,34.65433183873921
17,AL,Albania,1990,H_total,total crop production,Gg N,33.36984072727592
18,AL,Albania,1990,C_total,total cereal production,Gg N,12.535442781387552
19,AL,Albania,1990,PG_H,permanent grassland production,Gg N,23.763004300000002
20,AL,Albania,1990,F_ingestion,effective fodder ingestion,Gg N,17.408739579873238
21,AL,Albania,1990,total_N_input,soil N input from manure,%,12.929389324539327
22,AL,Albania,1990,NS,soil N surplus,kgN/ha,125.95104212995084
23,AL,Albania,1990,NUE,NUE arable,no unit,0.3105687975596128
24,AL,Albania,1991,H_ingestion,total human ingestion,Gg N,20.559403901685
25,AL,Albania,1991,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.63947822
26,AL,Albania,1991,E_total,total animal excretion,Gg N,77.79043
27,AL,Albania,1991,A_non_edible,non-edible animal production,Gg N,0.620507
28,AL,Albania,1991,Eggs,egg production,Gg N,0.2327
29,AL,Albania,1991,Milk,cows milk production,Gg N,
30,AL,Albania,1991,Meat_bovine,bovine meat production,Gg N,0.19749
31,AL,Albania,1991,Meat_sheep,sheep meat production,Gg N,0.04134
32,AL,Albania,1991,Meat_goats,goats meat production,Gg N,0.027772
33,AL,Albania,1991,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
34,AL,Albania,1991,Meat_poultry,poultry meat production,Gg N,0.098739
35,AL,Albania,1991,Agri_total,total agricultural production,Gg N,29.925264665231328
36,AL,Albania,1991,M_ingestion,monogastric ingestion,Gg N,5.043948
37,AL,Albania,1991,R_ingestion,ruminant ingestion,Gg N,74.19878800000001
38,AL,Albania,1991,total_A_ingestion,total animal ingestion,Gg N,79.242736
39,AL,Albania,1991,L_density,livestock density,LU/haUAA,0.9016695170047234
40,AL,Albania,1991,F_import,net import feed,Gg N,37.63855756541061
41,AL,Albania,1991,H_total,total crop production,Gg N,29.093465665231328
42,AL,Albania,1991,C_total,total cereal production,Gg N,9.49067282867991
43,AL,Albania,1991,PG_H,permanent grassland production,Gg N,23.763004300000002
44,AL,Albania,1991,F_ingestion,effective fodder ingestion,Gg N,16.80971863590947
45,AL,Albania,1991,total_N_input,soil N input from manure,%,21.469606625548757
46,AL,Albania,1991,NS,soil N surplus,kgN/ha,60.59843854468792
47,AL,Albania,1991,NUE,NUE arable,no unit,0.4915532747627313
48,AL,Albania,1992,H_ingestion,total human ingestion,Gg N,20.119741821152072
49,AL,Albania,1992,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.51887819
50,AL,Albania,1992,E_total,total animal excretion,Gg N,75.36981
51,AL,Albania,1992,A_non_edible,non-edible animal production,Gg N,0.620507
52,AL,Albania,1992,Eggs,egg production,Gg N,0.2327
53,AL,Albania,1992,Milk,cows milk production,Gg N,
54,AL,Albania,1992,Meat_bovine,bovine meat production,Gg N,0.19749
55,AL,Albania,1992,Meat_sheep,sheep meat production,Gg N,0.04134
56,AL,Albania,1992,Meat_goats,goats meat production,Gg N,0.027772
57,AL,Albania,1992,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
58,AL,Albania,1992,Meat_poultry,poultry meat production,Gg N,0.098739
59,AL,Albania,1992,Agri_total,total agricultural production,Gg N,30.22961406539186
60,AL,Albania,1992,M_ingestion,monogastric ingestion,Gg N,3.5133479999999997
61,AL,Albania,1992,R_ingestion,ruminant ingestion,Gg N,73.308768
62,AL,Albania,1992,total_A_ingestion,total animal ingestion,Gg N,76.822116
63,AL,Albania,1992,L_density,livestock density,LU/haUAA,0.8758112326724034
64,AL,Albania,1992,F_import,net import feed,Gg N,34.432241689566126
65,AL,Albania,1992,H_total,total crop production,Gg N,29.39781506539186
66,AL,Albania,1992,C_total,total cereal production,Gg N,9.464481155378532
67,AL,Albania,1992,PG_H,permanent grassland production,Gg N,23.763004300000002
68,AL,Albania,1992,F_ingestion,effective fodder ingestion,Gg N,17.440706140055322
69,AL,Albania,1992,total_N_input,soil N input from manure,%,22.38380373616011
70,AL,Albania,1992,NS,soil N surplus,kgN/ha,44.13261002183089
71,AL,Albania,1992,NUE,NUE arable,no unit,0.5713541298294035
72,AL,Albania,1993,H_ingestion,total human ingestion,Gg N,19.977047632687444
73,AL,Albania,1993,H_ingestion_cereals,total human ingestion of cereal,Gg N,5.47973694
74,AL,Albania,1993,E_total,total animal excretion,Gg N,79.90674
75,AL,Albania,1993,A_non_edible,non-edible animal production,Gg N,0.620507
76,AL,Albania,1993,Eggs,egg production,Gg N,0.23735399999999998
77,AL,Albania,1993,Milk,cows milk production,Gg N,
78,AL,Albania,1993,Meat_bovine,bovine meat production,Gg N,0.19749
79,AL,Albania,1993,Meat_sheep,sheep meat production,Gg N,0.04134
80,AL,Albania,1993,Meat_goats,goats meat production,Gg N,0.027772
81,AL,Albania,1993,Meat_pigs,pigs meat production,Gg N,0.23375800000000002
82,AL,Albania,1993,Meat_poultry,poultry meat production,Gg N,0.098739
83,AL,Albania,1993,Agri_total,total agricultural production,Gg N,32.324685291974646
