region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.6746021307378667,0.6989488437281008,0.6819163996721557,0.6468127671183049,0.6874366767983789,0.6735824258355239,0.7351990394384409,0.7072104300818824,0.6936855138258358,0.6995749110783378,0.6099231520600661,0.6674250628409057,0.606757056604655,0.6427488400196085,0.6640521961552296,0.6281686275854973,0.6565983340485702,0.6085861718226699,0.6532317573817517,0.6038797748772602,0.5952286077869327,0.5973678392310646,0.5104834935921626,0.5759631627704213,0.5643896844071845,0.5876967267069595,0.5728325728325728,0.49895175500649525,0.5288771833350217,0.5126972818277323,0.6261609473069197,0.06337071846593918
AT2,0.12514796790740498,0.1150665732305536,0.10915729081290515,0.1264890424661271,0.11094224924012158,0.11378144949305295,0.09162279486469012,0.09714603704587009,0.1038382170862567,0.09907174459963564,0.1385263554305485,0.12050550913552772,0.12400004671314627,0.11005848353226856,0.08651732544662484,0.09934940943756504,0.10184971225475634,0.08052792180406361,0.08225157716411861,0.09304274937133278,0.09470802216023755,0.0818739309028707,0.11061632979606624,0.09462699580404338,0.10909176904612693,0.10247142600682185,0.09459459459459459,0.11085673127628651,0.09684094757101719,0.09861978191829786,0.1041064328704311,0.014140484835623504
AT3,0.20024990135472842,0.18598458304134546,0.20892630951493926,0.22669819041556788,0.20162107396149948,0.2126361246714232,0.17317816569686892,0.19564353287224737,0.20247626908790756,0.20135334432202653,0.2515504925093853,0.21206942802356657,0.2692428966821988,0.24719267644812296,0.24943047839814553,0.2724819629769378,0.24155195369667362,0.3108859063732665,0.2645166654541297,0.303077475751407,0.3100633700528298,0.32075822986606467,0.37890017661177106,0.3294098414255354,0.32651854654668855,0.30983184728621865,0.33257283257283254,0.3901915137172182,0.37428186909396116,0.38868293625396977,0.2697326198226493,0.06580860091980696
BE2,0.32374506486181615,0.3147064756909421,0.3104444444444444,0.3370066632496156,0.3297687861271676,0.2996632996632997,0.2851909994767138,0.2599462365591398,0.2528059861036878,0.2582644628099174,0.24894157493649446,0.2721832044380073,0.24809384164222872,0.31647201856832335,0.29022362952701364,0.2683308370777167,0.26796241957627803,0.2633610292146878,0.24213666580536047,0.24690729634629427,0.27190860215053764,0.2772806473524113,0.28090507726269315,0.29370310281890083,0.27583343816832306,0.32431122802159773,0.3394649799802704,0.3391912370722888,0.3624938088162457,0.35746798719487793,0.2919571681652432,0.035313307531469704
BE3,0.6762549351381839,0.6852935243090579,0.6895555555555556,0.6629933367503844,0.6702312138728324,0.7003367003367004,0.7148090005232862,0.7400537634408603,0.7471940138963121,0.7417355371900827,0.7510584250635055,0.7278167955619927,0.7519061583577712,0.6835279814316767,0.7097763704729864,0.7316691629222831,0.7320375804237219,0.7366389707853123,0.7578633341946396,0.7530927036537057,0.7280913978494624,0.7227193526475887,0.7190949227373068,0.7062968971810991,0.7241665618316769,0.6756887719784023,0.6605350200197296,0.6608087629277112,0.6375061911837544,0.6425320128051221,0.7080428318347568,0.03531330753146969
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
