region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.37676572988614465,0.3885591527593207,0.3773204557343166,0.44299032348598555,0.4185908035538344,0.3492072213980011,0.4175326552241476,0.37469833669719027,0.4289201304949891,0.4238480310062683,0.39984328402401975,0.03038860050628507
AT2,,,,,,,,,,,,,,,,,,,,,0.3897105813424404,0.3766193531555475,0.37191084346572423,0.3197703505753438,0.3409170743409385,0.404997832603745,0.33931610991057953,0.3756954513268369,0.3227403947708123,0.3330520381575456,0.3574730029649513,0.029875596896657988
AT3,,,,,,,,,,,,,,,,,,,,,0.23352368877141497,0.23482149408513167,0.25076870079995917,0.23723932593867067,0.24049212210522705,0.24579494599825386,0.24315123486527282,0.2496062119759729,0.2483394747341986,0.24309993083618617,0.2426837130110288,0.006105664006115332
BE2,,,,,,,,,,,,,,,,,,,,,,0.8975588491717524,0.9055692199578356,0.9016019688665429,0.9217756673591477,0.8969055225924235,0.9045707226683138,0.9120195556262173,0.8897403150276714,0.8869579416361474,0.9018555292117836,0.010799467343777472
BE3,,,,,,,,,,,,,,,,,,,,,,0.10244115082824759,0.09443078004216443,0.09839803113345716,0.07822433264085221,0.10309447740757645,0.09542927733168623,0.08798044437378275,0.11025968497232864,0.11304205836385267,0.09814447078821645,0.01079946734377749
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.03868154170466969,0.030352472643949753,0.03450946704314212,0.029242997233272765,0.03339288743855211,0.032654796844553254,0.034983430195395855,0.027479079331598554,0.026800011456334445,0.0214593095534092,0.030954356505355187,0.0049464085448623395
ES12,,,,,,,,,,,,,,,,,,,,,0.0002265080908690058,0.0001667325657283593,0.00017133857676320305,0.00015347969156721185,0.00017803396050159498,0.00018411887064991768,0.00025321808222949913,0.00026498630020827923,0.00030723806002598504,0.00026776322080902744,0.00021733301586213143,5.340579813911173e-05
ES13,,,,,,,,,,,,,,,,,,,,,0.0002567091696515399,0.00032155566247612155,0.00031685901182236184,0.0002905882160339211,7.330810138300969e-05,7.671619610413237e-05,0.0002655102221435525,0.0,0.0,4.78148608587549e-06,0.00020074544814196985,0.00012733589505837435
ES21,,,,,,,,,,,,,,,,,,,,,0.00031409121933835473,0.00024771695479641954,0.0002300161715451219,0.00022510354763191073,0.00024924754470223294,0.000291521545195703,0.00010817083124366953,0.0001351430131062224,0.00014320418052058627,0.00014344458257626469,0.00020875757730244666,7.143083026227427e-05
ES22,,,,,,,,,,,,,,,,,,,,,0.036612767808066105,0.039055912574970104,0.04751711625439789,0.04839521634497324,0.05003801548686005,0.04331396432039314,0.038749741865061804,0.03967109900418148,0.04208119937406755,0.042014918236587935,0.042743278954315414,0.00454371454519755
ES23,,,,,,,,,,,,,,,,,,,,,0.0014496517815616372,0.0013433881010113519,0.0014904109074607389,0.001751714879753778,0.002121745905742538,0.0013808915298743826,0.00113579372805853,0.0015236712261976054,0.0012575930762080574,0.0012121067227694367,0.0014666378993230921,0.00028964125528799006
ES24,,,,,,,,,,,,,,,,,,,,,0.19202751922298664,0.2011628405512655,0.16525018952863113,0.193599282942881,0.20332944451309806,0.20163865794878424,0.26296083232537787,0.2856287329945042,0.24745682393957302,0.2440207516496127,0.21969868650525828,0.037902896470691116
ES30,,,,,,,,,,,,,,,,,,,,,0.02360516317642866,0.017797510444604293,0.02493328357473296,0.020214298577345583,0.019703123134570632,0.01690167394739899,0.017759683747824287,0.01565009089030097,0.013075843537716075,0.013524433393898824,0.01831577505126269,0.00390719270540697
ES41,,,,,,,,,,,,,,,,,,,,,0.3027235332846089,0.26736757861440474,0.25587186690982666,0.2645846634906603,0.26470089247377143,0.31071374556963965,0.2651193320942856,0.24923551452389908,0.30486607805408955,0.3331428708042459,0.2818212922593212,0.028382160266761484
ES42,,,,,,,,,,,,,,,,,,,,,0.10857891843896662,0.10867628634174459,0.10582386863729502,0.09941800500957715,0.09207706985424255,0.07487281550631593,0.06820908438308207,0.06941051147655666,0.06285101297429875,0.058092665200344264,0.08479761909833794,0.020137975356878803
ES43,,,,,,,,,,,,,,,,,,,,,0.12460361084097922,0.15754083756913445,0.1663157746498708,0.16234263215624642,0.16323619660813887,0.15649008059584374,0.14579707152058685,0.1608917318974609,0.16510140157837044,0.15719374581619966,0.15594504702022763,0.012470498358396214
ES51,,,,,,,,,,,,,,,,,,,,,0.09508205633105213,0.08822296431446713,0.08826987938233617,0.08959121195750046,0.08463734482245824,0.07941660620699782,0.09847970813542987,0.09705123245128226,0.09909989663261878,0.07990341398106532,0.0899718189898603,0.007297490688065875
ES52,,,,,,,,,,,,,,,,,,,,,0.0020385728178210524,0.0011171081903800075,0.0009763951771711298,0.0015020545814711133,0.00197722422015889,0.001716250901415304,0.0013078836868552772,0.0014998224591788603,0.0011065777585681665,0.0009802046476044754,0.0014221523436479875,0.0003925279509120878
ES53,,,,,,,,,,,,,,,,,,,,,0.0004741569368857855,0.00040968573293254,0.000420131578638539,0.00026193867360804155,0.0002534365790669764,0.00021918913172609247,0.0003859731933012754,0.00019343999915204382,0.00019788214035571918,0.00015778904083389118,0.0002973503618244295,0.00011366093404960743
ES61,,,,,,,,,,,,,,,,,,,,,0.07297184655435891,0.08593158248260026,0.10761705593383046,0.08814236366910598,0.08302247207484967,0.0793903035111907,0.06417234563530695,0.05105491046112915,0.03537403630095791,0.047580568040547,0.07152287677270179,0.021948893185512505
ES62,,,,,,,,,,,,,,,,,,,,,0.00035335262175564906,0.00028582725553433024,0.00028634666253576403,0.0002844490283712326,0.0010095572819031622,0.0007386673739169316,0.00031222035381695527,0.0003100339712436867,0.0002812009362949694,0.0003012336234101559,0.00041627219725748945,0.0002504995127149935
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,0.019789805314893015,0.02463780552964736,0.022621993167066135,0.02845325638711146,0.0256580290061106,0.026214963621915055,0.03159563719337049,0.025696396845122756,0.025286369350069927,0.020758057955062095,0.025626906929650955,0.025352307486852063,0.028078900573941256,0.02536695610467794,0.00312351364840069
FRB0,,,,,,,,,,,,,,,,,,0.07654167635292444,0.07399234175347913,0.06826222254919802,0.07977992731531225,0.07956811909150385,0.07429095763525687,0.10255985943442805,0.092857509270858,0.08238614568395208,0.07021504972020634,0.08393379356048607,0.09005144706802587,0.08454967565934732,0.08146067116115219,0.009590910750687432
FRC1,,,,,,,,,,,,,,,,,,0.024464884857863568,0.032044869582429504,0.030465540407110688,0.030079606698100846,0.028454878783042915,0.030504481777435394,0.028925725463921546,0.0328615579454135,0.023579366062945188,0.02285181019836807,0.03151815790334672,0.027632926123536558,0.027961340711836636,0.028565011270411632,0.0032228631729169983
