region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.34975403912060243,0.36067077473070225,0.37943463699835384,0.38779476241260813,0.37865831627122726,0.41520673620711324,0.38215926493108726,0.37208121827411167,0.37636161349582137,0.38734075365428455,0.32960343497616146,0.3820136056382688,0.3593399348725086,0.34862318997737246,0.3755770228215768,0.3759202710298832,0.37219221979255657,0.3481222283611191,0.3827680290292647,0.3742938546228166,0.37322977967175214,0.37491844317229445,0.37087096932837166,0.3795126271506532,0.3716166493884589,0.3873293859762526,0.3871826865609042,0.34740946514840887,0.37160878530222646,0.36039647235869515,0.3720663723758486,0.016393358338781572
AT2,0.30119133658172664,0.31598381861799707,0.2813191803371743,0.2845597819646878,0.29745874984945203,0.2526580369485987,0.27294538029606946,0.26538071065989843,0.25886827602266554,0.24795494166554916,0.25955941350136463,0.24318997448942825,0.26247444511776885,0.2567828406601748,0.2670124481327801,0.2750497546450329,0.25646371590800443,0.26427951274698097,0.25221666689749733,0.2544461539793836,0.24226268440115362,0.23935802833127223,0.24113812341874175,0.2591177275036143,0.2234340840848906,0.2143409149019912,0.21146627381489133,0.2315195299672504,0.2153291013136251,0.21416755189660516,0.25539763862187564,0.025952280727324275
AT3,0.3490546242976709,0.3233454066513006,0.33924618266447176,0.3276454556227041,0.3238829338793207,0.33213522684428803,0.3448953547728433,0.3625380710659899,0.36477011048151314,0.3647043046801663,0.41083715152247385,0.37479641987230305,0.37818562000972245,0.3945939693624528,0.3574105290456432,0.3490299743250839,0.371344064299439,0.3875982588918999,0.365015304073238,0.3712599913977998,0.38450753592709425,0.3857235284964334,0.3879909072528865,0.36136964534573257,0.4049492665266505,0.3983296991217561,0.4013510396242044,0.42107100488434085,0.41306211338414844,0.4254359757446997,0.3725359890022757,0.028864248254029275
BE2,0.6418696894868853,0.6555744312314713,0.6771222822323778,0.6942622513731136,0.6994486749485382,0.6774785608050378,0.7037659047564828,0.7114924324517427,0.6986713559984369,0.6995931149835705,0.6906262626262626,0.7053728750465319,0.6769331338705419,0.6717453594119845,0.6855171731658465,0.6812077070096596,0.6935036595899441,0.6777093094316562,0.6786139571076553,0.675296769875656,0.6838217308350863,,0.6619610208053507,0.7114869432412809,0.6882278047558528,0.6911508480100375,0.6584548694354302,0.7043936858511595,0.6629226910593096,0.6938750116651632,0.6845551555538644,0.017401610735638173
BE3,0.35813031051311467,0.3444255687685287,0.3228777177676222,0.30573774862688635,0.3005513250514618,0.3225214391949622,0.2962340952435171,0.28850756754825724,0.3013286440015631,0.30040688501642965,0.30937373737373736,0.29462712495346816,0.32306686612945806,0.32825464058801546,0.3144828268341534,0.3187922929903404,0.3064963404100559,0.32229069056834386,0.3213860428923447,0.32470323012434393,0.31617826916491365,,0.33803897919464926,0.2885130567587191,0.31177219524414707,0.30884915198996254,0.3415451305645698,0.29560631414884037,0.3370773089406905,0.30612498833483687,0.3154448444461356,0.017401610735638173
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
