region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7523629489603024,0.7706329113924051,0.7491534606528512,0.7682321065703319,0.7470102745494357,0.823025952512424,0.8292587776332899,0.8342443492391786,0.8434070180862576,0.8660952648587888,0.8777713792110566,0.8725701943844493,0.873593453163817,0.8452614670712117,0.8549992786033761,0.8596514218320012,0.8548732050106935,0.8464184238073874,0.8662967366891268,0.8576374463370725,0.8525746951900317,0.8665433112355558,0.8594421568332783,0.8829898187236157,0.877664393051263,0.856807336713391,0.8927626519999479,0.8622304525489356,0.8726233289871476,0.8818267733304938,0.8432653663059706,0.0422446764385073
AT2,0.08733459357277883,0.08341772151898737,0.0868210754435866,0.07913750282230751,0.08977598113525348,0.05756488128106019,0.05292587776332899,0.050376717388092775,0.04869377028907096,0.03976394548264719,0.03556003455226028,0.033981281497480205,0.03609527984801988,0.044262002498661426,0.03650266916750829,0.029878128685624433,0.03406660556064772,0.03693734110961567,0.03818205839608931,0.04500761667359092,0.041326128057404016,0.03879569154606836,0.038396802019776986,0.03567585464779406,0.040658637962272204,0.054857590217715475,0.03909966504620277,0.05016758237553757,0.0475692404682418,0.04548298215022562,0.049277175305928365,0.017732116778886933
AT3,0.1603024574669187,0.14594936708860762,0.1640254639035622,0.15263039060736058,0.16321374431531077,0.11940916620651572,0.11781534460338099,0.11537893337272859,0.1078992116246715,0.09414078965856401,0.08666858623668297,0.09344852411807056,0.0903112669881631,0.1104765304301267,0.10849805222911557,0.11047044948237453,0.11106018942865872,0.11664423508299686,0.09552120491478398,0.09735493698933667,0.10609917675256426,0.09466099721837588,0.1021610411469448,0.08133432662859036,0.0816769689864649,0.08833507306889353,0.06813768295384937,0.08760196507552685,0.0798074305446105,0.07269024451928069,0.10745745838810103,0.026403672706816168
BE2,0.7290299271391582,0.6977114318643324,0.670877741656722,0.6572303694078336,0.6698783572202818,0.671295866233163,0.6501611713076236,0.6594954927656996,0.6710826675362792,0.6674518271338372,0.6529180215642649,0.6492706139324439,0.6550218340611353,0.6227791878172588,0.6355415156864568,0.6138571120224476,0.6291866028708134,0.6206799222229191,0.5946763666032091,0.5761631612492033,0.5659083014935741,0.576271186440678,0.5547278753965144,0.5759897082041986,0.5673789720830071,0.5512937586806504,0.5509962691397836,0.5501759464923007,0.5330081076009994,0.5764059516608042,0.6198821755829197,0.05188923376486023
BE3,0.2709700728608418,0.3022885681356676,0.3291222583432781,0.3427696305921663,0.33012164277971817,0.328704133766837,0.3498388286923764,0.3405045072343005,0.32891733246372085,0.3325481728661629,0.3470819784357351,0.35072938606755594,0.3449781659388646,0.37722081218274106,0.36445848431354333,0.38614288797755236,0.3708133971291866,0.3793200777770809,0.40532363339679084,0.4238368387507967,0.4340916985064258,0.42372881355932207,0.44527212460348575,0.42401029179580146,0.43262102791699275,0.4487062413193495,0.4490037308602163,0.4498240535076992,0.4669918923990006,0.4235940483391959,0.38011782441708025,0.051889233764860224
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.02198444134157809,0.028119852537453915,0.03349945391301156,0.03021675463571026,0.03042245945051308,0.027755324738309828,0.02990441580651072,0.023176819749189417,0.024654658363177675,0.020203155392262806,0.02344585016790351,0.0208922004190612,0.024242097022379387,0.01850824549901659,0.01732863057813219,0.019021481972177533,0.020877159749155046,0.01787340032637636,0.017373022993965623,0.01871222886100221,0.018325916123236464,0.020913431070176184,0.021550956100946254,0.02005419493628993,0.02310813954490233,0.01676101569054806,0.01832630855784764,0.018925883577657558,0.0197526989002612,0.02129847099993397,0.022240955633956224,0.004515242035176709
DE2,0.13915880659960675,0.19290728684602712,0.21845315124315098,0.197045219079629,0.19992345249917248,0.17244271106979756,0.2082086361693031,0.18496852001166567,0.19271210062981847,0.1569915712124487,0.18323087302249066,0.15746094123579582,0.18848365413168475,0.1589994452569469,0.1562183714154271,0.16085239639701643,0.18895125671728102,0.17972172120587473,0.17012367833078237,0.16543116878670114,0.16250444983300188,0.17610376441759265,0.17494912361320816,0.1458505709084892,0.1611624721056667,0.13647980095088386,0.17012644595874263,0.15839548099732065,0.1664966424896024,0.15783317769791633,0.17273956302776813,0.019775671466867515
DE4,0.1302396489328356,0.07059377206055377,0.04478831098506751,0.04756038864098025,0.03144654088050315,0.03234248070161258,0.04140200329811274,0.03756154466384177,0.04092055819205053,0.03211584179814135,0.02772113613450473,0.03305540823689999,0.031089994510883737,0.030641989006001312,0.038606042018095386,0.037733251890533996,0.028434412418619957,0.028944430129691657,0.0262222691367147,0.02915546729211964,0.028092375081724085,0.030174489839029962,0.029588018493683824,0.032248055601522434,0.03626478722762636,0.03110142439701812,0.029336947843362986,0.030504974657405665,0.030335302624351204,0.03106105624569644,0.03764276409797285,0.01948374903870901
DE7,0.015480295215570055,0.016501294219154444,0.022605247941848622,0.01959520643492874,0.021216070837471037,0.018015196217111912,0.018712209124778598,0.017832941620490303,0.01653052943563326,0.0197968446077372,0.017207267986143217,0.015006216364252863,0.01377678193810796,0.01736850068082102,0.01732096304247815,0.014436022953104434,0.015363755097157558,0.015082023533453575,0.014294259425414756,0.016204139631233846,0.016909858463261884,0.015877307871054968,0.016702459885024053,0.016920403772960453,0.016249795369756077,0.012816680007329327,0.012718866628293446,0.014446132054542041,0.012039953813212562,0.012762104190837316,0.01632631094543879,0.002490945341562894
DE8,0.11204513720685035,0.0660247862577457,0.04970768284736181,0.0696029564124946,0.039153012247600136,0.052631047164854707,0.04576894887925243,0.043523013844332756,0.051197007921246235,0.042645342554571,0.04852904389748409,0.050504699223606536,0.04995095789577877,0.05482878612133744,0.059078362214384304,0.04898612317936629,0.05108623044635647,0.05258953877866528,0.044237434246406644,0.048304257759668554,0.04280418861178031,0.03999324010308843,0.044668060882857706,0.045776104583816,0.04124484116385065,0.03833431379167349,0.04102530775943703,0.041247845452838876,0.03821620349091398,0.03934274691794711,0.049768240728585586,0.014023081115004235
DE9,0.2521015587154133,0.3639501137344105,0.36069275035105597,0.40343120059389304,0.4403757034094671,0.44314553611122337,0.3992625053441642,0.45756634814980024,0.4459008873912814,0.47964555867732883,0.4532485351081328,0.4806857997374347,0.44526631212374795,0.4627363961874023,0.4653274037724276,0.47524454347582956,0.44041435279807783,0.4487331443785965,0.46242149152900197,0.47137525466093716,0.4525803114735185,0.4437196332755926,0.4504599975616847,0.4555994539136192,0.43472079818719134,0.4917593280163559,0.4686113225764526,0.4649726095192586,0.46653139468403537,0.44050482469792573,0.44069950233850874,0.04678907742040188
DEA,0.05161285726498161,0.08962467644521138,0.09947043329019706,0.09337499286186275,0.10333912611717976,0.10586832639534415,0.11202131558052891,0.10328352575869347,0.09401407829507966,0.11188242921979687,0.12014008383805456,0.11153809370625724,0.11683718921253676,0.1340662665792526,0.12366968256402394,0.11759594621333999,0.13048723342738358,0.12287211199862576,0.1417110888267272,0.12171508791152354,0.14510843786948407,0.1368456631036377,0.12478547514325102,0.1546831044183353,0.14303438649698866,0.1401926841734736,0.13528417847262197,0.13882963291636088,0.14829097676087127,0.17786770046313324,0.12166822617749196,0.024150906518218586
DEB,0.02413586755193343,0.026884461526394225,0.035298328698477384,0.027867287752588087,0.034042949354518376,0.03331245200662814,0.028446222439381913,0.02906109004820642,0.027953707460790716,0.029349470499243576,0.027903063196913297,0.023291803962823533,0.027976495784178736,0.025457663018810833,0.023201962889127438,0.023684369004705903,0.029271891606265147,0.026737095250365023,0.02482363082985873,0.025971135573778913,0.02858247303228632,0.027580379399214164,0.02849077660342677,0.029610706602680798,0.02457286129085065,0.023608150984155148,0.02170562786638692,0.022731539157294738,0.025010369606403373,0.024920531612854534,0.027049478820351445,0.0033120871165492408
