region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.926331145149526,0.9347014925373134,0.9110612855007474,0.6139896373056994,0.5763209393346379,0.5653206650831354,0.5696340797378482,0.6148555708390646,0.5004825323296661,0.6179415627051872,0.62006502554575,0.6290277125410991,0.7321971100407559,0.7035045429260152,0.7531914893617021,0.7200912017167381,0.796964586846543,0.7915223150601183,0.7845993756503642,0.7756584922797457,0.6685082872928177,0.70620656601965,0.7057220708446866,0.662878787878788,0.6846076458752515,0.6455923414439569,0.7392360344446899,0.7693298969072165,0.7042693711856683,0.10892029999885298
AT2,,,0.04886943836615609,0.041977611940298504,0.060538116591928245,0.16580310880829016,0.09589041095890412,0.07541567695961994,0.05898416166029492,0.07015130674002751,0.10625361899247249,0.08543992120814183,0.10524849047840222,0.08191639267261627,0.05416821044831419,0.06693862414240682,0.05441376188320507,0.07537553648068669,0.059190556492411464,0.0837578968820053,0.0747485258411377,0.07281259461095972,0.11482104251741534,0.0853103283009825,0.06967691708836124,0.07052669552669553,0.05516431924882629,0.07857997606701238,0.08147493928019432,0.060051546391752586,0.07691070452069712,0.02476331392634549
AT3,,,0.024799416484318017,0.023320895522388058,0.02840059790732436,0.22020725388601037,0.32778864970645794,0.35926365795724463,0.3713817586018569,0.3149931224209078,0.3932638486778614,0.29661851608667106,0.27468648397584766,0.2890558947862847,0.21363467951093,0.229556832931578,0.1923947487550928,0.2045332618025751,0.14384485666104552,0.12471978805787651,0.14065209850849808,0.15152891310929456,0.21667067018976702,0.20848310567936731,0.22460101206695213,0.2665945165945166,0.26022803487592217,0.2758276824890308,0.17928902627511592,0.17061855670103093,0.21881992429363456,0.09779468221633919
BE2,,,,,,0.15447154471544713,0.2556390977443609,0.19999999999999998,0.19999999999999998,0.22627737226277375,0.26582278481012656,0.15,0.2794117647058823,0.24324324324324323,0.3068181818181818,0.2602739726027397,0.2542372881355932,0.2830188679245283,0.27777777777777773,0.21794871794871795,0.2804878048780488,0.3333333333333333,0.43181818181818177,0.4047619047619047,0.25993883792048933,0.1995926680244399,0.17691477885652643,0.17105263157894737,0.1479741632413388,0.19313984168865436,0.24695819039164957,0.07206194201288346
BE3,,,,,,0.8455284552845528,0.7443609022556391,0.7999999999999999,0.7999999999999999,0.7737226277372263,0.7341772151898733,0.85,0.7205882352941176,0.7567567567567567,0.6931818181818181,0.7397260273972602,0.7457627118644068,0.7169811320754716,0.7222222222222222,0.782051282051282,0.7195121951219513,0.6666666666666666,0.5681818181818181,0.5952380952380952,0.7400611620795108,0.8004073319755601,0.8230852211434736,0.8289473684210527,0.8520258367586612,0.8068601583113456,0.7530418096083504,0.07206194201288348
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
