region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.844972738935215,0.8647287436548223,0.8405619098794811,0.8563698309840336,0.855346403186753,0.8561230854529073,0.8704691342254016,0.8530163684053256,0.8530263713716735,0.8527994528554108,0.8453009303208657,0.8614386154678205,0.8636064927383846,0.8314959362678039,0.86364106275199,0.862638064227798,0.8611367373952109,0.8338980498456442,0.8633349506711953,0.8559937727036845,0.8708895601693669,0.8529549623577202,0.8349681964275968,0.8776267459944197,0.8639773621537055,0.8769941961531991,0.8648377951686556,0.8317539106994332,0.7947725792949494,0.7601455359641758,0.8506273165241548,0.023874557813829217
AT2,0.006294098781270046,0.0053537436548223355,0.004720964151377908,0.00497695236822767,0.006482855580723269,0.00495529835747453,0.004790342669178936,0.005146253195657227,0.004888057449761632,0.006124288867472876,0.006797038162141636,0.005264106724355508,0.0063415916409279086,0.0063571256135833264,0.004927805920259141,0.005362957287875885,0.005816052304360034,0.005910699495519916,0.004949053857350801,0.005611053450960042,0.005431624122669766,0.0049013083657869,0.006084580485032575,0.004342444291200563,0.0051693833024678264,0.006487270790108226,0.004869257190713045,0.005995904746952777,0.007366756580783183,0.008447192326285527,0.005672202057843367,0.0008973775146290898
AT3,0.1487331622835151,0.12991751269035534,0.15471712596914103,0.13865321664773866,0.13817074123252363,0.13892161618961812,0.1247405231054195,0.14183737839901725,0.14208557117856496,0.1410762582771163,0.1479020315169926,0.13329727780782408,0.13005191562068738,0.1621469381186127,0.13143113132775078,0.1319989784843261,0.13304721030042918,0.16019125065883594,0.131715995471454,0.1383951738453555,0.12367881570796317,0.1421437292764928,0.15894722308737075,0.11803080971437968,0.13085325454382665,0.11651853305669263,0.13029294764063126,0.1622501845536141,0.19786066412426753,0.23140727170953873,0.14370048141800185,0.023218129537450147
BE2,0.3559026154181864,0.36175765270136834,0.3617107121242687,0.3546093625179741,0.3794644512850944,0.39183008686496446,0.3690196013890488,0.36242298224960634,0.37188310113952144,0.35941698673307165,0.36661354840807836,0.3791069774071698,0.3676544834233435,0.37361410473103945,0.3798651670930476,0.3726784908309791,0.3700729025083405,0.37010787976119813,0.3285247570961857,0.319967598217902,0.3468619809165434,0.337037037037037,0.32730215379507827,0.34500740493523285,0.3347918674417882,0.3289388046491621,0.3201713057828166,0.31683298718403324,0.30450029674623075,0.31257534577400525,0.35234142153874387,0.02370158378547132
BE3,0.6440973845818136,0.6382423472986317,0.6382892878757314,0.6453906374820259,0.6205355487149056,0.6081699131350355,0.6309803986109511,0.6375770177503937,0.6281168988604786,0.6405830132669283,0.6333864515919218,0.6208930225928302,0.6323455165766566,0.6263858952689606,0.6201348329069524,0.6273215091690209,0.6299270974916594,0.6298921202388018,0.6714752429038144,0.6800324017820981,0.6531380190834565,0.662962962962963,0.6726978462049218,0.654992595064767,0.6652081325582119,0.671061195350838,0.6798286942171834,0.6831670128159668,0.6954997032537693,0.6874246542259947,0.6476585784612562,0.023701583785471346
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
