region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.6746021307378666,0.6989488437281008,0.6819163996721556,0.6468127671183049,0.6874366767983788,0.6735824258355237,0.7351990394384409,0.7072104300818826,0.6936855138258358,0.6995749110783378,0.6099231520600661,0.6674250628409056,0.6067570566046548,0.6427488400196084,0.6640521961552296,0.6281686275854973,0.65659833404857,0.6085861718226698,0.6532317573817517,0.6038797748772602,0.5952286077869327,0.5973678392310646,0.5104834935921627,0.5759631627704211,0.5643896844071845,0.5876967267069595,0.5728325728325728,0.49895175500649525,0.5288771833350217,0.5126972818277323,0.6261609473069197,0.06337071846593917
AT2,0.12514796790740498,0.11506657323055361,0.10915729081290514,0.12648904246612713,0.11094224924012157,0.11378144949305295,0.09162279486469013,0.0971460370458701,0.1038382170862567,0.09907174459963564,0.13852635543054853,0.12050550913552771,0.12400004671314624,0.11005848353226855,0.08651732544662484,0.09934940943756505,0.10184971225475631,0.08052792180406361,0.08225157716411861,0.09304274937133276,0.09470802216023756,0.0818739309028707,0.11061632979606624,0.09462699580404338,0.10909176904612694,0.10247142600682187,0.09459459459459459,0.11085673127628651,0.09684094757101719,0.09861978191829786,0.1041064328704311,0.014140484835623504
AT3,0.20024990135472842,0.18598458304134546,0.20892630951493923,0.2266981904155679,0.20162107396149948,0.2126361246714232,0.17317816569686895,0.1956435328722474,0.20247626908790756,0.20135334432202653,0.2515504925093853,0.21206942802356657,0.26924289668219875,0.24719267644812296,0.24943047839814556,0.2724819629769378,0.2415519536966736,0.3108859063732666,0.2645166654541298,0.303077475751407,0.31006337005282986,0.32075822986606467,0.37890017661177106,0.3294098414255354,0.32651854654668866,0.30983184728621865,0.3325728325728326,0.3901915137172182,0.3742818690939611,0.38868293625396977,0.2697326198226493,0.06580860091980696
BE2,0.32374506486181615,0.31470647569094207,0.31044444444444447,0.3370066632496156,0.3297687861271676,0.29966329966329963,0.2851909994767138,0.2599462365591398,0.2528059861036878,0.25826446280991733,0.24894157493649444,0.2721832044380073,0.24809384164222875,0.31647201856832335,0.29022362952701364,0.26833083707771677,0.26796241957627803,0.2633610292146878,0.24213666580536047,0.24690729634629424,0.27190860215053764,0.2772806473524113,0.28090507726269315,0.29370310281890083,0.27583343816832306,0.32431122802159773,0.33946497998027036,0.3391912370722889,0.3624938088162457,0.35746798719487793,0.2919571681652432,0.035313307531469704
BE3,0.6762549351381839,0.6852935243090579,0.6895555555555556,0.6629933367503844,0.6702312138728324,0.7003367003367003,0.7148090005232862,0.7400537634408602,0.7471940138963122,0.7417355371900827,0.7510584250635055,0.7278167955619927,0.7519061583577713,0.6835279814316767,0.7097763704729864,0.7316691629222832,0.732037580423722,0.7366389707853123,0.7578633341946396,0.7530927036537057,0.7280913978494624,0.7227193526475887,0.7190949227373068,0.7062968971810992,0.7241665618316769,0.6756887719784023,0.6605350200197295,0.6608087629277112,0.6375061911837544,0.642532012805122,0.7080428318347568,0.03531330753146971
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.0787536748138452,0.0756332106836397,0.0847799691530207,0.09491599389046478,0.085052492474855,0.07452188033756552,0.09694498993263567,0.08766716196136701,0.0954680653724374,0.07553372350188817,0.08769247299385906,0.08311957891615392,0.09694223198754923,0.09646654454117957,0.09042958673740462,0.08553141636373032,0.08742758257467456,0.09605749961461384,0.09026378495882278,0.0896625846795206,0.09118925019739298,0.10310423825887742,0.09944639676503157,0.09505523205200134,0.09240607098973747,0.08088924832018446,0.08195957034163809,0.08736736330699804,0.09834953179317472,0.08911369678555399,0.08905816814332727,0.007519420461832813
DE2,0.19465247526877108,0.18542424598051868,0.20038230564762247,0.20541493926831048,0.21469605755818225,0.19288016087369897,0.20813343607845086,0.19230625639340834,0.20582403172674066,0.1749514796816465,0.19665099056954652,0.1912447179183038,0.21812688821752266,0.20530301599592074,0.2177347942927103,0.20105783643161101,0.1859570803969269,0.22192461846770467,0.19299360394632334,0.19708344189682125,0.19437030434845792,0.2247537227949599,0.19621624223751988,0.1960786210365441,0.20259418860218403,0.19332719623514835,0.20072169177980012,0.20842052861080637,0.20023801818542453,0.1827849325000863,0.20007492743138905,0.011615458359914236
DE4,0.048182084790741264,0.05424660182110632,0.03759885800544745,0.03591170266928505,0.042168342999779757,0.05018047807759295,0.02752574842360818,0.036139090698664195,0.03526881376531167,0.039207426241593575,0.03234951360018514,0.040610868114760175,0.034349537672800516,0.023172366905252022,0.03613641438680517,0.04094378305738848,0.04222573337011678,0.0394346385077848,0.03811713557125538,0.04252703230849401,0.04336057275444316,0.03573883161512027,0.04075482597602658,0.04710684645296087,0.05346728276482702,0.051517211119045364,0.05206623899746383,0.0541793810441308,0.04674760676890313,0.04847564133549701,0.04165702032721304,0.007824520007002234
DE7,0.05144381737158717,0.0483373257764554,0.05543431890526039,0.05347661648119864,0.05287790911093165,0.05124062902289421,0.054164905913644396,0.05110246626893756,0.050164710397543735,0.05014518482856154,0.05416105330148523,0.04968492846022685,0.054463059599011265,0.05111329342222054,0.05062024039609144,0.05085884602794479,0.05325240973423953,0.05450323724371821,0.05171188495464236,0.05031917665450756,0.05429929132294457,0.05759450171821305,0.05688152890771676,0.051469308003327476,0.04950417942993613,0.04958144416817943,0.05035058928837835,0.04930259142828169,0.04905471286446534,0.051997375962434825,0.051970384565499336,0.0023751515181235474
DE8,0.07524874287390114,0.08007207107699317,0.07546024349424078,0.08006945959706162,0.06360582923427062,0.0811604445902853,0.060511902690430615,0.08151455643746221,0.08175552499440306,0.0858245445108099,0.08013819209693285,0.08535102676254724,0.06525679758308157,0.07214216917527524,0.0747984507465215,0.07706355632892854,0.08266245328919317,0.07882110374595346,0.08069060657999248,0.0804292600312663,0.08433789799506881,0.07386025200458189,0.08232802195157177,0.09491981195952875,0.08603741584895211,0.09400944654272023,0.07157243025510966,0.08938629889465582,0.07842072846092013,0.09935952767323826,0.07989362558086326,0.00858687191304037
DE9,0.13579107744469004,0.14381769607267858,0.14281495094017654,0.13455524038111866,0.14526282945451877,0.14964956121530318,0.14867384225310099,0.14820760563590613,0.1468960885278409,0.1725818827388027,0.15236670496152607,0.14944769812439765,0.14169184290030212,0.1539914260353912,0.14128082914321352,0.1466757403993591,0.1424522860080756,0.11656967781717281,0.1276953304627733,0.12519541427826994,0.1230327309013229,0.11868270332187857,0.1129543156982622,0.11585188911029001,0.1161673848709828,0.1252914404687137,0.1293916902879308,0.12149567173397989,0.12908310801641074,0.11740841763629457,0.13583256922802278,0.01469193331250422
DEA,0.1012710742974042,0.10772693069717029,0.11528238112427394,0.10078005673139867,0.09385324131855223,0.10272526104113554,0.1043940109539553,0.09733660874954266,0.09203793136533726,0.09947793641957664,0.09947020852790704,0.10527837497219955,0.11658884921724802,0.11800532567845744,0.10649962654675095,0.1114087831435315,0.11483125590416236,0.10234892862648373,0.10989507127628445,0.11420336112558624,0.11028138790259685,0.11161512027491409,0.10719684205459012,0.10830705538681783,0.09671529688662754,0.10664785387970713,0.10118603610323737,0.09744360347736303,0.10778674405737491,0.10106860477160516,0.1053887920837264,0.006875159533182968
DEB,0.04843243707216584,0.04621799429782474,0.05441702490729498,0.05359480689504692,0.049647602966008376,0.04566221571547568,0.0564849569547673,0.049945119356067116,0.04793392394537373,0.04755743451637655,0.04542486631237035,0.04321298836088665,0.04684610455003204,0.05084889803780854,0.04797141735133095,0.044268904088348285,0.042275892625753424,0.03990673655002312,0.045859286819112915,0.041501107347576865,0.043622148701081664,0.04243986254295532,0.043585423386126226,0.043073262270027675,0.04066074797085647,0.04303425016991732,0.039888855736237516,0.04048933836069805,0.05022392500339281,0.04598107930808273,0.04603362040396734,0.004337447121009089
DEC,0.0032688855031723215,0.0030098649012474366,0.003519509073606143,0.003572987126336461,0.0030375890169591076,0.0030794860792084204,0.0031900701815439944,0.003165903813271409,0.0032142514472127165,0.003347525839890472,0.0029588977692555645,0.002742975758025057,0.0031310079648448237,0.0029933334592358966,0.002795124317581563,0.002885791568320038,0.002599921417166169,0.0025531832896562357,0.002591864888591614,0.0022961177696717043,0.0023754971153985885,0.002416953035509736,0.0021662735281374867,0.0023021415720338168,0.002137306820345084,0.002288506706357059,0.0022844248843801288,0.0021019055433149263,0.002390621248342746,0.002244242654421158,0.0027554054764345965,0.00044331134187739217
DED,0.0741972632919179,0.06852275002243591,0.061652938667016696,0.06490472034329771,0.0724524631084355,0.06864898065645218,0.0622105114883956,0.0693288134580779,0.06813893242076312,0.06658191282892263,0.06978204990453836,0.07325227963525835,0.06552229241050994,0.05687333572548204,0.07021691088712471,0.07207587478248884,0.06668673036892131,0.07714467396331123,0.0739015927427783,0.07259640437727984,0.07732475622574973,0.07413516609392898,0.07947816877677756,0.06312510881971717,0.07653635152207396,0.07468619066874295,0.08002946441891691,0.07418435924147024,0.07128018289818458,0.07049511445637538,0.07053220980684485,0.005492620311618092
DEE,0.07782379491141106,0.08090737762068798,0.058830768221048144,0.06529565786602663,0.07407679318699069,0.07757612472760009,0.06760463015900635,0.07281578770524241,0.0659801068218889,0.07148660237411046,0.06874891520856924,0.06990140114167098,0.06847020049436968,0.06033880379973938,0.06300194811694862,0.06348741450304085,0.07007248012439495,0.06206644057345461,0.07423602692195143,0.07154605263157895,0.07194113572400831,0.05790378006872852,0.06542146054975209,0.06928672302721944,0.07023692089368845,0.06612579904158028,0.07415522900193944,0.05974758695712297,0.05525571295841989,0.06528156613610467,0.06798744138227651,0.006248277074996635
DEF,0.04340393267669506,0.040184457775599376,0.04595871755324386,0.04233944286857226,0.0394886572204684,0.04555283506238903,0.04590386702793176,0.049676316202110105,0.04841366296734577,0.04833225510403659,0.04898711474407188,0.045807695159018454,0.02959809576123776,0.048535438424203506,0.04114915799767458,0.046663680374894476,0.05148847591101747,0.04429050408509327,0.05043267421930522,0.04994463262115685,0.039433058355656095,0.033860252004581905,0.05171135608722863,0.04877057901762396,0.04759185227489053,0.054777903005170644,0.0476652245263315,0.05191153558950153,0.04646574312826884,0.05883368435590236,0.046239093403374065,0.005899413195999248
DEG,0.06753073968369777,0.06589947327364226,0.06386801430774784,0.06516837588188232,0.06378019235004773,0.057121942600398816,0.06425712794252902,0.06079431331994296,0.05890395624780121,0.0649720914137843,0.061269020009752796,0.06034546667655127,0.059013091641490434,0.060216048799833805,0.057365499079841994,0.05707837293041365,0.058067698275357585,0.06437875751503007,0.06161113665816646,0.06269541427826994,0.06443196845587845,0.06389461626575028,0.06185914408125933,0.06465342129190768,0.06594500112489832,0.05782350967453305,0.06872855437863644,0.06396983581167663,0.06470336461671763,0.06695611642440355,0.06257674216706145,0.0032942195299477182
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,0.0002877943229905028,0.0003128573586208384,0.0004423546373511149,0.000319604103304294,0.00040461804056970215,0.000733283126560704,0.0002898090065160283,0.0003041220231132737,0.00021110213672075775,0.0002949338409770354,0.0003710185076398894,0.00046447399492988324,0.000191663121678034,0.00013826609816443324,0.0002568647715469185,0.0002809712733280096,0.0002089989670165998,,,,7.550398912742557e-05,5.65008232977109e-05,0.00017005274843743986,8.023183178823382e-05,0.0001669442228404328,0.000190972964498981,9.580618824666344e-05,0.00021470497884330168,0.00012769654277310836,0.0002453528238173025,0.0002569074979518007,0.00014466918384240364
ES12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES13,7.461334299753775e-05,6.472910868017347e-05,9.830103052246997e-05,6.18588587040569e-05,0.00017533448424687093,0.0002774584803202663,0.00010283545392504232,0.00012866700977869273,0.0001376753065570159,0.00016087300416929202,9.982164610311307e-05,0.00012823861139478257,0.00017880766839475123,8.093625258405849e-05,6.612167100834691e-05,0.0001521047494708022,7.326975280467005e-05,,,,3.235885248318239e-05,4.497004303287194e-05,5.9358034831936546e-05,2.1013098801680288e-05,1.6420743230206507e-05,2.8503427537161345e-05,2.0827432227535534e-05,4.4592572528993435e-05,2.0933859471001375e-05,3.615725824676038e-05,8.839932422419527e-05,6.264677328402316e-05
ES21,0.00767451527974674,0.004487884868492028,0.011271851499909889,0.00696943141399041,0.010182887354337504,0.012624360854572119,0.006244916656538933,0.010620876807186635,0.007269256186210441,0.009625568082795974,0.006932745828471076,0.011217750726033846,0.009136721251700428,0.007487727478644632,0.005797584848273528,0.012451463796957059,0.008714296009801331,,,,0.009628556327773603,0.009996033411588895,0.013190317902383305,0.006242800625808289,0.00894383147938581,0.008830361851012583,0.009234883449689254,0.011007759107620045,0.006316792095374664,0.012950755105598566,0.009075997418514725,0.0023745937085289342
ES22,0.02404681454320645,0.04070382117504908,0.06086472139849599,0.03348626217846281,0.03362375917134225,0.050695628047088666,0.0367683491170174,0.03917325597716744,0.035657904398267125,0.046250988698671454,0.039600925426163336,0.054584295774537744,0.03402254145299345,0.050668342346859054,0.03891352174495394,0.08664055535134084,0.05501357292142119,,,,0.0444874297842863,0.039489463172994,0.04972919901946944,0.03765833847517494,0.05007505648051474,0.04684965867145524,0.04365950480697135,0.06221159340822684,0.03662692722343755,0.043231167556608704,0.04499013327119175,0.012162989983690224
ES23,0.010158073696664783,0.015977301659222818,0.018857414355227156,0.012691375844115674,0.012570133793698748,0.018133893535217407,0.009928295642581358,0.01257427595564497,0.011124164769806889,0.011864384057485288,0.008271062588172104,0.009441176792564664,0.006589004146468023,0.009742701404806039,0.007095222641812336,0.012257107728188811,0.009426574098541814,,,,0.00836895803296528,0.00632463297526417,0.008276435181025964,0.009793059182437636,0.009707396039590413,0.009780951159376914,0.009729534965093224,0.012092845039158884,0.009540606453908876,0.01135467042013443,0.01080263896885832,0.003056345743680888
ES24,0.12101218329300659,0.1457591645629706,0.15274341792683127,0.09419042218671066,0.09052654294346137,0.1238653930001189,0.12256116372339133,0.1489379123192813,0.12908436742785814,0.11864384057485287,0.10266700470575138,0.11640312589434704,0.10716072121430276,0.13385507239860203,0.12243529415045569,0.11314269538066325,0.12244096379753526,,,,0.16937462322910188,0.1414780615374681,0.12601871221941296,0.17307820884345815,0.1866764826220643,0.1738865848618296,0.17717375910158786,0.22788786454428042,0.1683218371555072,0.19821279837808872,0.1410199339997385,0.03367110430180604
ES30,0.012993380730571217,0.011834638703691717,0.010010321608204859,0.007876694674983246,0.014660660336642208,0.010820880732490388,0.011966307365823105,0.015931315210779954,0.012308172406197224,0.016998914107221857,0.011877892508871316,0.014961692624559571,0.012197487810692933,0.011859409232803013,0.014424626201779235,0.015174561325677391,0.014109832560597689,,,,0.011703118314750963,0.016253787861317,0.01800152726619351,0.017841076023481187,0.008913726783463766,0.011944361309447461,0.009392130563007148,0.0115445215547283,0.01693130554014591,0.014845137171598475,0.013236202982582242,0.0027473420311793007
