region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.3499142962316456,0.3608187548846066,0.37958477822435904,0.3879096028120403,0.3787867680195813,0.41529179361633284,0.3822905981950669,0.3722254548753499,0.3765027451464657,0.3874713446479676,0.32984956423141815,0.38219918844683826,0.359551681045895,0.3488736637820155,0.3757551382577559,0.3760866811591568,0.37236725911530955,0.3483256512729045,0.38290964619315065,0.37445446566312907,0.3734025767413691,0.3750623276241785,0.37099304751885576,0.3796726890014629,0.37166165666248574,0.38740685670011843,0.3872663623209584,0.34754646846866427,0.3716878315189325,0.3604771711899225,0.3722115354522646,0.01636594098695115
AT2,0.3009063808662426,0.3156778043409584,0.28100243746773057,0.28429113233250547,0.2971691410604577,0.25241588169562296,0.2726718880203751,0.26511897849095745,0.2586104474307964,0.24770329662176227,0.25924965416110124,0.2428612155864836,0.26213638700535247,0.25642686330546205,0.26667546247004575,0.27472084826345716,0.2561604144959258,0.2639798340427612,0.25195049225360466,0.25416535464153944,0.24198359180617143,0.23909434920773376,0.24091926419699203,0.25897264990602425,0.22336432763913475,0.21423527869190034,0.21135515408663838,0.2313731670960776,0.21523716588986108,0.21408381938478194,0.25515042274861527,0.025891972776748297
AT3,0.3491793229021118,0.32350344077443505,0.3394127843079104,0.3277992648554543,0.32404409091996095,0.3322923246880442,0.34503751378455805,0.36265556663369264,0.364886807422738,0.36482535873027006,0.4109007816074806,0.3749395959666782,0.37831193194875246,0.39469947291252244,0.35756939927219844,0.34919247057738595,0.37147232638876454,0.3876945146843344,0.3651398615532448,0.3713801796953315,0.3846138314524594,0.38584332316808784,0.38808768828415213,0.3613546610925129,0.40497401569837954,0.3983578646079811,0.4013784835924032,0.42108036443525815,0.4130750025912065,0.42543900942529567,0.37263804179912013,0.02882061476947827
BE2,0.6345658420010637,0.648606776609638,0.6704103189948118,0.687123312319616,0.6915464484966144,0.6698375268677008,0.6957700257296032,0.7044867090659739,0.6915216323169714,0.6930276162584835,0.6835600295714913,0.6983059932823596,0.6708244132523261,0.6658790544100626,0.6791945131086506,0.6747771914432384,0.6854652478499441,0.6714965520447312,0.6728134641169036,0.6696336775200284,0.6776256371430138,0.6781379843180089,0.6559222197293815,0.7041354591737835,0.6897269799731415,0.6898952283937475,0.6578289230523907,0.702660392492756,0.6623420216323905,0.6924103301171691,0.6789843840428665,0.01692199526226979
BE3,0.36543415799893636,0.3513932233903621,0.32958968100518815,0.31287668768038396,0.3084535515033856,0.33016247313229924,0.30422997427039666,0.2955132909340262,0.3084783676830286,0.30697238374151653,0.3164399704285087,0.3016940067176403,0.3291755867476738,0.33412094558993743,0.32080548689134936,0.3252228085567616,0.3145347521500559,0.3285034479552688,0.32718653588309643,0.3303663224799715,0.3223743628569861,0.321862015681991,0.3440777802706185,0.2958645408262164,0.31027302002685847,0.3101047716062525,0.3421710769476093,0.2973396075072439,0.3376579783676095,0.30758966988283093,0.3210156159571334,0.016921995262269812
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.06640509555987881,0.06612192960705505,0.07807360301861016,0.06390368569562202,0.06851243449181595,0.06609700320081852,0.06327848711906406,0.06350396569750863,0.06723137832612099,0.0656457230093984,0.0658834711236727,0.06210666278603853,0.06322850988068424,0.06523965219890773,0.06253080987522686,0.06560980140664309,0.06793700431399884,0.06180932786024837,0.0631185431079949,0.06599986669441599,0.06760758677513795,0.056773754711246835,0.06169185214899109,0.06702595274970233,0.06304690565508644,0.06225532266429236,0.062377413560600205,0.06650974475040866,0.07378456976972426,0.07498398444037883,0.06560980140664309,0.004223789755553632
DE2,0.29369092666157787,0.2982637227030799,0.3270906436909665,0.28013778427265934,0.3065363426188169,0.28008678403675186,0.282691686998289,0.2793836535110416,0.2850013810882976,0.2802919708029197,0.29232844188851975,0.27319157079720996,0.2951594975556496,0.28548074159241166,0.28720463599615864,0.2624258619676909,0.2866435582013074,0.2478706007718033,0.24575181279490527,0.2499656534082021,0.24329769170567636,0.22358135390327963,0.21842912261626404,0.19848040914619253,0.22575357610102353,0.19548485696845638,0.22108209664782794,0.2185499811391928,0.2532697294337634,0.23564977001079251,0.26242586196769097,0.03381554260407722
DE4,0.087246776746522,0.07149433638762828,0.049274012873006125,0.09151946556403331,0.052960403475867404,0.06965167087578682,0.08925900346707664,0.06909431424940417,0.0758990884817236,0.05784647679022947,0.058795461672993425,0.0662291657114607,0.06171566843394352,0.04824707171601036,0.06453550575665402,0.06482757888981054,0.04716764312491758,0.06353135432827232,0.058786449798766356,0.06476066886756905,0.061099061368256276,0.06624483390981284,0.06302827494840627,0.06425840973704505,0.06534472897688358,0.05960948005635897,0.0632749772077512,0.0746002766251729,0.05507660361374836,0.05944860303920494,0.06482757888981054,0.01081814778023826
DE7,0.03291698320517679,0.027550163286567446,0.03062116523881744,0.022428666671156217,0.02611306219553643,0.02632840033888641,0.021310895088828653,0.024901341613245045,0.0218856458889605,0.025140021945517864,0.024090381740487273,0.02326184073343873,0.021823082143946175,0.024991466657085376,0.022694325870801186,0.024371577671282337,0.024258237100389955,0.02017272315858114,0.021468681165265412,0.022948964365240975,0.02434625926562354,0.02135386193023116,0.027783026585946446,0.024708378467901488,0.023596567588586744,0.02215348181872421,0.02461562869117617,0.025793537030051557,0.02295138279078897,0.02456757989022849,0.02437157767128234,0.002747118845580364
DE8,0.05571500836749531,0.05996336383783981,0.03435173476565518,0.05501606136316191,0.04021961238456084,0.05750958931254183,0.05321042968844897,0.05593868922520163,0.0645520670288187,0.04820762368207623,0.04899076673253155,0.050189678990983526,0.04695316880280929,0.04706812302385744,0.04790273756011349,0.055132125325290146,0.050792155680726404,0.06257997446600552,0.05286084560430727,0.05787094659206994,0.05584483722029423,0.06694260497061091,0.05752635106961327,0.061663518437284584,0.060166052535221365,0.060455094107550164,0.06457025065497152,0.06191072551238528,0.05674504375135593,0.06311457906492217,0.05513212532529013,0.007430804302252147
DE9,0.15621198138300285,0.155674856944052,0.15945287690950266,0.16295380927047065,0.18802160039273447,0.1835001142427325,0.16865644706200825,0.1864933940245229,0.16430899548844488,0.1961108725728734,0.19571102316301464,0.19957259930985954,0.19408044224545806,0.20491924762862895,0.20593411890147048,0.2164209185899328,0.2264133526741141,0.238239686998917,0.24908408378764843,0.23335414532757123,0.24500134458764986,0.26676046088037,0.2751637540179773,0.2691998296503099,0.2590518402256265,0.29112415037014255,0.26510400763255093,0.24972614107883825,0.25035770736696383,0.23602375497059486,0.2164209185899328,0.04025734488485405
DEA,0.11776864374051516,0.13233612237170136,0.136713683363083,0.1216959722007098,0.1353234394471508,0.1260248988496869,0.11808710379365514,0.12130317079782159,0.11031949175950648,0.12659128858355992,0.1254062041246674,0.12460603982561097,0.12077353609474442,0.12969558421960337,0.11180104945281663,0.11149304864149692,0.1063089878115404,0.1022791186578893,0.11391064493475064,0.10120614348305726,0.09470113193615491,0.08980468612707082,0.09192393157430817,0.10296948157166771,0.08758257487343313,0.10414132884174969,0.09163516319684786,0.09336451653464103,0.09823393286982035,0.09679053956564648,0.11149304864149692,0.014759323505414363
DEB,0.012592037915723093,0.012630441844417408,0.014265616550310847,0.012029186560982673,0.01353381250288467,0.013187453114984808,0.010953046966915273,0.01193405641745963,0.013273179265261024,0.013718811125423403,0.0143607227306922,0.013270552212057727,0.01432772985255206,0.015173631072147172,0.015847686931500748,0.014702592961516894,0.016182205225778498,0.015735360244756205,0.016428674170739753,0.017219544775033225,0.017220152754587863,0.015283770568740269,0.016734842526958053,0.01589802550385525,0.01642570455318029,0.015356442959488547,0.01486304547909361,0.01622130013831259,0.015931537134415325,0.015776624785737783,0.014702592961516896,0.001676635880647295
DEC,0.002502089607443898,0.0022585252118688865,0.002750659711068915,0.00216171806078401,0.0023958477566724994,0.002470878213203225,0.0021864447367416417,0.0021527066369547384,0.002533836663290673,0.002744143886264968,0.002726305480893736,0.0024021354086720087,0.0025397637291836757,0.0023152306697326822,0.0026637989899838243,0.0021983449116033497,0.0019516606069739841,0.0018521544127108975,0.0017782453329873672,0.00233828876437966,0.002118054934345429,0.0017501131939720851,0.0020025229466750414,0.002018106688527358,0.0021132308424780585,0.0017497441357755552,0.001902704535304351,0.00213956997359487,0.0016891019349773238,0.0015444193710357885,0.0021983449116033506,0.00033407791953148005
DED,0.04431236956951367,0.05278221473865499,0.04883488316303503,0.05562888486325955,0.0461106285848554,0.04934679442980745,0.05245558567219293,0.05541591418744565,0.058202743762084515,0.04785458709031057,0.044311603056078785,0.04718950157185376,0.047401709569853345,0.04546026156941651,0.04522798394782679,0.04265238387154081,0.041248610666315015,0.03981481347604995,0.03927369748112465,0.03929658179997905,0.03427138258421286,0.03421145667720387,0.034125228938937296,0.03283451908824549,0.03606715131438924,0.03355837146436947,0.037000051072023504,0.034952345027033836,0.028424176369102345,0.03130508053950794,0.042652383871540814,0.007984592038130121
DEE,0.06431095534495293,0.054610178548431434,0.042536624637616344,0.055605314728640415,0.039791632575137736,0.04648769312582271,0.05935156296093205,0.04329175775625658,0.05059755087008562,0.04002480797671866,0.03990564712718206,0.042361309074091434,0.03965257763394746,0.03145210549008336,0.039887605575172444,0.04654664295190813,0.03383192359135693,0.0475429675244026,0.04283582889359577,0.03801113509704782,0.046555601923835184,0.05186764885265763,0.048777320926206444,0.048717197773176575,0.05561075397453835,0.052919146905075515,0.04897915718121548,0.06022985037092923,0.039768794487432466,0.04433799467879425,0.04654664295190813,0.007863531826520059
DEF,0.03129606428557182,0.03165010735202816,0.03450624336731167,0.03739233499222186,0.0430329502494451,0.04158031061891254,0.04057069678176158,0.04861807851130567,0.04588711904981125,0.05706597967654214,0.054254825868540905,0.06284823487900615,0.060350373292151524,0.06671726789307274,0.06275172809166829,0.06268907582683364,0.06848520241885349,0.06927722601922712,0.07051497195138803,0.07894819173695815,0.0821775357751156,0.0813435659305785,0.07688653601532769,0.08973157134800064,0.07795249618458441,0.07801678836471782,0.08060686603590905,0.06841795548849493,0.08382620329142433,0.0932757735082444,0.06268907582683364,0.01817201383933543
DEG,0.035031067612625755,0.034664037166675314,0.04152825271101605,0.039527115756298276,0.03744823332452199,0.03772840964006463,0.03798860966408573,0.037968957371832104,0.040307522327594145,0.03875769285816516,0.03323514529072576,0.032770708699717134,0.03199394076507678,0.033239616269042836,0.031018013050606707,0.030930046984450444,0.028779458583727366,0.029294692081136216,0.02418752097652603,0.02807986908847546,0.02575935916911002,0.024081888344225453,0.025927235684388872,0.022494599838091062,0.02728841717496846,0.02317579134329865,0.02398863810472807,0.027584056330944302,0.019941217186483052,0.023181296134911614,0.030930046984450444,0.006197107289721389
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
