region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.5014834268460349,0.5014834268460349,0.5014834268460349,0.5014834268460349,0.5014834268460349,0.5014834268460349,0.5014834268460349,0.5014834268460349,0.501483426846035,0.501483426846035,0.5014834268460349,0.501483426846035,0.501483426846035,0.5014834268460349,0.5014834268460349,0.501483426846035,0.5014834268460349,0.5014834268460349,0.501483426846035,0.5014834268460349,0.513399812116721,0.5134646289585632,0.4840941367417326,0.5212211141903245,0.4658639100306714,0.4746873383315404,0.49798870169599685,0.49579116105100945,0.5255483376667834,0.5227751276770058,0.501483426846035,0.01180497402864346
AT2,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849128,0.16738198747849126,0.16738198747849126,0.16738198747849128,0.16738198747849126,0.16738198747849126,0.16738198747849126,0.16738198747849128,0.16738198747849126,0.16738198747849126,0.16738198747849128,0.16738198747849126,0.14709743673526546,0.14743973530801954,0.17902887671603435,0.14867508964875145,0.17699774066921634,0.17695459733775676,0.17787634425419308,0.1798068657895348,0.19075059703803926,0.1491925912881021,0.16738198747849126,0.009505546867848836
AT3,0.33113458567547377,0.33113458567547377,0.33113458567547377,0.33113458567547377,0.33113458567547377,0.33113458567547377,0.33113458567547377,0.33113458567547377,0.3311345856754738,0.3311345856754738,0.33113458567547377,0.3311345856754739,0.3311345856754738,0.3311345856754738,0.33113458567547377,0.3311345856754738,0.33113458567547377,0.33113458567547377,0.3311345856754738,0.33113458567547377,0.33950275114801354,0.33909563573341733,0.336876986542233,0.33010379616092406,0.35713834930011235,0.3483580643307029,0.3241349540498102,0.3244019731594558,0.28370106529517725,0.328032281034892,0.3311345856754739,0.01097673434526451
BE2,0.25172182194221404,0.251721821942214,0.251721821942214,0.25172182194221393,0.251721821942214,0.251721821942214,0.25172182194221404,0.25172182194221404,0.25172182194221404,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.25172182194221393,0.251721821942214,8.867416243354845e-17
BE3,0.7482781780577861,0.748278178057786,0.7482781780577861,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.7482781780577861,0.7482781780577861,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.7482781780577861,2.439356352479611e-16
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.1251094018602841,0.1251094018602841,0.1251094018602841,0.12510940186028408,0.1251094018602841,0.1251094018602841,0.12510940186028408,0.12510940186028408,0.1251094018602841,0.1251094018602841,0.12510940186028408,0.12510940186028408,0.1251094018602841,0.1251094018602841,0.1251094018602841,0.1251094018602841,0.12510940186028408,0.1251094018602841,0.1251094018602841,0.12510940186028408,0.1251094018602841,0.12510940186028408,0.1070796342158612,0.11276981148849632,0.10115452289349634,0.1353988599655678,0.12800513385923531,0.13418026009876038,0.14821868109462463,0.1502193298783664,0.12564776914735531,0.009103930585366285
DE2,0.40603033282334955,0.4060303328233495,0.40603033282334955,0.4060303328233495,0.4060303328233496,0.4060303328233495,0.40603033282334955,0.4060303328233495,0.4060303328233495,0.40603033282334955,0.4060303328233495,0.4060303328233495,0.40603033282334955,0.4060303328233496,0.40603033282334955,0.40603033282334955,0.40603033282334955,0.4060303328233495,0.40603033282334955,0.40603033282334955,0.40603033282334955,0.40603033282334955,0.43332225808848496,0.40154543130943077,0.38294903948422343,0.3592122366129094,0.4556009926371447,0.4309016079989737,0.4308439640730395,0.40849074065135565,0.4078511197656418,0.015633503318503106
DE4,0.0885249619859288,0.0885249619859288,0.08852496198592878,0.08852496198592877,0.0885249619859288,0.08852496198592877,0.08852496198592878,0.08852496198592877,0.08852496198592878,0.0885249619859288,0.08852496198592877,0.08852496198592877,0.08852496198592878,0.0885249619859288,0.0885249619859288,0.08852496198592878,0.08852496198592878,0.08852496198592878,0.08852496198592878,0.08852496198592878,0.08852496198592878,0.08852496198592878,0.08944818852589438,0.09398348625892272,0.09866788345129143,0.09061468985669471,0.07690036421727421,0.0887419447471347,0.0824583861454609,0.08970148720458175,0.08860218646992295,0.003275197562356067
DE7,0.022275838988437824,0.022275838988437817,0.02227583898843782,0.022275838988437817,0.022275838988437824,0.022275838988437817,0.02227583898843782,0.022275838988437817,0.022275838988437817,0.02227583898843782,0.022275838988437813,0.022275838988437817,0.022275838988437817,0.02227583898843782,0.02227583898843782,0.022275838988437813,0.022275838988437817,0.022275838988437817,0.022275838988437817,0.022275838988437813,0.02227583898843782,0.022275838988437817,0.033740092220446355,0.031856925362187316,0.030387882926060643,0.026941475393547108,0.012824407677577256,0.011457164481614608,0.009368503582816774,0.011126851651952728,0.02192572536806116,0.005266664355512263
DE8,0.03567408801633798,0.03567408801633798,0.03567408801633798,0.03567408801633797,0.03567408801633798,0.03567408801633797,0.03567408801633798,0.03567408801633797,0.03567408801633798,0.03567408801633798,0.03567408801633797,0.035674088016337965,0.03567408801633798,0.03567408801633798,0.03567408801633798,0.03567408801633797,0.03567408801633797,0.03567408801633798,0.03567408801633798,0.03567408801633797,0.03567408801633798,0.03567408801633798,0.035026048575281694,0.0437106650318384,0.045816536890896445,0.04090294295975001,0.02379700775199091,0.0267049213110192,0.02414328744721415,0.025769064172760033,0.03502334701667288,0.004679716499947158
DE9,0.036586484128821914,0.036586484128821914,0.03658648412882191,0.0365864841288219,0.036586484128821914,0.036586484128821914,0.036586484128821914,0.0365864841288219,0.036586484128821914,0.036586484128821914,0.03658648412882191,0.03658648412882191,0.036586484128821914,0.03658648412882192,0.036586484128821914,0.03658648412882191,0.036586484128821914,0.03658648412882191,0.036586484128821914,0.03658648412882191,0.036586484128821914,0.03658648412882191,0.036186553446898535,0.02741177298606815,0.037609806058536976,0.03881835491936417,0.03501196421317804,0.036646723518218106,0.044080522466962216,0.03196621151591086,0.03642115199864065,0.0024178498148122655
DEA,0.014538236445964286,0.014538236445964284,0.014538236445964284,0.014538236445964282,0.014538236445964286,0.014538236445964284,0.014538236445964282,0.014538236445964282,0.014538236445964284,0.014538236445964284,0.01453823644596428,0.01453823644596428,0.014538236445964286,0.014538236445964286,0.014538236445964284,0.014538236445964282,0.014538236445964286,0.014538236445964284,0.014538236445964284,0.014538236445964284,0.014538236445964286,0.014538236445964286,0.015393114395298798,0.013970743488777845,0.017867694368213036,0.015064595867730051,0.01131394709803828,0.014027936283052224,0.014474201407062218,0.022303239487188632,0.014808555806885849,0.001673102145889255
DEB,0.031212771701555855,0.031212771701555855,0.031212771701555852,0.03121277170155585,0.031212771701555855,0.031212771701555852,0.03121277170155585,0.03121277170155585,0.03121277170155586,0.031212771701555855,0.03121277170155585,0.031212771701555845,0.031212771701555855,0.031212771701555855,0.03121277170155586,0.031212771701555855,0.031212771701555852,0.031212771701555855,0.031212771701555855,0.031212771701555852,0.031212771701555855,0.03121277170155585,0.027638888140047287,0.03730779346340343,0.03803163202332026,0.02456488280275701,0.02979447495707561,0.026531096883163987,0.026365075261222976,0.03596839349634151,0.031096107148718702,0.002692586517956076
DEC,0.00359178724404117,0.0035917872440411696,0.003591787244041169,0.0035917872440411687,0.0035917872440411704,0.003591787244041169,0.0035917872440411696,0.0035917872440411696,0.003591787244041169,0.0035917872440411696,0.0035917872440411696,0.0035917872440411687,0.00359178724404117,0.0035917872440411704,0.00359178724404117,0.0035917872440411696,0.00359178724404117,0.00359178724404117,0.00359178724404117,0.0035917872440411696,0.00359178724404117,0.0035917872440411696,0.0030022327350241454,0.0031745796552784334,0.003095578869965992,0.003881227149123074,0.003363974917820704,0.0028757269380257056,0.004443575628017648,0.003269388096689825,0.0035375201119617087,0.0002727517964019896
