region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.40562914048562365,0.41673492098233067,0.4297796513176938,0.3638659872210924,0.3916211206015539,0.38053867460678314,0.39363633053290725,0.3773598838373419,0.3922894443118905,0.4096378146607095,0.39984328402401975,0.3998432840240198,0.39984328402401986,0.3998432840240197,0.39984328402401975,0.39984328402401975,0.39984328402401975,0.39984328402401975,0.3998432840240198,0.39984328402401975,0.37676572988614465,0.3885591527593207,0.37732045573431655,0.44299032348598555,0.4185908035538344,0.34920722139800114,0.4175326552241476,0.37469833669719027,0.4289201304949891,0.4238480310062682,0.39859862163461085,0.02026665184676617
AT2,0.3762549979569403,0.3679610937243026,0.33437568647702337,0.41255112236503216,0.3869968122024602,0.3989507371798537,0.38509663409237627,0.4001607005064956,0.3799610144222967,0.3597653488557196,0.3574730029649513,0.3574730029649513,0.35747300296495144,0.3574730029649513,0.3574730029649513,0.3574730029649513,0.3574730029649513,0.3574730029649514,0.3574730029649514,0.3574730029649513,0.38971058134244035,0.37661935315554756,0.37191084346572423,0.3197703505753438,0.3409170743409385,0.40499783260374506,0.33931610991057953,0.37569545132683685,0.32274039477081234,0.3330520381575456,0.36505114023605095,0.02350956745681537
AT3,0.21811586155743606,0.21530398529336667,0.23584466220528263,0.22358289041387547,0.22138206719598585,0.22051058821336314,0.22126703537471645,0.22247941565616242,0.22774954126581287,0.23059683648357093,0.2426837130110288,0.24268371301102878,0.24268371301102884,0.2426837130110288,0.24268371301102884,0.2426837130110288,0.2426837130110288,0.2426837130110288,0.24268371301102887,0.24268371301102884,0.23352368877141497,0.2348214940851317,0.2507687007999591,0.23723932593867064,0.24049212210522705,0.24579494599825388,0.24315123486527287,0.24960621197597288,0.2483394747341986,0.24309993083618614,0.23635023812933828,0.010302971264188655
BE2,0.8500964442604249,0.8404470717913521,0.8487285333302004,0.8624277080686745,0.8620874074399105,0.8677491872553581,0.8643907772362893,0.8678865540050978,0.8728768657689566,0.8696803471648231,0.9018555292117835,0.9018555292117835,0.9018555292117836,0.9018555292117835,0.9018555292117836,0.9018555292117835,0.9018555292117836,0.9018555292117835,0.9018555292117836,0.9018555292117835,0.9018555292117836,0.8975588491717524,0.9055692199578357,0.9016019688665429,0.9217756673591478,0.8969055225924236,0.9045707226683138,0.9120195556262173,0.8897403150276713,0.8869579416361474,0.8881160493518919,0.02139457819385293
BE3,0.14990355573957512,0.15955292820864792,0.15127146666979974,0.1375722919313255,0.13791259256008956,0.13225081274464198,0.1356092227637106,0.13211344599490216,0.1271231342310434,0.1303196528351769,0.09814447078821646,0.09814447078821643,0.09814447078821645,0.09814447078821645,0.09814447078821646,0.09814447078821643,0.09814447078821645,0.09814447078821645,0.09814447078821648,0.09814447078821643,0.09814447078821645,0.1024411508282476,0.09443078004216443,0.09839803113345715,0.07822433264085224,0.10309447740757646,0.09542927733168623,0.08798044437378275,0.11025968497232866,0.11304205836385267,0.11188395064810806,0.02139457819385294
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
