region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.9398814680769411,0.9398814680769411,0.9398814680769411,0.9398814680769411,0.939881468076941,0.9498654104979812,0.9339019189765458,0.9167053951734112,0.9489597780859917,0.9499866274404921,0.9398814680769411,0.9398814680769412,0.939881468076941,0.9398814680769411,0.9398814680769412,0.9398814680769411,0.9398814680769411,0.939881468076941,0.9398814680769411,0.9398814680769412,0.9398814680769411,0.9398814680769411,0.9398814680769411,0.9398814680769411,0.9398814680769412,0.9398814680769411,0.939881468076941,0.9398814680769412,0.9398814680769411,0.9398814680769411,0.9398818610699315,0.005436449217344814
AT2,0.059187643847935734,0.059187643847935734,0.05918764384793573,0.059187643847935734,0.059187643847935734,0.04979811574697174,0.06325515280739161,0.08235375147202152,0.05076282940360611,0.0497459213693501,0.05918764384793572,0.05918764384793573,0.05918764384793572,0.059187643847935734,0.059187643847935734,0.05918764384793573,0.05918764384793573,0.05918764384793572,0.05918764384793573,0.05918764384793572,0.05918764384793573,0.059187643847935734,0.059187643847935734,0.059187643847935734,0.059187643847935734,0.05918764384793573,0.05918764384793572,0.059187643847935734,0.059187643847935734,0.05918764384793573,0.059186895566591145,0.005257179047317392
AT3,0.0009308880751231875,0.0009308880751231873,0.0009308880751231875,0.0009308880751231873,0.0009308880751231875,0.00033647375504710633,0.0028429282160625444,0.000940853354567279,0.0002773925104022192,0.00026745119015779623,0.0009308880751231873,0.0009308880751231873,0.0009308880751231872,0.0009308880751231875,0.0009308880751231875,0.0009308880751231872,0.0009308880751231872,0.0009308880751231872,0.0009308880751231872,0.0009308880751231873,0.0009308880751231875,0.0009308880751231876,0.0009308880751231873,0.0009308880751231876,0.0009308880751231873,0.0009308880751231873,0.0009308880751231871,0.0009308880751231875,0.0009308880751231875,0.0009308880751231875,0.0009312433634772209,0.0004100683861309589
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,0.03276588772509906,0.03276588772509905,0.03276588772509906,0.03276588772509906,0.03276588772509905,0.03276588772509906,0.03276588772509905,0.03450215978801408,0.026485813256529014,0.037309690130754074,0.032765887725099065,0.03276588772509906,0.03276588772509906,0.03276588772509906,0.032765887725099065,0.03276588772509906,0.03276588772509906,0.03276588772509906,0.03276588772509905,0.03276588772509906,0.03276588772509906,0.03276588772509906,0.03276588772509905,0.03276588772509906,0.03276588772509906,0.032765887725099065,0.03276588772509906,0.032765887725099065,0.03276588772509906,0.03276588772509906,0.03276588772509905,0.0014750817196401628
ES12,3.096454007907598e-05,3.0964540079075975e-05,3.096454007907598e-05,3.0964540079075975e-05,3.0964540079075975e-05,3.0964540079075975e-05,3.096454007907597e-05,1.8149479109949544e-05,3.89211069162807e-05,3.582303421099767e-05,3.096454007907598e-05,3.096454007907597e-05,3.0964540079075975e-05,3.096454007907598e-05,3.096454007907598e-05,3.0964540079075975e-05,3.096454007907597e-05,3.0964540079075975e-05,3.096454007907597e-05,3.096454007907597e-05,3.096454007907598e-05,3.096454007907598e-05,3.0964540079075975e-05,3.0964540079075975e-05,3.0964540079075975e-05,3.0964540079075975e-05,3.096454007907598e-05,3.096454007907598e-05,3.0964540079075975e-05,3.0964540079075975e-05,3.096454007907597e-05,2.942774369520234e-06
ES13,1.8507183224529577e-05,1.8507183224529574e-05,1.8507183224529577e-05,1.8507183224529574e-05,1.8507183224529574e-05,1.8507183224529577e-05,1.8507183224529574e-05,1.8149479109949544e-05,1.946055345814035e-05,1.7911517105498834e-05,1.850718322452958e-05,1.8507183224529574e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.850718322452958e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.850718322452958e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529584e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529577e-05,1.8507183224529574e-05,1.8507183224529577e-05,2.1906424512581046e-07
ES21,0.014052576899454742,0.014052576899454742,0.014052576899454742,0.014052576899454742,0.01405257689945474,0.01405257689945474,0.014052576899454742,0.014701078079059128,0.016405246565212316,0.01105140605409278,0.014052576899454746,0.01405257689945474,0.01405257689945474,0.014052576899454742,0.014052576899454742,0.014052576899454742,0.014052576899454739,0.014052576899454744,0.014052576899454742,0.01405257689945474,0.014052576899454744,0.014052576899454744,0.014052576899454742,0.014052576899454742,0.014052576899454742,0.014052576899454744,0.014052576899454742,0.014052576899454742,0.014052576899454744,0.01405257689945474,0.014052576899454739,0.0007182986310858595
ES22,0.02063943227300761,0.0206394322730076,0.020639432273007602,0.020639432273007602,0.020639432273007602,0.0206394322730076,0.0206394322730076,0.021924570764819046,0.022243412602654417,0.017750313451549343,0.020639432273007605,0.0206394322730076,0.020639432273007602,0.0206394322730076,0.020639432273007602,0.020639432273007602,0.0206394322730076,0.020639432273007602,0.0206394322730076,0.0206394322730076,0.020639432273007605,0.020639432273007602,0.0206394322730076,0.020639432273007602,0.020639432273007602,0.020639432273007605,0.020639432273007605,0.020639432273007602,0.020639432273007602,0.020639432273007602,0.020639432273007595,0.0006584030158081738
