region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7554603911043084,0.763210760515619,0.6357428645007642,0.6121452642000468,0.652450630140812,0.7411846666059911,0.7001327890716698,0.7157658933325345,0.6905229525629932,0.7400381112624479,0.7035009289818545,0.7218334004177538,0.7055008765102315,0.6226505348358354,0.6501504744968667,0.5951793079503898,0.616536454146868,0.5571084620199851,0.6555439201972785,0.6386140215848806,0.6379834055252704,0.6411355337470414,0.594041372874905,0.6482021697472572,0.6558465337861966,0.6276415726903597,0.6638165454481498,0.600481489561937,0.6030513297409745,0.6512519635181484,0.6598908207026458,0.05286727063700711
AT2,0.046722839649310795,0.0569946395269881,0.12819162478355126,0.1539985631882074,0.1395955757772753,0.06378048993243719,0.10655500081352147,0.11992952118528663,0.1502315855593582,0.11117360740714227,0.11777494860592873,0.07980358807789216,0.09358823450569588,0.11612473996124291,0.08910611449773803,0.11583925862261928,0.08055726157931685,0.07129308759298363,0.0627188783846415,0.0718484430810566,0.08023992516262368,0.07551181969720801,0.10198911824893728,0.07850387400136827,0.09840984730544587,0.1652752081623058,0.11518999574419579,0.1464102025483289,0.16600311647269245,0.12635958961620788,0.10432402332305026,0.03308294020631965
AT3,0.1978167692463808,0.17979459995739283,0.23606551071568457,0.23385617261174574,0.20795379408191267,0.1950348434615716,0.19331221011480879,0.16430458548217897,0.15924546187764854,0.14878828133040975,0.17872412241221677,0.198363011504354,0.20091088898407264,0.2612247252029216,0.2607434110053953,0.2889814334269909,0.3029062842738151,0.3715984503870314,0.28173720141808,0.2895375353340628,0.2817766693121057,0.2833526465557506,0.3039695088761577,0.27329395625137454,0.24574361890835747,0.2070832191473344,0.22099345880765447,0.2531083078897342,0.23094555378633289,0.2223884468656436,0.235785155974304,0.05164811271108927
BE2,0.15532271005883075,0.11680564455093016,0.122950248578792,0.24777267470304432,0.26433050871154407,0.2850518006906758,0.3118060912044504,0.2863288825483159,0.23428702453440678,0.2590613196174556,0.323844241223819,0.34338968062310804,0.32077405457988084,0.32071742100520334,0.30152357268055907,0.29274388142019997,0.28850953206239166,0.2321751719145856,0.23320791825216983,0.22204201852991068,,,0.16176253687315637,,,0.14423564885298248,0.1514789270668539,0.14792357101700354,0.15238103087345675,0.1936115668580804,0.23515529534737722,0.07137563920228457
BE3,0.8446772899411693,0.8831943554490698,0.8770497514212081,0.7522273252969556,0.7356694912884558,0.7149481993093241,0.6881939087955496,0.7136711174516841,0.7657129754655934,0.7409386803825445,0.6761557587761811,0.656610319376892,0.6792259454201192,0.6792825789947966,0.6984764273194408,0.7072561185798001,0.7114904679376083,0.7678248280854144,0.7667920817478301,0.7779579814700893,,,0.8382374631268437,,,0.8557643511470175,0.848521072933146,0.8520764289829964,0.8476189691265432,0.8063884331419195,0.7648447046526228,0.07137563920228457
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
