region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.6596229870643576,0.6613662672683541,0.670932229198448,0.6705254276991848,0.6789110277846414,0.6842349667776942,0.6694285719279846,0.6720473032784018,0.6779440946286643,0.6741812868085757,0.6798602470052958,0.6883255934271986,0.6898404544293658,0.6788374164661852,0.6791078544864895,0.6852141103297911,0.6856790984039506,0.6964927722181996,0.6906623844071461,0.684050457586669,0.6009634704771698,0.6126422584372843,0.5946538717403294,0.6339087437512833,0.6122230382584144,0.5801698166951156,0.6086936881881531,0.528164962123913,0.6067237284020306,0.6172253085054471,0.6524211145925246,0.04200951348597412
AT2,0.08106072980519662,0.08129483306448305,0.08080739606977154,0.08156798378243009,0.08085684058324259,0.08097615828690724,0.08422515260411842,0.08370560400496373,0.08481236684128893,0.08538871377215115,0.08933622569976694,0.08724885792506291,0.08985339511558998,0.09021582814129574,0.09155428558459673,0.0908772019377048,0.08648999027746745,0.0912849361581747,0.09296706492768374,0.0942293766055592,0.0988348847818656,0.09404487842890791,0.1025871466619689,0.0942414733674811,0.11179187517642107,0.13735561142556177,0.11523840918431254,0.1406888510636073,0.11034673203831409,0.111391196209279,0.09484246665083913,0.015549805222095326
AT3,0.2593162831304457,0.25733889966716283,0.2482603747317805,0.24790658851838518,0.24023213163211585,0.23478887493539857,0.2463462754678971,0.2442470927166345,0.23724353853004662,0.2404299994192731,0.23080352729493725,0.2244255486477386,0.22030615045504418,0.23094675539251913,0.22933785992891392,0.22390868773250414,0.2278309113185819,0.21222229162362585,0.21637055066517008,0.22172016580777165,0.30020164474096456,0.2933128631338078,0.3027589815977018,0.2718497828812357,0.27598508656516463,0.2824745718793226,0.27606790262753444,0.3311461868124797,0.2829295395596553,0.2713834952852739,0.2527364187566362,0.029924083729701737
BE2,,,,,,,,,,,,,,,,,,,,,,,,,0.2866870909282141,0.3037282300543594,0.28175669480874577,0.2435548243051631,0.22277249875482308,0.2181647881782175,0.2594440211715872,0.03606209539369532
BE3,,,,,,,,,,,,,,,,,,,,,,,,,0.713312909071786,0.6962717699456406,0.7182433051912542,0.7564451756948369,0.7772275012451769,0.7818352118217825,0.7405559788284128,0.03606209539369532
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,0.06591812545717204,0.06229391924258377,0.06676655731624541,0.08202959264831866,0.06899567143653294,0.07168275532897168,0.06997988878759587,0.06619601692550818,0.0606952028277384,0.05888096585347811,,,,,,,,,,,0.06734386958241452,0.006575920274975439
DE2,,,,,,,,,,,0.14083693604099387,0.13794903808300224,0.14570438359448448,0.1606571900818927,0.147522385473262,0.15177644424805567,0.14826842597026268,0.143351025196279,0.1356055584640823,0.1328311292815854,,,,,,,,,,,0.14445025164339004,0.008244122405399306
DE4,,,,,,,,,,,0.15131052200760134,0.1545550164943582,0.14531629169851704,0.1278523814251463,0.14307650111379083,0.13823022203879157,0.1425436609104189,0.14815829388830265,0.15721082257442343,0.16056446312979555,,,,,,,,,,,0.14688181752811458,0.0096996241819059
DE7,,,,,,,,,,,0.04555347315226106,0.044381425437104244,0.04608434796515699,0.05110234971810478,0.04675361587629088,0.047807778516640254,0.04715432952463563,0.045772328308581404,0.04376759072592585,0.043119289243038844,,,,,,,,,,,0.04614965284677399,0.0022885889407615813
