region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.31473638089674305,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.31473638089674305,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.31473638089674316,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.31473638089674305,0.3147363808967431,0.31473638089674316,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.3147363808967431,0.31473638089674305,0.31473638089674316,6.519454082306625e-17
AT2,0.4654593252519352,0.4654593252519351,0.46545932525193506,0.4654593252519352,0.4654593252519352,0.46545932525193523,0.4654593252519352,0.46545932525193506,0.46545932525193523,0.4654593252519352,0.4654593252519352,0.4654593252519351,0.46545932525193523,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519351,0.4654593252519351,0.4654593252519352,0.46545932525193523,0.4654593252519351,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519352,0.4654593252519351,0.4654593252519351,6.184897200291535e-17
AT3,0.21980429385132172,0.21980429385132175,0.21980429385132172,0.21980429385132175,0.21980429385132172,0.21980429385132175,0.21980429385132172,0.21980429385132172,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132177,0.21980429385132172,0.21980429385132172,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132172,0.2198042938513217,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132172,0.21980429385132175,0.21980429385132175,0.21980429385132175,0.21980429385132172,0.21980429385132177,4.2187971201793724e-17
BE2,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308427,0.9177942928308426,0.9177942928308425,0.9177942928308427,0.9177942928308427,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308427,0.9177942928308426,0.9177942928308426,0.9177942928308427,0.9177942928308426,0.9177942928308427,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308427,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,0.9177942928308426,2.541751127226717e-16
BE3,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.08220570716915741,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.08220570716915741,0.0822057071691574,0.08220570716915741,0.0822057071691574,0.0822057071691574,0.08220570716915741,0.0822057071691574,0.0822057071691574,0.08220570716915739,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.0822057071691574,0.08220570716915739,0.0822057071691574,0.0822057071691574,0.08220570716915741,0.0822057071691574,0.08220570716915743,1.4348354258145993e-17
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
