region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7523629489603024,0.7706329113924051,0.7491534606528512,0.7682321065703318,0.7470102745494358,0.823025952512424,0.82925877763329,0.8342443492391787,0.8434070180862575,0.8660952648587888,0.8777713792110567,0.8725701943844492,0.873593453163817,0.8452614670712119,0.8549992786033762,0.859651421832001,0.8548732050106935,0.8464184238073874,0.8662967366891268,0.8576374463370724,0.8525746951900317,0.8665433112355557,0.8594421568332783,0.8829898187236155,0.8776643930512629,0.856807336713391,0.8927626519999479,0.8622304525489357,0.8726233289871477,0.8818267733304936,0.8432653663059706,0.04224467643850728
AT2,0.08733459357277883,0.08341772151898737,0.08682107544358661,0.07913750282230751,0.0897759811352535,0.05756488128106019,0.05292587776332901,0.050376717388092775,0.04869377028907095,0.03976394548264719,0.03556003455226029,0.033981281497480205,0.03609527984801987,0.04426200249866143,0.03650266916750829,0.029878128685624426,0.03406660556064772,0.03693734110961567,0.03818205839608931,0.04500761667359092,0.04132612805740401,0.03879569154606836,0.038396802019776986,0.03567585464779406,0.0406586379622722,0.05485759021771547,0.03909966504620277,0.05016758237553757,0.047569240468241805,0.04548298215022562,0.049277175305928345,0.017732116778886933
AT3,0.1603024574669187,0.14594936708860765,0.16402546390356224,0.15263039060736056,0.16321374431531077,0.11940916620651573,0.117815344603381,0.1153789333727286,0.1078992116246715,0.094140789658564,0.08666858623668298,0.09344852411807057,0.0903112669881631,0.11047653043012673,0.10849805222911557,0.11047044948237451,0.11106018942865872,0.11664423508299687,0.09552120491478397,0.09735493698933667,0.10609917675256425,0.09466099721837588,0.10216104114694478,0.08133432662859034,0.08167696898646488,0.08833507306889352,0.06813768295384935,0.08760196507552685,0.07980743054461051,0.07269024451928068,0.107457458388101,0.026403672706816168
BE2,0.7290299271391582,0.6977114318643324,0.6708777416567219,0.6572303694078336,0.6698783572202819,0.6712958662331631,0.6501611713076235,0.6594954927656995,0.6710826675362792,0.6674518271338372,0.6529180215642649,0.649270613932444,0.6550218340611353,0.6227791878172589,0.6355415156864568,0.6138571120224476,0.6291866028708134,0.6206799222229192,0.5946763666032091,0.5761631612492032,0.5659083014935742,0.576271186440678,0.5547278753965142,0.5759897082041986,0.5673789720830072,0.5512937586806506,0.5509962691397837,0.5501759464923007,0.5330081076009994,0.5764059516608041,0.6198821755829198,0.051889233764860224
BE3,0.2709700728608418,0.3022885681356676,0.329122258343278,0.34276963059216636,0.33012164277971817,0.328704133766837,0.3498388286923764,0.3405045072343005,0.32891733246372085,0.33254817286616284,0.3470819784357351,0.35072938606755605,0.3449781659388646,0.3772208121827411,0.36445848431354333,0.38614288797755236,0.3708133971291866,0.37932007777708093,0.40532363339679084,0.42383683875079664,0.43409169850642587,0.42372881355932207,0.44527212460348575,0.4240102917958014,0.4326210279169928,0.44870624131934955,0.44900373086021633,0.4498240535076992,0.4669918923990007,0.42359404833919584,0.3801178244170802,0.05188923376486023
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.02198444134157809,0.02811985253745391,0.03349945391301156,0.030216754635710268,0.03042245945051308,0.027755324738309828,0.029904415806510716,0.023176819749189406,0.024654658363177668,0.020203155392262803,0.023445850167903518,0.020892200419061195,0.024242097022379394,0.018508245499016588,0.017328630578132186,0.019021481972177536,0.020877159749155046,0.01787340032637636,0.017373022993965627,0.018712228861002208,0.01832591612323646,0.02091343107017618,0.021550956100946254,0.02005419493628992,0.02310813954490233,0.016761015690548064,0.018326308557847632,0.018925883577657565,0.0197526989002612,0.021298470999933972,0.02224095563395622,0.004515242035176709
