region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.926331145149526,0.926331145149526,0.926331145149526,0.9347014925373135,0.9110612855007475,0.6139896373056996,0.576320939334638,0.5653206650831354,0.5696340797378482,0.6148555708390647,0.5004825323296661,0.6179415627051871,0.6200650255457502,0.6290277125410991,0.7321971100407559,0.7035045429260152,0.7531914893617021,0.7200912017167381,0.796964586846543,0.7915223150601182,0.7845993756503641,0.7756584922797457,0.6685082872928177,0.70620656601965,0.7057220708446866,0.6628787878787878,0.6846076458752516,0.6455923414439569,0.7392360344446898,0.7693298969072164,0.7190734894499256,0.11924562634705915
AT2,0.04886943836615609,0.04886943836615609,0.04886943836615609,0.041977611940298504,0.060538116591928245,0.1658031088082902,0.09589041095890413,0.07541567695961994,0.05898416166029493,0.07015130674002751,0.1062536189924725,0.08543992120814181,0.10524849047840222,0.08191639267261626,0.05416821044831419,0.06693862414240682,0.05441376188320506,0.0753755364806867,0.05919055649241147,0.0837578968820053,0.07474852584113768,0.07281259461095972,0.11482104251741533,0.0853103283009825,0.06967691708836124,0.07052669552669552,0.055164319248826296,0.07857997606701238,0.08147493928019431,0.060051546391752565,0.07504128677706105,0.024930779952867615
AT3,0.024799416484318017,0.024799416484318017,0.024799416484318017,0.02332089552238806,0.02840059790732436,0.2202072538860104,0.32778864970645794,0.35926365795724463,0.3713817586018569,0.3149931224209078,0.39326384867786146,0.296618516086671,0.27468648397584766,0.28905589478628463,0.21363467951092996,0.229556832931578,0.19239474875509277,0.2045332618025751,0.14384485666104554,0.12471978805787648,0.14065209850849808,0.15152891310929456,0.216670670189767,0.20848310567936734,0.22460101206695213,0.2665945165945166,0.2602280348759222,0.2758276824890308,0.1792890262751159,0.1706185567010309,0.20588522377301344,0.10642972702743315
BE2,0.24695819039164954,0.2469581903916496,0.24695819039164957,0.22388342889434149,0.19416998891520917,0.15447154471544713,0.2556390977443609,0.2,0.2,0.22627737226277375,0.2658227848101266,0.15,0.2794117647058823,0.24324324324324323,0.3068181818181818,0.2602739726027397,0.25423728813559315,0.2830188679245283,0.27777777777777773,0.21794871794871795,0.2804878048780488,0.33333333333333337,0.4318181818181817,0.4047619047619047,0.2599388379204893,0.1995926680244399,0.1769147788565264,0.17105263157894735,0.14797416324133883,0.19313984168865433,0.24442942495919132,0.06637338552486524
BE3,0.7530418096083503,0.7530418096083504,0.7530418096083504,0.7761165711056586,0.8058300110847907,0.8455284552845529,0.7443609022556391,0.8,0.8,0.7737226277372263,0.7341772151898734,0.85,0.7205882352941176,0.7567567567567568,0.6931818181818181,0.7397260273972603,0.7457627118644068,0.7169811320754716,0.7222222222222222,0.7820512820512819,0.7195121951219513,0.6666666666666667,0.5681818181818181,0.5952380952380952,0.7400611620795107,0.8004073319755601,0.8230852211434736,0.8289473684210527,0.8520258367586612,0.8068601583113456,0.7555705750408087,0.06637338552486526
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
