region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.8449727389352149,0.8647287436548222,0.8405619098794811,0.8563698309840336,0.8553464031867531,0.8561230854529074,0.8704691342254016,0.8530163684053256,0.8530263713716734,0.8527994528554108,0.8453009303208657,0.8614386154678203,0.8636064927383847,0.8314959362678039,0.86364106275199,0.862638064227798,0.8611367373952107,0.8338980498456441,0.8633349506711951,0.8559937727036845,0.870889560169367,0.8529549623577203,0.8349681964275966,0.8776267459944197,0.8639773621537054,0.8769941961531993,0.8648377951686557,0.8317539106994332,0.7947725792949493,0.7601455359641758,0.8506273165241548,0.02387455781382924
AT2,0.006294098781270046,0.005353743654822335,0.004720964151377908,0.00497695236822767,0.00648285558072327,0.004955298357474531,0.004790342669178936,0.005146253195657227,0.004888057449761632,0.006124288867472876,0.006797038162141636,0.005264106724355507,0.006341591640927909,0.006357125613583327,0.004927805920259141,0.005362957287875885,0.005816052304360032,0.005910699495519915,0.004949053857350801,0.005611053450960041,0.005431624122669766,0.004901308365786901,0.006084580485032574,0.004342444291200564,0.0051693833024678264,0.006487270790108228,0.004869257190713045,0.005995904746952777,0.007366756580783182,0.008447192326285527,0.005672202057843366,0.0008973775146290899
AT3,0.14873316228351507,0.12991751269035534,0.15471712596914103,0.13865321664773866,0.13817074123252365,0.13892161618961812,0.12474052310541948,0.14183737839901725,0.14208557117856496,0.14107625827711634,0.14790203151699258,0.13329727780782405,0.13005191562068738,0.1621469381186127,0.13143113132775078,0.13199897848432612,0.13304721030042915,0.1601912506588359,0.131715995471454,0.13839517384535546,0.12367881570796319,0.1421437292764928,0.15894722308737072,0.11803080971437968,0.13085325454382665,0.11651853305669266,0.1302929476406313,0.16225018455361406,0.19786066412426748,0.23140727170953873,0.14370048141800182,0.023218129537450137
BE2,0.3559026154181864,0.3617576527013683,0.3617107121242687,0.35460936251797415,0.3794644512850944,0.39183008686496446,0.3690196013890489,0.3624229822496063,0.3718831011395214,0.35941698673307165,0.3666135484080783,0.37910697740716975,0.3676544834233435,0.37361410473103945,0.37986516709304763,0.37267849083097915,0.3700729025083406,0.37010787976119813,0.32852475709618567,0.31996759821790194,0.34686198091654347,0.337037037037037,0.32730215379507827,0.3450074049352329,0.3347918674417881,0.32893880464916203,0.32017130578281655,0.31683298718403324,0.30450029674623075,0.31257534577400525,0.35234142153874387,0.023701583785471332
BE3,0.6440973845818136,0.6382423472986317,0.6382892878757314,0.6453906374820259,0.6205355487149057,0.6081699131350355,0.6309803986109511,0.6375770177503937,0.6281168988604785,0.6405830132669283,0.6333864515919216,0.6208930225928302,0.6323455165766565,0.6263858952689606,0.6201348329069524,0.627321509169021,0.6299270974916595,0.6298921202388018,0.6714752429038143,0.680032401782098,0.6531380190834565,0.662962962962963,0.6726978462049218,0.654992595064767,0.6652081325582118,0.6710611953508379,0.6798286942171833,0.6831670128159668,0.6954997032537693,0.6874246542259947,0.6476585784612562,0.02370158378547132
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
