region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.3227550671175742,0.3227550671175742,0.3227550671175742,0.3227550671175742,0.3227550671175742,0.3227550671175742,0.32275506711757423,0.3227550671175742,0.3227550671175742,0.3227550671175742,0.32275506711757423,0.3227550671175742,0.3227550671175741,0.3227550671175742,0.3227550671175742,0.32275506711757423,0.3227550671175742,0.3227550671175742,0.3227550671175742,0.3227550671175741,0.31450005640582107,0.31740097396372563,0.2989823120779903,0.33205630501079864,0.31590452349892467,0.29000202151315585,0.34192037470725994,0.3528389815586519,0.32973130841121495,0.33421381402819916,0.3227550671175742,0.010700438461142119
AT2,0.4118123306362987,0.4118123306362987,0.4118123306362987,0.4118123306362987,0.4118123306362987,0.4118123306362987,0.4118123306362988,0.41181233063629874,0.41181233063629874,0.4118123306362988,0.41181233063629874,0.41181233063629874,0.41181233063629874,0.41181233063629874,0.41181233063629874,0.4118123306362987,0.41181233063629874,0.41181233063629874,0.41181233063629874,0.41181233063629874,0.41180949874026995,0.39737911729744235,0.4205892082271215,0.3822294092749156,0.406092444381765,0.4442009171286002,0.37782328789942476,0.3989716982239491,0.4624532710280374,0.41657445416146116,0.41181233063629874,0.014562064126024928
AT3,0.265432602246127,0.265432602246127,0.265432602246127,0.265432602246127,0.265432602246127,0.265432602246127,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.26543260224612714,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.2654326022461271,0.265432602246127,0.2654326022461271,0.2736904448539089,0.285219908738832,0.2804284796948882,0.28571428571428575,0.2780030321193104,0.26579706135824405,0.28025633739331524,0.24818932021739895,0.20781542056074767,0.24921173181033968,0.2654326022461271,0.013587559202129527
BE2,0.6074033463212318,0.6074033463212318,0.6074033463212317,0.6074033463212318,0.6074033463212318,0.6074033463212317,0.6074033463212317,0.6074033463212317,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212317,0.6074033463212317,0.6074033463212317,0.6074033463212319,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212318,0.6074033463212316,2.1024607675901278e-16
BE3,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.39259665367876817,0.39259665367876817,0.3925966536787681,0.3925966536787682,0.3925966536787682,0.39259665367876817,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.39259665367876817,0.3925966536787682,0.39259665367876817,0.3925966536787682,0.39259665367876817,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.3925966536787682,0.39259665367876834,1.3906470830783614e-16
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
