region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.8283132530120482,0.89171974522293,0.8519637462235651,0.8301886792452831,0.8278481012658228,0.8460067049939297,0.8460067049939298,0.8460067049939298,0.8460067049939298,0.8460067049939298,0.834211070339342,0.013268092932283801
AT2,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015060240963855423,0.015923566878980895,0.024169184290030215,0.01886792452830189,0.07088607594936709,0.02898139852210711,0.028981398522107103,0.02898139852210711,0.028981398522107106,0.02898139852210711,0.01970062681660599,0.011044952348514681
AT3,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.1566265060240964,0.09235668789808918,0.12386706948640483,0.15094339622641512,0.10126582278481013,0.1250118964839631,0.1250118964839631,0.1250118964839631,0.1250118964839631,0.1250118964839631,0.146088302844052,0.01853858890946373
BE2,0.504223610650477,0.504223610650477,0.504223610650477,0.5042236106504772,0.504223610650477,0.504223610650477,0.504223610650477,0.504223610650477,0.5042236106504772,0.504223610650477,0.504223610650477,0.5042236106504772,0.504223610650477,0.504223610650477,0.5042236106504772,0.504223610650477,0.5042236106504772,0.504223610650477,0.504223610650477,0.504223610650477,0.504223610650477,0.7777777777777779,0.7538940809968847,0.7600596125186289,0.6532947339398952,0.3204599425071866,0.3320276497695852,0.3010737086477075,0.32163200423897204,0.3177929854576561,0.5042236106504772,0.1170953009842224
BE3,0.49577638934952295,0.4957763893495229,0.4957763893495229,0.49577638934952295,0.49577638934952295,0.4957763893495229,0.4957763893495229,0.4957763893495229,0.49577638934952295,0.49577638934952295,0.49577638934952295,0.49577638934952295,0.4957763893495229,0.4957763893495229,0.49577638934952295,0.49577638934952295,0.495776389349523,0.49577638934952295,0.4957763893495229,0.49577638934952284,0.495776389349523,0.22222222222222224,0.2461059190031153,0.2399403874813711,0.3467052660601047,0.6795400574928134,0.6679723502304147,0.6989262913522926,0.6783679957610279,0.6822070145423439,0.49577638934952284,0.1170953009842224
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
