region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,0.8333333333333334,0.788235294117647,0.8333333333333333,0.7586206896551724,0.7460317460317459,0.6826923076923076,0.6916666666666667,0.6896551724137931,0.653631284916201,0.7114093959731543,0.6976744186046512,0.7318497316140754,0.06171951174057386
AT2,,,,,,,,,,,,,,,,,,,,0.0,0.035294117647058816,0.03333333333333333,0.022988505747126433,0.031746031746031744,0.07692307692307693,0.09166666666666667,0.06896551724137932,0.0558659217877095,0.03355704697986577,0.040697674418604654,0.048885565023427786,0.022999526626191223
AT3,,,,,,,,,,,,,,,,,,,,0.16666666666666669,0.1764705882352941,0.13333333333333333,0.21839080459770113,0.22222222222222224,0.24038461538461536,0.21666666666666667,0.2413793103448276,0.2905027932960894,0.25503355704697983,0.2616279069767442,0.21926470336249684,0.04590406955323325
BE2,,,,,,0.35590778097982706,0.3839050131926121,0.34912718204488774,0.30257186081694404,0.3349282296650718,0.37222222222222223,0.48565121412803536,0.37592592592592594,0.36106983655274894,0.359805510534846,0.3618677042801557,0.3662280701754386,0.3138500635324015,0.33185840707964603,0.3306233062330623,,0.8333333333333334,0.8375,0.7945205479452054,,,,,,,0.43616090048013134,0.18167562743387328
BE3,,,,,,0.6440922190201729,0.6160949868073878,0.6508728179551122,0.697428139183056,0.6650717703349283,0.6277777777777778,0.5143487858719648,0.6240740740740741,0.6389301634472512,0.6401944894651539,0.6381322957198443,0.6337719298245614,0.6861499364675985,0.668141592920354,0.6693766937669376,,0.16666666666666666,0.1625,0.20547945205479454,,,,,,,0.5638390995198687,0.18167562743387328
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
