region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.5882263979734583,0.5989137329527435,0.6041271456993477,0.5476999881136336,0.5745491433724075,0.5645005503268267,0.5764326249026371,0.5609351914706704,0.5733090192626129,0.5881312553319878,0.5210903745935592,0.577227026356076,0.5365017972379291,0.5409620751929076,0.5758658965627529,0.5485168323704143,0.5678348019102711,0.5157215519778049,0.5617279654824455,0.5467817499659804,0.564509701362425,0.560324108080438,0.5080898383262885,0.6051828371621844,0.5624838011446024,0.5589082870822121,0.5842259590547071,0.5062076050898648,0.5492621645680184,0.5530962221402993,0.5607115215022502,0.025985202054997155
AT2,0.19129267647170023,0.1853988265144307,0.16478508305186695,0.2177106858433377,0.1990532010820559,0.20748444484377454,0.19770780015578057,0.20854130894860837,0.19468024900962083,0.18108991031856678,0.22912119727406347,0.19305722206131826,0.21999873878040063,0.20416539625208152,0.19035614170413714,0.21368638098932283,0.2000627788614605,0.21850435075034683,0.20270364313302483,0.20353414591473726,0.194458973656463,0.19352169515117626,0.2170217827792784,0.15284467827848766,0.18464768802930856,0.193823792032584,0.1770052561328897,0.21370129227112936,0.1873717512046506,0.1858011163331808,0.19743774026099276,0.016671626441377187
AT3,0.2204809255548414,0.2156874405328259,0.2310877712487855,0.23458932604302862,0.2263976555455365,0.22801500482939865,0.2258595749415823,0.23052349958072113,0.2320107317277663,0.23077883434944546,0.24978842813237712,0.22971575158260588,0.24349946398167027,0.2548725285550109,0.2337779617331101,0.23779678664026294,0.23210241922826846,0.26577409727184836,0.23556839138452976,0.2496841041192823,0.24103132498111202,0.24615419676838582,0.2748883788944332,0.24197248455932815,0.25286851082608913,0.247267920885204,0.23876878481240313,0.28009110263900583,0.26336608422733104,0.26110266152651984,0.241850738236757,0.015693792424108385
BE2,0.3712021802765721,0.3541464362012041,0.36870946659293147,0.39488623035421067,0.3942017892168588,0.40583314492425954,0.398870636550308,0.4061219369407042,0.4168343790694921,0.4099226482575064,0.4400909462743306,0.4189436815240374,0.4542581872968044,0.4677372366224686,0.47608701108254725,0.4812184903784705,0.47169025811823484,0.4864858654063432,0.4809139611437423,0.47474131530307573,0.486261214985275,0.4767025089605735,0.4767918741455882,0.4628663752648092,0.4568582073629097,0.4540293702578938,0.45650706810758285,0.4595398869644762,0.4243144733528992,0.4344439297295371,0.43870702368885495,0.03893238724927238
BE3,0.6287978197234279,0.6458535637987959,0.6312905334070685,0.6051137696457893,0.6057982107831411,0.5941668550757404,0.6011293634496919,0.5938780630592958,0.5831656209305078,0.5900773517424935,0.5599090537256695,0.5810563184759627,0.5457418127031957,0.5322627633775314,0.5239129889174529,0.5187815096215295,0.5283097418817653,0.5135141345936567,0.5190860388562576,0.5252586846969242,0.513738785014725,0.5232974910394265,0.5232081258544118,0.5371336247351909,0.5431417926370903,0.5459706297421062,0.5434929318924172,0.5404601130355239,0.5756855266471008,0.5655560702704628,0.5612929763111452,0.038932387249272365
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.08157921374952716,0.0822354923144757,0.08611441420949739,0.08946765352575022,0.08084455830096686,0.07096487528617906,0.08707783788404821,0.07935879414229809,0.08380137831952769,0.07275518449906247,0.08137759105003414,0.07315187942077528,0.08393228968503774,0.07970791952304689,0.07784207176775836,0.07604873038119032,0.08275006502070306,0.08779594068134694,0.07959268038910645,0.07983779804408257,0.08162277590421453,0.08827285291119964,0.0813570828713694,0.07921289933290872,0.08018484067880084,0.07279756249385709,0.07205609558659723,0.08061253401685521,0.0902367253953773,0.08098945452163643,0.08078597306357435,0.00513141376167995
DE2,0.19359513268442893,0.18352486613093555,0.1945945634679558,0.18138462448022388,0.18537586425364294,0.16569265373338155,0.17937288948625765,0.16793486749336206,0.17692100478146677,0.15285746763697589,0.1694539539550601,0.15607425090881277,0.17049330022067422,0.16427369473681536,0.17850491995887793,0.16159457506724584,0.16640466583961866,0.18964829417008558,0.16712565678190347,0.16543231729148483,0.16527349908043665,0.18621032053867875,0.1746388966648225,0.17091280882303642,0.177630199365524,0.17274473347967106,0.1790042989264815,0.18182297397916486,0.19414751963043628,0.17744817040806418,0.17500309946585088,0.01089619783842156
DE4,0.05774076856276737,0.05363937802177077,0.03834537324691852,0.04747452850639497,0.05134286422609702,0.06291420653090733,0.05220300826870196,0.055994421236259334,0.05857184546658585,0.06391345549985707,0.05322551058520878,0.0665134198332535,0.06268807460033067,0.04305826634957779,0.06395456993195281,0.061487504026045255,0.05470945527611358,0.056811745526721476,0.05598947151898102,0.06149554065307207,0.05976343569032688,0.05104654243575024,0.05798372858342572,0.06536195568368475,0.06303782808354767,0.06264947744323952,0.06374939618721173,0.05963684604723592,0.05343064615644232,0.057447899374137495,0.057206038785083964,0.00660421464738682
DE7,0.053361463178139695,0.05083074005826268,0.05652473100942367,0.051674967131286234,0.050725835330413464,0.04913995662127968,0.0509895370761756,0.047450289387369914,0.047289379756212536,0.04601840826368521,0.046292469572635594,0.044975664349177345,0.04593574391647124,0.04841358270664287,0.0462055123121359,0.044815324216335745,0.04867921662136316,0.04823950078556337,0.04641158931734623,0.04515868194819354,0.048742763579748424,0.04852118744196816,0.039624933047374904,0.04813784318326572,0.0445864651528764,0.045164711856632705,0.044517821024375286,0.04509443452400562,0.04787769803141925,0.05143998066624657,0.04776134773553421,0.0032573002710289344
DE8,0.07719724455383828,0.07311124194300657,0.06857712118900026,0.07557411155937062,0.06711291077872353,0.08318522311925132,0.0707612810076323,0.08488256218363725,0.08978157900644264,0.0943507924467144,0.08707740385571672,0.09188368806888862,0.08844262124974923,0.08813175601077154,0.08589611788319382,0.08817474342122444,0.08796783258952719,0.07688670649481134,0.08568170516658444,0.08528878143366898,0.08508221536822749,0.08216474002926358,0.09143469281143715,0.09030035868727163,0.09068890090207946,0.09626961635487993,0.07631090789180557,0.08918071818119919,0.07929694297813099,0.09637288847631503,0.08423558018807877,0.007945359562434393
