region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,0.949865410497981,0.9339019189765457,0.9175686927560366,0.9489597780859916,0.949986627440492,,,,,,,,,,,,,,,,,,,,,0.9398814680769411,0.01429747232059907
AT2,,,,,,0.04979811574697173,0.06325515280739161,0.08243130724396336,0.050762829403606095,0.04974592136935009,,,,,,,,,,,,,,,,,,,,,0.05918764384793573,0.014187131225007194
AT3,,,,,,0.0003364737550471063,0.0028429282160625444,0.0,0.00027739251040221914,0.0002674511901577962,,,,,,,,,,,,,,,,,,,,,0.0009308880751231873,0.001274941922563085
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,0.03450215978801408,0.026485813256529014,0.037309690130754074,,,,,,,,,,,,,,,,,,,,,0.03276588772509906,0.005616943844693519
ES12,,,,,,,,1.8149479109949544e-05,3.89211069162807e-05,3.5823034210997674e-05,,,,,,,,,,,,,,,,,,,,,3.0964540079075975e-05,1.1205750950008913e-05
ES13,,,,,,,,1.8149479109949544e-05,1.946055345814035e-05,1.7911517105498837e-05,,,,,,,,,,,,,,,,,,,,,1.8507183224529577e-05,8.341717932427618e-07
ES21,,,,,,,,0.01470107807905913,0.016405246565212313,0.011051406054092782,,,,,,,,,,,,,,,,,,,,,0.014052576899454742,0.0027351996983012725
ES22,,,,,,,,0.02192457076481905,0.022243412602654417,0.017750313451549347,,,,,,,,,,,,,,,,,,,,,0.020639432273007602,0.0025071239903057888
ES23,,,,,,,,0.04461141965225598,0.05304946872689059,0.03910084184130396,,,,,,,,,,,,,,,,,,,,,0.04558724340681685,0.007025327180872182
ES24,,,,,,,,0.026861229082725323,0.024072704627719613,0.027601647859573704,,,,,,,,,,,,,,,,,,,,,0.026178527190006212,0.0018608926592240326
ES30,,,,,,,,0.00912918799230462,0.012162845911337717,0.015780046569944473,,,,,,,,,,,,,,,,,,,,,0.012357360157862271,0.003329693198932472
ES41,,,,,,,,0.0200370249373843,0.029015685206087258,0.035572272971520685,,,,,,,,,,,,,,,,,,,,,0.028208327704997413,0.007799028944135234
ES42,,,,,,,,0.4858615557733493,0.47466235939750123,0.4789360558839334,,,,,,,,,,,,,,,,,,,,,0.47981999035159467,0.005651681605818011
ES43,,,,,,,,0.06323278521906421,0.057622698789553575,0.07322228192727924,,,,,,,,,,,,,,,,,,,,,0.06469258864529902,0.007901583262241742
ES51,,,,,,,,0.08515735598388326,0.08187054839839644,0.08237506716818914,,,,,,,,,,,,,,,,,,,,,0.08313432385015627,0.001770064704421064
ES52,,,,,,,,0.08895059711786271,0.11139220799439535,0.09016657710908113,,,,,,,,,,,,,,,,,,,,,0.09683646074044638,0.01262030052833104
ES53,,,,,,,,0.0011434171839268211,0.0008951854590744559,0.000877664338169443,,,,,,,,,,,,,,,,,,,,,0.0009720889937235733,0.00014863296736653754
ES61,,,,,,,,0.07660895132309703,0.05587124897832094,0.057119828049435786,,,,,,,,,,,,,,,,,,,,,0.06320000945028459,0.011629253158976015
ES62,,,,,,,,0.027242368144034263,0.03419219242595259,0.03308257209385635,,,,,,,,,,,,,,,,,,,,,0.03150571088794773,0.0037336152499166373
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRG0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRH0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRJ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRM0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HR,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
HU1,,,,,,0.06705860738563293,0.06436090225563909,0.07688014510952978,0.0710215427380125,0.06540417324215325,,,,,,,,,,,,,,,,,,,,,0.06894507414619351,0.005108533081498923
HU2,,,,,,0.3623002020944332,0.36421052631578943,0.35761127389423747,0.37943015983321754,0.36226547431176576,,,,,,,,,,,,,,,,,,,,,0.3651635272898887,0.008337848771926526
HU3,,,,,,0.5706411905199339,0.5714285714285714,0.5655085809962327,0.54954829742877,0.572330352446081,,,,,,,,,,,,,,,,,,,,,0.5658913985639178,0.009512155881540656
IE04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IE05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
