region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.5449994892225968,0.5519125683060109,0.5103219595678682,0.5580352007362245,0.5690680766688698,0.5420629114850036,0.5717013152312261,0.47369801915256465,0.5635433494884222,0.534841628959276,0.5420184518818063,0.030116902008416404
AT2,,,,,,,,,,,,,,,,,,,,,0.06834201654918787,0.06420765027322403,0.07690662102898706,0.061198665593005866,0.052214144084600136,0.0751384679694848,0.07594399660585491,0.07634789452971273,0.06623586429725363,0.0786037491919845,0.06951390701232954,0.008600147699057464
AT3,,,,,,,,,,,,,,,,,,,,,0.38665849422821535,0.38387978142076495,0.4127714194031447,0.38076613367076956,0.3787177792465301,0.38279862054551156,0.3523546881629189,0.4499540863177227,0.3702207862143242,0.3865546218487395,0.3884676411058641,0.026294996559891495
BE2,,,,,,,,,,,,,,,,,,,,,,0.2224080267558529,0.20446735395189,0.1681260945709282,0.16808631459398068,0.20081044574515983,0.18087063151440835,0.14654226125137212,0.12145969498910676,0.11010558069381599,0.16920848934072386,0.037910020849498925
BE3,,,,,,,,,,,,,,,,,,,,,,0.7775919732441472,0.7955326460481099,0.8318739054290718,0.8319136854060194,0.7991895542548402,0.8191293684855917,0.853457738748628,0.8785403050108932,0.889894419306184,0.8307915106592763,0.037910020849498904
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.21009346420555428,0.1770434227330779,,0.1528021714833147,0.18360498561840843,0.16601769911504424,0.15731387953610174,,0.16785156927345238,,0.1735324559949934,0.019287392363143138
DE2,,,,,,,,,,,,,,,,,,,,,0.21160095139191318,0.2444125159642401,,0.1983075203576561,0.21700223713646533,0.20035398230088497,0.19060980172091282,,0.1869256112363447,,0.20703037430120247,0.019630978204035133
DE4,,,,,,,,,,,,,,,,,,,,,0.06629593648453988,0.05683269476372925,,0.07296822608973337,0.07526366251198466,0.08336283185840708,0.07538346427235315,,0.048378706433154145,,0.06835507463055737,0.012108546327049148
DE7,,,,,,,,,,,,,,,,,,,,,0.0967639275066162,0.05986590038314177,,0.0822289637553888,0.07638223074464684,0.07486725663716813,0.07856341189674523,,0.06363794000346801,,0.07604423298959644,0.012186447153084373
DE8,,,,,,,,,,,,,,,,,,,,,0.040065659441894746,0.04118773946360153,,0.050774389270317744,0.05145413870246085,0.06973451327433627,0.054246165357276464,,0.04439049765909485,,0.05026472902414036,0.010144934178602903
