region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7761006289308177,0.8254352030947776,0.6961770623742455,0.6841511562323744,0.7443827011355401,0.7764804003336113,0.7658459926663174,0.7963142580019399,0.7726306842328942,0.8019512195121951,0.814046288906624,0.8040955631399317,0.78149300155521,0.6679536679536681,0.7185430463576159,0.6347075743048897,0.6986899563318777,0.588804422944022,0.7025787965616046,0.7106954997077732,0.7264786915997421,0.7124728669226916,0.6618526230939746,0.7464817355077986,0.748739156748033,0.7708277404921701,0.779124674043273,0.7041855687751434,0.7148893860303257,0.7135392367266958,0.7346556268072593,0.05571282812272622
AT2,0.011949685534591194,0.010154738878143135,0.0818242790073776,0.10293288212069937,0.08262865426431507,0.036419238254100636,0.05133577789418544,0.059650824442289044,0.08159796005099872,0.057235772357723584,0.013567438148443734,0.020477815699658702,0.019440124416796267,0.029601029601029602,0.012417218543046359,0.018216682646212845,0.017467248908296942,0.02349689011748445,0.017191977077363897,0.015195791934541205,0.014596400726889032,0.009294818277954028,0.016188620944448177,0.011126352690138697,0.010994553157151503,0.004026845637583893,0.010360138135175136,0.00641958401095609,0.00803711989394316,0.008584491928711394,0.028747698510008298,0.027456245849163414
AT3,0.2119496855345912,0.1644100580270793,0.22199865861837695,0.2129159616469261,0.17298864460014496,0.18710036141228797,0.1828182294394971,0.1440349175557711,0.14577135571610708,0.1408130081300813,0.17238627294493217,0.17542662116040955,0.1990668740279938,0.3024453024453025,0.26903973509933776,0.3470757430488974,0.2838427947598253,0.3876986869384934,0.28022922636103154,0.2741087083576856,0.2589249076733689,0.2782323147993544,0.3219587559615772,0.24239191180206268,0.24026629009481537,0.22514541387024609,0.21051518782155193,0.2893948472139006,0.2770734940757312,0.2778762713445927,0.23659667468273243,0.06262127827344628
BE2,0.01257861635220126,0.014018691588785045,0.029940119760479042,0.029850746268656716,0.046875,0.04736842105263158,0.02824858757062147,0.02793296089385475,0.02061855670103093,0.024193548387096774,0.04225352112676056,0.02173913043478261,0.021857923497267763,0.023809523809523815,0.013100436681222705,0.020833333333333332,0.09705882352941175,0.08641975308641975,0.048192771084337345,0.045563549160671464,0.059340659340659345,0.038461538461538464,0.05833333333333333,0.057761732851985555,0.046524769259747606,0.054143418061582974,0.04156042835288117,0.05383112654655958,0.051844932274638024,0.07190332326283987,0.04120530920216182,0.020968082889917347
BE3,0.9874213836477987,0.9859813084112149,0.9700598802395209,0.9701492537313433,0.9531250000000001,0.9526315789473685,0.9717514124293786,0.9720670391061452,0.9793814432989691,0.9758064516129031,0.9577464788732395,0.9782608695652175,0.9781420765027323,0.9761904761904763,0.9868995633187773,0.9791666666666666,0.9029411764705882,0.9135802469135802,0.9518072289156626,0.9544364508393286,0.9406593406593406,0.9615384615384616,0.9416666666666668,0.9422382671480144,0.9534752307402524,0.945856581938417,0.9584395716471188,0.9461688734534405,0.948155067725362,0.92809667673716,0.9587946907978381,0.020968082889917358
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.08543605487863379,0.07287244794825148,0.05839583652227154,0.040471167369901535,0.043373719710217334,0.04827306985580367,0.06390069551777434,0.049269268590417414,0.06093169312321742,0.06180277173290573,0.05930618737964332,0.05454545454545455,0.05790923740708011,0.05093472096032598,0.04643094132145228,0.051285606750921114,0.05184504612615316,0.05642067253441661,0.0519162815982604,0.050457769385779803,,,,,,,,0.04397893504973669,,,0.05522655134802943,0.010333947958839605
DE2,0.2108318142569318,0.18236641735732095,0.15911526098270318,0.11701828410689169,0.12228328753434924,0.14896135040019934,0.15605680061823804,0.11661184768234374,0.13093831926478636,0.14062535792005496,0.1334598531997432,0.12068302068302068,0.12884025575713468,0.10817433440709232,0.10173476158877622,0.11346618596727547,0.11355283882097056,0.13044459489957122,0.11064730322680853,0.10248639385621124,,,,,,,,0.10616734932709188,,,0.13116503008845312,0.027634943587260884
DE4,0.0286385877386549,0.0515800822047032,0.06187815704882901,0.09894514767932487,0.12880964276792406,0.07334392226478559,0.04221406491499227,0.06832592994472889,0.07383826452709515,0.07879967930363073,0.06011554240741257,0.07936507936507936,0.07693507303633622,0.061562181657994,0.08554365342686512,0.08331682579929481,0.0773831845796145,0.07543443917851501,0.08367957131208016,0.08544499627120258,,,,,,,,0.08220011702750146,,,0.07415972106936022,0.020383164972019634
DE7,0.0878345965652883,0.06273162185836535,0.057745293127200364,0.04838255977496483,0.04502872845365975,0.050422000062287836,0.04709234930448222,0.044454240276694576,0.044884906801878365,0.04540144313366165,0.047584493874019695,0.04285714285714286,0.045121380672662054,0.0444371025026844,0.0370461655133188,0.04120280496018383,0.04578864471611791,0.04402693146768976,0.04267463984778473,0.04704631642416261,,,,,,,,0.04622586307782329,,,0.04847567739390825,0.010501454317121366
DE8,0.10409670920080591,0.1271140758708982,0.18850451553650696,0.19374120956399435,0.1788970771921059,0.17879722196268963,0.16083848531684697,0.21179342850361124,0.2016075595632508,0.178307181307983,0.2027294800591666,0.20654160654160653,0.19647034360867077,0.2083918394317337,0.2000379182860935,0.17800404104433265,0.17550438760969028,0.16523734296246145,0.1722323612782977,0.17487266553480477,,,,,,,,0.15641895845523698,,,0.17905420994432322,0.026679382645042864
DE9,0.14779813873165118,0.12101610403611619,0.10841114342568497,0.07844585091420533,0.05464651511366475,0.07007381108100533,0.07732805255023183,0.06897019429656505,0.06657831811241392,0.07417248883289428,0.07035806982780274,0.0664983164983165,0.06737017206425118,0.07664987197489055,0.07894587164660158,0.08830870409254785,0.09348983724593117,0.08886255924170616,0.08068962839280862,0.08896751979436081,,,,,,,,0.09114101813926272,,,0.08374867552442442,0.021046754595441353
DEA,0.06941379641178164,0.061249241964827186,0.061725088014694625,0.04462025316455696,0.03703472395703222,0.04307203587779128,0.06051970633693972,0.044928961378047534,0.04085160323816658,0.040384835643110746,0.04194691747369596,0.040596440596440596,0.04083277018246088,0.04377632774428017,0.04201346099156319,0.04736341666336516,0.04858246456161405,0.04916121266832167,0.042616394206500215,0.04545959411643369,,,,,,,,0.05205383265067291,,,0.047533479897252234,0.008659021847159627
DEB,0.032620166938501394,0.026345933562428415,0.012628195316087554,0.0170182841068917,0.023888333749687733,0.023980815347721826,0.031684698608964446,0.026753924926248684,0.026043617297110425,0.02471652731645859,0.023192207864698163,0.017243867243867245,0.0229765555959869,0.02403568183695383,0.025310455967390278,0.02640545144804089,0.027656941423535593,0.027984653577070643,0.03236516134042636,0.0296558399314536,,,,,,,,0.034850789935634875,,,0.025588481111198054,0.005385306013301585
DEC,0.003262016693850139,0.0029310693349504755,0.0017985611510791366,0.0027777777777777775,0.001748688483637272,0.002242361954592171,0.0026564914992272025,0.0026448747075378926,0.0029961683616144736,0.0025884778375901956,0.002260612318941698,0.0018037518037518038,0.0023132505068357853,0.0019272597120123345,0.002028628306000569,0.0020403312071629494,0.00215630390759769,0.002238020010531859,0.002737545140371996,0.0027132951462164614,,,,,,,,0.0022469280280866004,,,0.0023863054233031655,0.0004292864732883017
DED,0.012280533435671113,0.0388114008489994,0.052694015000765336,0.07180028129395216,0.09758306270297276,0.07991528854838209,0.07244976816074188,0.0830422840866705,0.08469937483794762,0.08193792234566485,0.0867405319416148,0.09107744107744108,0.09097052554972189,0.08457916907574131,0.09354441179258699,0.09064617091240443,0.0852583814595365,0.08739562175581134,0.09059138741117541,0.08844390143281025,,,,,,,,0.10062024575775307,,,0.07928960568706499,0.020956178864890995
