region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AT3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES12,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES13,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
ES21,,,,,,,,6.80329960030615e-05,4.673770798280053e-05,8.670269645385971e-05,,,,,,,,,,,,,,,,,,,,,6.715780014657391e-05,1.9996863546901127e-05
ES22,,,,,,,,0.0010204949400459224,0.0015890820714152178,0.0020230629172567267,,,,,,,,,,,,,,,,,,,,,0.0015442133095726225,0.0005027877699130186
ES23,,,,,,,,0.00044221447401989974,0.0006776967657506075,0.0008092251669026907,,,,,,,,,,,,,,,,,,,,,0.000643045468891066,0.00018594285803201109
ES24,,,,,,,,0.009082404966408709,0.008739951392783697,0.013063206265714864,,,,,,,,,,,,,,,,,,,,,0.010295187541635756,0.0024032819965958078
ES30,,,,,,,,0.0004762309720214304,0.0028977378949336325,0.006936215716308777,,,,,,,,,,,,,,,,,,,,,0.00343672819442128,0.0032635461742271474
ES41,,,,,,,,0.0021600476230972023,0.0015657132174238177,0.004161729429785267,,,,,,,,,,,,,,,,,,,,,0.002629163423435429,0.001360101933424882
ES42,,,,,,,,0.0719619015222383,0.043302486446064686,0.0826276697205283,,,,,,,,,,,,,,,,,,,,,0.06596401922961043,0.02033712009822685
ES43,,,,,,,,0.05969895399268646,0.05255655262665919,0.09470824542643276,,,,,,,,,,,,,,,,,,,,,0.0689879173485928,0.022558921331529768
ES51,,,,,,,,0.03653371885364402,0.025986165638437093,0.0566168607843704,,,,,,,,,,,,,,,,,,,,,0.03971224842548384,0.015560757017576964
ES52,,,,,,,,0.02374351560506846,0.017106001121704992,0.030634952747030434,,,,,,,,,,,,,,,,,,,,,0.02382815649126796,0.006764872953708107
ES53,,,,,,,,0.0002551237350114806,0.00014021312394840157,0.0001445044940897662,,,,,,,,,,,,,,,,,,,,,0.00017994711768321614,6.514020885069977e-05
ES61,,,,,,,,0.790373331065567,0.8409282108805385,0.7032455709372563,,,,,,,,,,,,,,,,,,,,,0.7781823709611206,0.06964619132902405
ES62,,,,,,,,0.004184029254188282,0.004463451112357451,0.004942053697870004,,,,,,,,,,,,,,,,,,,,,0.004529844688138579,0.0003833488548091664
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRB0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRC2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRD1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRD2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRF1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRF2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRF3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRG0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRH0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRI3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRJ1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRJ2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRK1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FRL0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
