region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.9179456906729634,0.9219547775346463,0.8989828130480534,0.8839920386693205,0.8056872037914692,,,,,,0.8857125047432906,0.04726412617066093
AT2,,,,,,,,,,,,,,,,,,,,,0.02420306965761511,0.02224653537563822,0.03998596983514556,0.06795564401478535,0.13329383886255924,,,,,,0.0575370115491487,0.04613093659052418
AT3,,,,,,,,,,,,,,,,,,,,,0.05785123966942148,0.05579868708971553,0.06103121711680112,0.04805231731589423,0.06101895734597157,,,,,,0.05675048370756079,0.005346031817835199
BE2,,,,,,,,,,,,,,,,,,,,,,0.125,0.039278815196394076,0.0659699542782495,0.051681195516811954,,,,,,0.07048249124786388,0.03794592587148593
BE3,,,,,,,,,,,,,,,,,,,,,,0.8750000000000001,0.9607211848036059,0.9340300457217505,0.9483188044831882,,,,,,0.9295175087521361,0.037945925871485896
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES13,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES21,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES22,,,,,,,,,,,,,,,,,,,,,0.0012202562538133007,0.0,0.0,0.0,0.0,,,,,,0.0012161437946195158,
ES23,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
ES24,,,,,,,,,,,,,,,,,,,,,0.001830384380719951,0.024301336573511544,0.04186489058039962,0.03323699421965317,0.010112796577207312,,,,,,0.02219422942115398,0.016385485242166778
ES30,,,,,,,,,,,,,,,,,,,,,0.0726052471018914,0.001215066828675577,0.006660323501427213,0.0014450867052023116,0.0003889537145079735,,,,,,0.01640745283830706,0.03148196517801948
ES41,,,,,,,,,,,,,,,,,,,,,0.0677242220866382,0.05893074119076549,0.058039961941008564,0.035645472061657024,0.06845585375340334,,,,,,0.0575645922741526,0.013268273870920541
ES42,,,,,,,,,,,,,,,,,,,,,0.04514948139109213,0.05467800729040097,0.017126546146527116,0.01541425818882466,0.020225593154414623,,,,,,0.030415924062528455,0.018105067582261537
ES43,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0009514747859181732,0.0,0.0,,,,,,0.0009482681633593657,
ES51,,,,,,,,,,,,,,,,,,,,,0.05003050640634533,0.10935601458080194,0.08277830637488107,0.052504816955684,0.0688448074679113,,,,,,0.07245786996167128,0.024402097707004425
ES52,,,,,,,,,,,,,,,,,,,,,0.0006101281269066504,0.0,0.0,0.0,0.0,,,,,,0.0006080718973097579,
ES53,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0014450867052023116,0.0,,,,,,0.001440216531344932,
ES61,,,,,,,,,,,,,,,,,,,,,0.760829774252593,0.7515188335358444,0.7925784966698383,0.8603082851637762,0.8319719953325553,,,,,,0.7967472310555531,0.04636147863175185
ES62,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,
FI,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
FR10,,,,,,,,,,,,,,,,,,0.01040477096815125,0.009315424610051994,0.010079721433153123,0.012465263993648274,0.010086128739800545,0.010086128739800545,0.010331524226770418,,,,,,,0.010300006837188295,0.0009785875802871592
FRB0,,,,,,,,,,,,,,,,,,0.5575434589519097,0.6052859618717505,0.5900302391642995,0.6136562127828503,0.6244333635539439,0.6244333635539439,0.6203491793631073,,,,,,,0.5995422314830641,0.024296984952523415
FRC1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,
FRC2,,,,,,,,,,,,,,,,,,0.00012688745083111282,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.00012572106206987018,
FRD1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.00438108938730138,,,,,,,0.004340817056271977,
FRD2,,,,,,,,,,,,,,,,,,0.007486359599035656,0.0032495667244367417,0.0009163383121048293,0.004049225883287018,0.0012466001813236627,0.0012466001813236627,0.0008500621199241483,,,,,,,0.0026956696758944436,0.0024446247215586946
FRE1,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0011770090891257438,,,,,,,0.0011661896569088892,
