region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.47868561278863236,0.47008547008547014,0.46845915201654603,0.5462724935732648,0.4044526901669759,,,,,,0.47359108372617786,0.050317206494761214
AT2,,,,,,,,,,,,,,,,,,,,,0.07193605683836592,0.06495726495726496,0.06618407445708377,0.10796915167095116,0.17254174397031538,,,,,,0.09671765837879624,0.04591034243336895
AT3,,,,,,,,,,,,,,,,,,,,,0.44937833037300184,0.464957264957265,0.4653567735263702,0.3457583547557841,0.42300556586270865,,,,,,0.42969125789502594,0.049981826170741754
BE2,,,,,,,,,,,,,,,,,,,,,,,,0.51106608478803,0.7648327056383385,,,,,,0.6379493952131843,0.1794400984420487
BE3,,,,,,,,,,,,,,,,,,,,,,,,0.4889339152119701,0.23516729436166148,,,,,,0.3620506047868158,0.17944009844204875
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
