region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.7674807049879045,0.7694823139277818,0.7791282098144933,0.7822995339868231,0.7795451820470805,0.7342922028766087,0.7597973476382059,0.7062362851277696,0.7574244275620252,0.7518248175182483,0.7587511025486939,0.02357113504047181
AT2,,,,,,,,,,,,,,,,,,,,,0.06566063817532543,0.05798636698599852,0.057982271771908976,0.050457978466977346,0.06086887014907478,0.07488915323888828,0.053692941936124776,0.08586394846747365,0.061467353769324766,0.06126677654815164,0.06301362995092481,0.01041004734197046
AT3,,,,,,,,,,,,,,,,,,,,,0.16685865683676995,0.1725313190862196,0.16288951841359772,0.1672424875461996,0.15958594780384477,0.1908186438845031,0.1865097104256693,0.20789976640475688,0.1811082186686501,0.18690840593360017,0.1782352675003811,0.015115702247424234
BE2,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.5661016949152542,0.5222222222222223,0.44015444015444016,0.40211640211640215,0.31512605042016806,0.45454545454545453,0.5317220543806647,0.4702209243060673,0.07688919992936283
BE3,,,,,,,,,,,,,,,,,,,,,,0.5,0.5,0.43389830508474575,0.4777777777777778,0.5598455598455598,0.5978835978835979,0.6848739495798319,0.5454545454545454,0.46827794561933533,0.5297790756939328,0.07688919992936283
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.020426621926254267,0.018389069822861225,0.0192560852843241,0.016058425334728482,0.013774104683195593,0.015596277573529412,0.01634275618374558,0.0161337528352967,0.020469432314410483,0.016636774073845013,0.01730833000321908,0.0022217397346691427
DE2,,,,,,,,,,,,,,,,,,,,,0.060903576816457285,0.06497736118833902,0.0662605508376139,0.057250848832988116,0.06156764904620823,0.05365349264705883,0.06515017667844523,0.062486280822418964,0.07660116448326057,0.06648524955161113,0.06353363509044013,0.006151565745356972
DE4,,,,,,,,,,,,,,,,,,,,,0.27047581566673917,0.23417269044403843,0.25143904390697197,0.25383843344935836,0.24808981755808515,0.24798943014705882,0.2547955577990914,0.2249213433818687,0.22607350800582246,0.22144226606469175,0.24332379064237264,0.01594608355601242
DE7,,,,,,,,,,,,,,,,,,,,,0.02859105675058946,0.02867582810390023,0.026328695697065127,0.025625146810736937,0.024377566401580123,0.02375344669117647,0.026943462897526506,0.02882856515694739,0.030522197962154298,0.03200568990042675,0.027565165637210332,0.0026397292244955115
DE8,,,,,,,,,,,,,,,,,,,,,0.09578452796448383,0.11982683294940026,0.11651738468289409,0.13102991735890154,0.1055148396486304,0.10644531250000001,0.0913364462392731,0.10214385014999633,0.09461426491994179,0.11401447213804196,0.10772278485515634,0.01259258845786422
DE9,,,,,,,,,,,,,,,,,,,,,0.20522247653372275,0.23639685439669553,0.2219354172582019,0.23378675606995666,0.24821976194188888,0.27639590992647056,0.2507571933366986,0.2709080266334967,0.24554221251819508,0.241449687673944,0.24306142962892702,0.021054787292238857
DEA,,,,,,,,,,,,,,,,,,,,,0.031988013988283256,0.040193820001588686,0.03551792674427609,0.03316321083089539,0.03438328395446749,0.03386374080882353,0.03167592125189299,0.03574303065778883,0.052310771470160125,0.04734368235512401,0.037618340206330037,0.006963676669656807
DEB,,,,,,,,,,,,,,,,,,,,,0.02353704720182552,0.022638811660973864,0.020314395601559072,0.021973563390206927,0.018192213732522482,0.019301470588235295,0.016626703685007575,0.017377624935977172,0.02579148471615721,0.01877048673387347,0.02045238022463386,0.0029530842612291693
DEC,,,,,,,,,,,,,,,,,,,,,0.0070044982065860925,0.006195885296687584,0.00552386360703131,0.004527109269896859,0.004054264774676439,0.004480698529411764,0.004196113074204947,0.005194995244018438,0.005822416302765649,0.005009586245284187,0.005200943055056327,0.0009467628619116569
DED,,,,,,,,,,,,,,,,,,,,,0.06072406281609136,0.05568353324330764,0.05960093957306213,0.051677379401652825,0.05418680804615625,0.04833984375000001,0.05104745078243312,0.04518182483354064,0.05990720524017468,0.05507452532624158,0.05414235730126603,0.005155465751824377
DEE,,,,,,,,,,,,,,,,,,,,,0.13226729634654485,0.10862657875923425,0.10294003768617228,0.10598133635140619,0.11866521128956808,0.09030330882352941,0.11670242301867743,0.1069364161849711,0.08974708879184863,0.09861463293957574,0.1070784330191528,0.013061889038385429
DEF,,,,,,,,,,,,,,,,,,,,,0.041868188393039,0.041226467551036615,0.05128933171575333,0.043327852399154376,0.04781953323977338,0.06258616727941177,0.057641342756183746,0.06914465500841442,0.05249272197962156,0.06299090852866597,0.05303871688510543,0.009775220954029754
DEG,,,,,,,,,,,,,,,,,,,,,0.021206817389383126,0.022996266581936608,0.023076327405074728,0.021760020500117452,0.021154945683247574,0.01729090073529412,0.01678445229681979,0.014999634155264506,0.02010553129548763,0.02016203846867463,0.01995369345113002,0.0027290201422300784
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
