region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.9481012658227848,0.893048128342246,0.6966707768187423,0.6424361493123772,0.572584997301673,0.392023346303502,0.5054479418886199,0.3635014836795252,0.47466277798031353,0.6160053799596503,0.6104482247409435,0.19492141175100355
AT2,,,,,,,,,,,,,,,,,,,,,0.027848101265822784,0.061497326203208566,0.26880394574599265,0.3379174852652259,0.3480841878035619,0.5846303501945526,0.4364406779661017,0.5934718100890207,0.49398468829748454,0.35608607935440484,0.35087646521853766,0.19331061896220633
AT3,,,,,,,,,,,,,,,,,,,,,0.024050632911392405,0.04545454545454546,0.03452527743526511,0.01964636542239686,0.07933081489476526,0.023346303501945526,0.05811138014527845,0.043026706231454,0.03135253372220197,0.027908540685944856,0.038675310040518995,0.018539007163629034
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEF,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES13,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0001941747572815534,0.0002687449610319806,0.0,0.0,0.0,0.00022103069489176966,5.27290967463896e-05
ES21,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES22,,,,,,,,,,,,,,,,,,,,,0.12797374897456934,0.04477611940298507,0.0,0.0,0.0,0.0031067961165048546,0.009674818597151302,0.010707332900713823,0.004583651642475171,0.003499222395023328,0.027873617539184162,0.045951839673378125
ES23,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES24,,,,,,,,,,,,,,,,,,,,,0.11648892534864645,0.10017708069820389,0.14173509460906822,0.3050773589017215,0.17801476620180473,0.1483495145631068,0.37140553614619726,0.30532121998702144,0.33384262796027503,0.1947900466562986,0.20962903160301866,0.09951488421755515
ES30,,,,,,,,,,,,,,,,,,,,,0.0,0.00025297242600556537,0.0,0.00021791239921551536,0.0,0.0003883495145631068,0.0008062348830959419,0.0003244646333549643,0.0038197097020626434,0.006998444790046656,0.0017472827088422307,0.0026188641304610996
ES41,,,,,,,,,,,,,,,,,,,,,0.006562756357670223,0.013913483430306097,0.07425919314530526,0.02070167792547396,0.026661197703035273,0.032815533980582526,0.03171190540177372,0.03666450356911096,0.06340718105423987,0.04043545878693624,0.03314917086504092,0.02087695177253583
ES42,,,,,,,,,,,,,,,,,,,,,0.01039103089964452,0.00986592461421705,0.017493752231345947,0.004140335585094792,0.006357670221493026,0.03611650485436894,0.05321150228433217,0.03504218040233615,0.042398777692895344,0.048989113530326596,0.025211112187812204,0.018739011503703926
ES43,,,,,,,,,,,,,,,,,,,,,0.10199617172545804,0.05615987857323552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0023328149300155523,0.05108584203055762,0.04988503990530529
ES51,,,,,,,,,,,,,,,,,,,,,0.16270166803390762,0.12901593726283833,0.13995001785076758,0.06689910655916322,0.047169811320754707,0.0803883495145631,0.1362536952432142,0.11810512654120701,0.16004583651642476,0.26477449455676516,0.12464893947863465,0.061208159592784486
ES52,,,,,,,,,,,,,,,,,,,,,0.0016406890894175557,0.0022767518340500886,0.0021420921099607284,0.0037045107866637613,0.0016406890894175553,0.002718446601941748,0.004837409298575651,0.008436080467229072,0.00878533231474408,0.006220839813374806,0.004049224576287199,0.0027267813607604954
