region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.4446854663774404,0.41054313099041534,0.37178265014299333,0.40967741935483876,0.3458646616541353,0.3832335329341317,0.40674603174603174,0.48412698412698413,0.3853512705530643,0.4455017301038062,0.45044296788482835,0.39583333333333337,0.3906215921483097,0.41090146750524104,0.4006024096385542,0.38555329761684837,0.4492413294797688,0.4600411240575737,0.49689890427951205,0.5230989187740148,0.4935247747747748,0.4778040141676505,0.5373924553275976,0.5489185658295833,0.5878085120165835,0.541779526754229,0.5334870502439809,0.6125906878501239,0.4565733503452268,0.07039390100072748
AT2,,,0.2310195227765727,0.2651757188498403,0.2888465204957102,0.21290322580645163,0.29699248120300753,0.3083832335329341,0.3373015873015873,0.2757936507936508,0.30881913303437963,0.20645905420991928,0.2295127353266888,0.20560515873015872,0.20981461286804795,0.21786808579261407,0.14171686746987952,0.11158322556807686,0.12572254335260116,0.12899246058944483,0.12249328095927225,0.11446698239656868,0.15446696696696696,0.14663518299881936,0.1654533421575116,0.22252866889243722,0.1430329727278616,0.18725405018653854,0.21979730816665777,0.15166681972632934,0.20465376403144744,0.06651948571778542
AT3,,,0.324295010845987,0.32428115015974446,0.3393708293612965,0.3774193548387097,0.35714285714285715,0.3083832335329341,0.255952380952381,0.2400793650793651,0.305829596412556,0.3480392156862745,0.3200442967884829,0.39856150793650796,0.3995637949836423,0.3712304467021448,0.45768072289156625,0.5028634768150748,0.42503612716763006,0.4109664153529815,0.3806078147612156,0.3624340988294165,0.3520082582582582,0.3755608028335301,0.29715420251489083,0.22855276527797938,0.2691585152555548,0.27096642305923235,0.24671564158936138,0.23574249242354672,0.3387728856233258,0.06927952135234039
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
