region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.9808695652173914,0.9851351351351352,0.9891304347826088,0.9877551020408163,0.9880434782608695,0.9803600654664484,0.9816513761467889,0.9794050343249429,0.9840989399293286,0.9750390015600625,0.9763963963963965,0.972189580885233,0.9692255664524856,0.9690721649484536,0.9614017267648551,0.951768882360142,0.9433609716220951,0.9295095594347464,0.9611517934715155,0.9605739760378936,0.9657890822549458,0.9691316601798416,0.9543251304996272,0.9679845708775313,0.9700239808153477,0.9591995841995842,0.9711078091464421,0.9713130535232961,0.9588322125635559,0.9659178931061193,0.9693254576134832,0.013639478711195255
AT2,0.0052173913043478265,0.004054054054054054,0.004076086956521739,0.004081632653061225,0.004347826086956521,0.011456628477905073,0.013761467889908256,0.011441647597254006,0.0088339222614841,0.012480499219968801,0.0163963963963964,0.011946729338033686,0.017078119715928305,0.012677626079687936,0.018029456576942608,0.02227934875749786,0.012962746700922576,0.018453865336658357,0.01501799677299243,0.016857063248815824,0.011155734047300312,0.011542074889276608,0.016964951528709922,0.01485053037608486,0.017985611510791366,0.02442827442827443,0.019976886247317152,0.017135155949172122,0.02870264064293915,0.021688613477924088,0.014196032617437584,0.006192838874862211
AT3,0.013913043478260872,0.010810810810810811,0.006793478260869566,0.00816326530612245,0.007608695652173912,0.008183306055646482,0.0045871559633027525,0.009153318077803205,0.007067137809187279,0.012480499219968801,0.007207207207207208,0.015863689776733254,0.013696313831586067,0.018250208971858455,0.020568816658202132,0.025951768882360143,0.04367628167698237,0.05203657522859518,0.02383020975549212,0.02256896071329061,0.02305518369775398,0.019326264930881763,0.028709917971662943,0.0171648987463838,0.01199040767386091,0.016372141372141373,0.008915304606240715,0.011551790527531766,0.012465146793505003,0.012393493415956624,0.01647850976907908,0.010640748473696409
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,0.1339600470035253,0.18852459016393447,,,,,,,,,,,,,,,,,,,,,,0.16114763724574765,0.03858295848107138
DE2,,,,,,,,0.31609870740305523,0.32435597189695553,,,,,,,,,,,,,,,,,,,,,,0.3200393024570224,0.005838767717687805
DE4,,,,,,,,0.26321974148061106,0.2798594847775176,,,,,,,,,,,,,,,,,,,,,,0.2713801653233514,0.011766075322446013
DE7,,,,,,,,0.01645123384253819,0.010538641686182671,,,,,,,,,,,,,,,,,,,,,,0.013487013549583942,0.00418083400814938
DE8,,,,,,,,0.01410105757931845,0.010538641686182671,,,,,,,,,,,,,,,,,,,,,,0.012312615428620936,0.00251900843544304
DE9,,,,,,,,0.002350176263219742,0.0011709601873536302,,,,,,,,,,,,,,,,,,,,,,0.001759534421278884,0.0008338316837291179
DEA,,,,,,,,0.002350176263219742,0.0035128805620608904,,,,,,,,,,,,,,,,,,,,,,0.0029298070219106387,0.0008221560942253261
DEB,,,,,,,,0.05992949471210341,0.06440281030444965,,,,,,,,,,,,,,,,,,,,,,0.062129648601929925,0.003163111789735544
DEC,,,,,,,,0.002350176263219742,0.0023419203747072604,,,,,,,,,,,,,,,,,,,,,,0.0023446707215947615,5.837794751895754e-06
DED,,,,,,,,0.06227967097532315,0.024590163934426233,,,,,,,,,,,,,,,,,,,,,,0.04340941251215309,0.02665050600819634
DEE,,,,,,,,0.07990599294947122,0.0585480093676815,,,,,,,,,,,,,,,,,,,,,,0.06918635112853609,0.015102375023154457
DEF,,,,,,,,0.001175088131609871,0.0,,,,,,,,,,,,,,,,,,,,,,0.0011743981209630066,
DEG,,,,,,,,0.04582843713278496,0.03161592505854802,,,,,,,,,,,,,,,,,,,,,,0.03869944346730732,0.01004976366538863
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
