region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.48403609231303146,0.4988162048404069,0.4584525918858753,0.5055322566253234,0.4997025776602776,0.4844944774851317,0.5279553462845739,0.4519237459124748,0.5237390331082789,0.5518033892072443,0.49864557153226186,0.030867397484157885
AT2,,,,,,,,,,,,,,,,,,,,,0.15139684192260977,0.1533672395650649,0.16187360865022038,0.1516462924957616,0.16758096497025776,0.19219059756442933,0.15943746297046993,0.17275447018715648,0.13066397082716538,0.1381117273925168,0.15790231765456522,0.017460105671621637
AT3,,,,,,,,,,,,,,,,,,,,,0.3645670657643589,0.34781655559452823,0.3796737994639044,0.34282145087891497,0.33271645736946465,0.32331492495043895,0.3126071907449562,0.3753217839003688,0.3455969960645557,0.31008488340023904,0.34345211081317295,0.024456574270654778
BE2,,,,,,,,,,,,,,,,,,,,,,0.566711590296496,0.5894428152492669,0.46751152073732716,0.45861011752682673,0.46562809099901087,0.4372599231754162,0.4093357271095152,0.36953149239838656,0.3463673057517659,0.456710953693779,0.08086748058511985
BE3,,,,,,,,,,,,,,,,,,,,,,0.433288409703504,0.41055718475073316,0.5324884792626728,0.5413898824731732,0.5343719090009892,0.5627400768245838,0.5906642728904846,0.6304685076016133,0.6536326942482341,0.543289046306221,0.0808674805851198
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.06668985829912567,0.07632025556553858,0.052975801177240024,0.06559325282729536,0.05774666846143492,0.055200554315189776,0.05028375897179103,0.06654000604516602,0.07401281786231134,0.07165322029262955,0.06370161938177225,0.009141813216251805
DE2,,,,,,,,,,,,,,,,,,,,,0.18772234977620073,0.21593291404612158,0.21264442991061697,0.19984665516580405,0.21823260196527125,0.18099930710601275,0.18636287764980808,0.21171035018783194,0.20746330370064087,0.1870185514380783,0.20079333409463865,0.014138152475756999
DE4,,,,,,,,,,,,,,,,,,,,,0.09719613163570583,0.07437356493960268,0.07787224765642031,0.07690243434924285,0.08587966078880065,0.08511047809685117,0.08103822400267068,0.07457144090850208,0.06279718833988009,0.06727745111445371,0.07830188218321303,0.009784820761084148
DE7,,,,,,,,,,,,,,,,,,,,,0.046503861406804424,0.04547269641609264,0.03806409417920209,0.04822695035460992,0.04438686229640598,0.04784817922857802,0.049991654147888503,0.05496783108078932,0.053132106677692775,0.06344865308354984,0.04920428888716137,0.0068596313366696
DE8,,,,,,,,,,,,,,,,,,,,,0.03575685892529975,0.03099730458221024,0.02511445389143231,0.023385087214874443,0.024565890429398305,0.025406112864731694,0.022158237356034054,0.029319055226909627,0.02568740955137482,0.03837914216691736,0.028076955220918264,0.005438335056102467
DE9,,,,,,,,,,,,,,,,,,,,,0.21314037895127436,0.1940201657182789,0.21155439284935687,0.20241518113858536,0.19942118723919774,0.2280006159057664,0.22462860958103825,0.21231486679044861,0.18503204465577835,0.18560554264095902,0.2056132985470684,0.014931353382165996
DEA,,,,,,,,,,,,,,,,,,,,,0.14272594447923187,0.17120894479385046,0.1714410289949858,0.18934253402338505,0.18848431821241082,0.1937023635383786,0.19291437155733604,0.17133727708450278,0.19888360554062434,0.18391904827020375,0.18039594364949096,0.016663735609490322
DEB,,,,,,,,,,,,,,,,,,,,,0.04713467380968946,0.04122990915443745,0.04547634619577066,0.04815027793751197,0.03513258850450936,0.0419585803372084,0.04043565348022034,0.03890496135411719,0.05721521604300186,0.04977437440175031,0.044541258121821706,0.0063545441769449745
DEC,,,,,,,,,,,,,,,,,,,,,0.007068809573505878,0.005540581012279125,0.005580989753651624,0.006095457159286946,0.005451608561044555,0.005735622449765185,0.005174428309130363,0.004792953063603782,0.007339259871821375,0.005515292401659146,0.005829500215574799,0.0008017423834365683
DED,,,,,,,,,,,,,,,,,,,,,0.056902989401423965,0.053409204352600576,0.055373882712012205,0.048648648648648644,0.05121819895006057,0.04734775579336361,0.045568352528793196,0.043222937087093564,0.04336365515815588,0.042891654131911205,0.048794727876406346,0.005207985714697745
DEE,,,,,,,,,,,,,,,,,,,,,0.046610542916115855,0.03928321852850155,0.04652278177458034,0.04040636381061913,0.04199757706286176,0.034144275925783354,0.04260557502921049,0.03601191761302302,0.036644614430432085,0.03783217101964538,0.0402059038110773,0.004261359184280068
DEF,,,,,,,,,,,,,,,,,,,,,0.01974071754910828,0.01757013077767795,0.018879441901024634,0.016829595552999805,0.013965540449589448,0.0232119485718685,0.022909364046069105,0.026598730515134505,0.017572875749431463,0.02816901408450704,0.020544735919741076,0.004542073888941936
DEG,,,,,,,,,,,,,,,,,,,,,0.032806883276513835,0.034641110112808224,0.03850010900370612,0.03415756181713628,0.03351729707901467,0.03133420586650242,0.03592889334001002,0.029707673042877497,0.03085590241885466,0.038515884953735355,0.03399655209111592,0.00301612269118515
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,,,,,,,,,,,,,,,,,,,,,6.740815638692282e-05,0.0,0.0,0.0,0.0,0.00012812026221947,0.0,0.0,0.0,0.0007333822254816988,0.00030914280417364357,0.0003682276163537357
ES12,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
ES13,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0001708270162926267,0.00020933640360058613,0.00018902570749621954,0.00013325042195966953,0.00015001000066671113,0.0001702178649705242,3.0244609645106242e-05
ES21,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0016228566547799536,0.0020759193357058124,0.0033754590624324914,0.0024281188001539777,0.0021168077871858127,0.002320124266726929,0.0006543090560930187
ES22,,,,,,,,,,,,,,,,,,,,,0.013549039433771485,0.011733061262347539,0.005040456293938188,0.003456501630884572,0.004658418274675727,0.00886165147018001,0.008547903147023934,0.007209980557355802,0.00676616031506322,0.007617174478298554,0.00773167778987268,0.0031265269157802617
ES23,,,,,,,,,,,,,,,,,,,,,0.010178631614425346,0.00904326856188842,0.01658044833532299,0.01577333138600847,0.012201636857063486,0.01229954517306912,0.011112274091131115,0.012691726074746168,0.008927778271297858,0.013950930062004135,0.012256368709671863,0.002606791532428996
ES24,,,,,,,,,,,,,,,,,,,,,0.05958881024603977,0.06446227333858925,0.05628509528230977,0.0711016990409425,0.07737675492018718,0.1023040293822468,0.15956667364454677,0.1616709872542666,0.1319771401498327,0.15269351290086008,0.1035372226986858,0.04368162862164935
ES30,,,,,,,,,,,,,,,,,,,,,0.008021570610043815,0.012289570096925289,0.040456293938188094,0.038264933547539064,0.01130414342799752,0.023595481625419062,0.019119391528853537,0.01628321451717434,0.017470610879156672,0.01916794452963531,0.020564449024453046,0.010861035873906749
ES41,,,,,,,,,,,,,,,,,,,,,0.07745197168857432,0.09548764086629875,0.1268956979263386,0.13526605325933497,0.14552214885569587,0.1818453588435011,0.20560323773637568,0.09291963707064162,0.14775991235083352,0.14620974731648778,0.13527993394323246,0.03984071369753521
ES42,,,,,,,,,,,,,,,,,,,,,0.21462756993596227,0.27440523118304505,0.263739664853871,0.3243512974051896,0.22281342821121009,0.2721274369541543,0.33300188402763237,0.2819723482393606,0.2756655118296763,0.2736682445496367,0.2732006279158705,0.03702206214851318
ES43,,,,,,,,,,,,,,,,,,,,,0.1346814964610718,0.1162175949543199,0.059954901180527924,0.05527968453337227,0.04557984486185011,0.07223847451474451,0.06201590956667364,0.06356664506372868,0.10606733587989695,0.052253483565571045,0.07666301295141321,0.03073036626638448
ES51,,,,,,,,,,,,,,,,,,,,,0.12537917087967645,0.10847284700644623,0.08444975018791176,0.05637505476851175,0.05357181015877086,0.03585232004441502,0.027928965180378202,0.03434867141931303,0.017885167747475644,0.02078471898126542,0.056414684746724175,0.03761691974349178
ES52,,,,,,,,,,,,,,,,,,,,,0.0,0.00013912720864443722,0.0002210726444709732,0.0004624896548366681,0.0001923200205141355,0.0007473681962802416,0.0014827995255041518,0.004212572909915749,0.0024133131977140147,0.0022168144542969535,0.0013409543989861183,0.0013840739397859925
ES53,,,,,,,,,,,,,,,,,,,,,0.011594202898550725,0.006399851597644112,0.005747888756245303,0.006450513606932475,0.004060089321965082,0.003864961243620679,0.003715721163910404,0.00372650680492547,0.0023985075952740516,0.0015834388959263953,0.004946262988440935,0.0028278176262594595
ES61,,,,,,,,,,,,,,,,,,,,,0.3398045163464779,0.29796410518016975,0.3377105716938586,0.2917822890803758,0.42169369831399445,0.2839999145864919,0.1650617542390622,0.3166720674011666,0.2795741908738266,0.30653710247349825,0.3035948107255602,0.06405144719905312
ES62,,,,,,,,,,,,,,,,,,,,,0.005055611729019211,0.003385428743681306,0.002918158907016846,0.0014361520860717587,0.0010257067760753894,0.0003416540325852534,0.000558230409601563,0.001161157917476777,0.0005330016878386781,0.0003166877791852791,0.0016705091712178864,0.0015922149066622162
