region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.7503410641200544,0.7046548956661316,0.7443502824858756,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9983958934873275,1.0,1.0,0.9988983144210642,0.997001499250375,0.9984759969519938,0.9962820512820512,0.9947344322344323,0.9950902755780805,0.9938668661181751,0.9843110504774898,0.9901022229433717,0.9872639437856829,0.9834910851860005,0.9763210368893319,0.9399887553846092,0.0832288942392512
AT2,,,0.16916780354706681,0.18619582664526485,0.17231638418079093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001499250374812594,0.000508001016002032,0.0007692307692307692,0.0009157509157509158,0.0019005384859043398,0.003290949887808527,0.007276034561164166,0.005192276488723025,0.005379885814668423,0.007704160246533127,0.011839481555333996,0.039825801387030645,0.0732624156709746
AT3,,,0.08049113233287858,0.10914927768860354,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0016041065126724415,0.0,0.0,0.0011016855789357718,0.001499250374812594,0.001016002032004064,0.002948717948717949,0.00434981684981685,0.0030091859360152047,0.002842183994016455,0.008412914961346067,0.004705500567905241,0.007356170399648661,0.008804754567466433,0.011839481555333996,0.02018544322836022,0.035444912602799486
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,0.14285714285714285,0.15692821368948248,0.09567901234567902,,,0.10116731517509728,0.06069364161849711,0.07984031936127745,,,,,,,,,,,,,,,,0.10450924106791591,0.03692906200854475
DE2,,,,,,,,0.20238095238095236,0.318864774624374,0.31790123456790126,,,0.1906614785992218,0.18208092485549132,0.17365269461077842,,,,,,,,,,,,,,,,0.22725950503781225,0.0684105895040762
