region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.6786324786324787,0.6856469002695418,0.6820662058930521,0.6699321778447626,0.673259493670886,0.6608467917939764,0.7177512514439739,0.7203682393555813,0.7041776439593527,0.6896268962689627,0.6866338846669647,0.6777011494252874,0.6794425087108014,0.6806406029203956,0.6661442006269592,0.6776212832550862,0.6768410852713178,0.6773526370217167,0.6754574811625403,0.6618942731277533,0.6443036475603979,0.6362212943632568,0.6207743906488676,0.6075611980079961,0.618116985531098,0.6148118864070634,0.5959265061956986,0.5990929378734432,0.5963954907733181,0.5950888953657826,0.6590110139349438,0.036915277472121394
AT2,0.12683760683760684,0.1236522911051213,0.12222626409603493,0.127731725697061,0.12579113924050633,0.1313836752509821,0.10242587601078168,0.10817031070195628,0.11328566051938277,0.11890118901189013,0.11354492624050067,0.11172413793103449,0.10900945744151318,0.10315591144606688,0.10135841170323928,0.09650495565988525,0.09544573643410853,0.0951396070320579,0.08611410118406888,0.09196035242290747,0.08627427759355756,0.08918319415448851,0.09656638108520954,0.09728554394332609,0.09936227113762601,0.10041510179877447,0.09614015097564449,0.09668130444172486,0.093702879299203,0.09202856310113669,0.10506676678324656,0.013405191561619725
AT3,0.19452991452991453,0.19070080862533692,0.19570753001091307,0.20233609645817632,0.20094936708860758,0.20776953295504147,0.17982287254524454,0.17146144994246262,0.18253669552126459,0.19147191471914723,0.19982118909253466,0.21057471264367814,0.21154803384768542,0.21620348563353742,0.23249738766980146,0.22587376108502868,0.22771317829457366,0.22750775594622544,0.2384284176533907,0.2461453744493392,0.2694220748460445,0.2745955114822547,0.2826592282659229,0.29515325804867787,0.2825207433312762,0.28477301179416226,0.30793334282865686,0.3042257576848319,0.309901629927479,0.3128825415330807,0.23592221928180965,0.04474177222453883
BE2,0.35806451612903223,0.3485045513654096,0.32413793103448274,0.3323262839879154,0.3391003460207612,0.3283582089552239,0.2930693069306931,0.2788844621513944,0.26492537313432835,0.2838095238095238,0.25773195876288657,0.29377431906614787,0.2643171806167401,0.303921568627451,0.2971576227390181,0.27749999999999997,0.2693877551020408,0.2757201646090535,0.25,0.2504638218923933,0.2700892857142857,0.29545454545454547,0.27999999999999997,0.29059829059829057,0.28187059577194107,0.3173056994818653,0.32133164465351916,0.3400576368876081,0.3541170871013803,0.34913146043319754,0.29970370470103763,0.032806281395464446
BE3,0.6419354838709678,0.6514954486345903,0.6758620689655173,0.6676737160120846,0.6608996539792388,0.6716417910447761,0.706930693069307,0.7211155378486056,0.7350746268656717,0.7161904761904763,0.7422680412371134,0.7062256809338521,0.7356828193832599,0.696078431372549,0.7028423772609819,0.7224999999999999,0.7306122448979592,0.7242798353909465,0.7500000000000001,0.7495361781076066,0.7299107142857143,0.7045454545454546,0.72,0.7094017094017094,0.718129404228059,0.6826943005181346,0.678668355346481,0.659942363112392,0.6458829128986197,0.6508685395668025,0.7002962952989624,0.032806281395464446
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.07676984370211463,0.07888090916265487,0.08126973574871198,0.08797853960170955,0.09406419180201081,0.09066755230820325,0.09190976626200399,0.09318491794623608,0.09316941144089178,0.09007377902503057,0.09087389915803734,0.09546143642220958,0.09906570529095154,0.09726575685971935,0.09734155463459011,0.09907502569373072,,0.09791231732776617,0.09821018815970628,0.09552986307208694,0.096574632778692,0.09878552648053086,0.09933222036727879,0.09926095820591237,0.09784474537478541,0.0934550613780766,0.09001371400074805,0.08963710707896755,0.08777316236229007,0.08800281046899702,0.09273739076257395,0.00609658236606004
DE2,0.18985596077229547,0.1907110725278194,0.19320259265414658,0.2066472674365736,0.22090100541376642,0.21620724011956163,0.21444102192426165,0.2128118263012011,0.2111106014037341,0.20689811252432902,0.2102971063582696,0.21707409512980858,0.22910531126231337,0.22717847326035592,0.23102193470130397,0.23078108941418293,,0.2278705636743215,0.22104941104482176,0.21988385103095526,0.22483086487474854,0.22855890822586702,0.21303362747436203,0.22177624872579008,0.21425392586941314,0.21596446857072357,0.2046502929809251,0.2094939943777153,0.20131238336042384,0.2002459160372387,0.21417824715349065,0.011725125552065438
DE4,0.059492798038614784,0.06021624181201167,0.05949808874854578,0.05410566518141311,0.0451952822892498,0.051430469231864125,0.04085885124116688,0.0450965726604778,0.04449745401165191,0.04064635857511429,0.042388464144004635,0.04022171688459352,0.03970752513455875,0.039976852968124615,0.03770342666531891,0.041623843782117156,,0.04384133611691023,0.04303707103156392,0.04779157120784271,0.04677881392088742,0.04826593213972705,0.0513355592654424,0.050968399592252814,0.05632907368554897,0.05749182653753624,0.061588330632090765,0.06286736519294658,0.061465294082234674,0.06235728087124538,0.04954405053948472,0.008269860932167274
DE7,0.047387373582592714,0.047628442901112775,0.04956789097556922,0.05128671455851595,0.05312258313998453,0.051430469231864125,0.0500090596122486,0.05138809450481763,0.05050690398642139,0.05110215905490428,0.051243588502854924,0.05192344134925146,0.053315730679394734,0.05024834836282973,0.050389164055392704,0.05226104830421377,,0.052870563674321504,0.05190964254754984,0.050988331823751926,0.05314195160602181,0.05490171528734193,0.06433341283090865,0.0521151885830785,0.05639265051815118,0.05329714391462587,0.05148983917217305,0.05181446460516227,0.05099030762747578,0.05310615375607471,0.05207456478443467,0.0029928710953520273
DE8,0.08117529880478089,0.08282692763002131,0.0843443576533156,0.07788487769391653,0.06259667440061871,0.07012383166484795,0.07066497553904694,0.06973470016278763,0.07431533556585164,0.07282849771420813,0.07345398238652859,0.07049459920409323,0.05885041129277953,0.06794618315088972,0.06924087738805217,0.06875642343268243,,0.07348643006263049,0.07103156391820917,0.07613618200223772,0.07258487231059912,0.07412044572430199,0.07560219413307893,0.08059378185524976,0.07940746392014748,0.0799457158719388,0.08378007729709513,0.07973421926910298,0.08662934200228765,0.08706598746999238,0.07501228377659629,0.0068440843661076375
