region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,,,,,,,,,,,,,,,,,,,0.3892810977428657,0.4074159373560572,0.41777798006463074,0.46122226624405704,0.4426775147928994,0.4391988555078684,0.44015364916773364,0.4506874164598052,0.46815301796007813,0.4688930173546604,0.43854607526506556,0.026471465216717376
AT2,,,,,,,,,,,,,,,,,,,,,0.3705876503927613,0.3573007830492861,0.34404442219289066,0.3144809825673534,0.3112980769230769,0.29672018227096914,0.30309859154929575,0.3051842658010311,0.29322090419703684,0.29697766097240474,0.3192913519916106,0.027736890382656403
AT3,,,,,,,,,,,,,,,,,,,,,0.24013125186437306,0.23528327959465686,0.23817759774247874,0.22429675118858955,0.24602440828402364,0.26408096222116256,0.25674775928297056,0.24412831773916363,0.23862607784288506,0.2341293216729349,0.24216257274332387,0.011428423892951513
BE2,,,,,,,,,,,,,,,,,,,,,,0.9027777777777778,0.9061102831594635,0.8930987821380243,0.9212749003984064,0.8972555746140651,0.9100691775557264,0.9031269160024524,0.8961038961038961,0.8853437628653766,0.9016845634016877,0.010418989535176905
BE3,,,,,,,,,,,,,,,,,,,,,,0.09722222222222222,0.09388971684053651,0.10690121786197564,0.07872509960159363,0.10274442538593481,0.08993082244427363,0.09687308399754752,0.10389610389610389,0.1146562371346233,0.09831543659831235,0.010418989535176868
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,,,,,,,,,,,,,,0.15343892663480296,,,,,,,,,0.1360576923076923,0.14474830947124764,0.01229038865809235
DE2,,,,,,,,,,,,,,,,,,,,,0.2541955119274707,,,,,,,,,0.28725961538461536,0.27072756365604306,0.023379851768400562
DE4,,,,,,,,,,,,,,,,,,,,,0.04653106714962386,,,,,,,,,0.04278846153846153,0.0446597643440427,0.002646421806959703
DE7,,,,,,,,,,,,,,,,,,,,,0.012066785262661552,,,,,,,,,0.027644230769230765,0.019855508015946162,0.011014917351259004
DE8,,,,,,,,,,,,,,,,,,,,,0.009923484150288275,,,,,,,,,0.013221153846153844,0.011572318998221061,0.002331804604059924
DE9,,,,,,,,,,,,,,,,,,,,,0.21057933429067452,,,,,,,,,0.17884615384615385,0.1947127440684142,0.022438747080936905
DEA,,,,,,,,,,,,,,,,,,,,,0.21128662365775772,,,,,,,,,0.20624999999999996,0.20876831182887887,0.0035614307426851018
DEB,,,,,,,,,,,,,,,,,,,,,0.018903915811132307,,,,,,,,,0.02307692307692307,0.020990419444027693,0.002950761735581383
DEC,,,,,,,,,,,,,,,,,,,,,0.00042866022247465554,,,,,,,,,0.000721153846153846,0.0005749070343142509,0.0002068242247573817
DED,,,,,,,,,,,,,,,,,,,,,0.032813940030434884,,,,,,,,,0.03317307692307692,0.03299350847675591,0.0002539481321614513
DEE,,,,,,,,,,,,,,,,,,,,,0.03795786270013075,,,,,,,,,0.038942307692307686,0.03845008519621922,0.0006961077296734512
DEF,,,,,,,,,,,,,,,,,,,,,0.002336198212486873,,,,,,,,,0.002163461538461538,0.0022498298754742058,0.00012214327356292441
DEG,,,,,,,,,,,,,,,,,,,,,0.009537689950061086,,,,,,,,,0.009855769230769229,0.009696729590415159,0.00022491601634366739
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
