region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.3992537313432836,0.3958724202626642,0.40454995054401577,0.39603960396039606,0.3951011714589989,0.39360529217199564,0.3840749414519906,0.3893491124260355,0.38539042821158687,0.38300653594771245,0.377027027027027,0.38589211618257263,0.3853459972862958,0.38174273858921165,0.3817701453104359,0.38311688311688313,0.3786531130876748,0.37858032378580325,0.3871763255240444,0.38184079601990045,0.3857705563761694,0.3826887661141805,0.3805535324107793,0.3744811405883414,0.3775008985264167,0.41232742689422763,0.3774810964083176,0.3764448229711644,0.37708458308338333,0.3718487394957983,0.3854523405525769,0.009302004184230472
AT2,0.2733208955223881,0.28424015009380865,0.27200791295746785,0.2792079207920792,0.27369542066027686,0.25468577728776187,0.2611241217798595,0.25207100591715975,0.2531486146095718,0.25359477124183005,0.2513513513513514,0.24204702627939143,0.24694708276797833,0.24757952973720607,0.2575957727873184,0.26103896103896107,0.26048284625158835,0.25529265255292655,0.24660912453760792,0.2462686567164179,0.24126046282619404,0.2387968078575813,0.24119932022335522,0.28162786500631654,0.22738708518030432,0.19360800086965974,0.2147920604914934,0.21073123251003772,0.21211757648470306,0.2104341736694678,0.24814213933340215,0.022637184004638912
AT3,0.3274253731343284,0.31988742964352723,0.32344213649851633,0.3247524752475247,0.33120340788072417,0.35170893054024255,0.35480093676814994,0.35857988165680477,0.3614609571788413,0.3633986928104575,0.3716216216216216,0.37206085753803597,0.367706919945726,0.3706777316735823,0.3606340819022457,0.35584415584415585,0.360864040660737,0.36612702366127026,0.36621454993834773,0.37189054726368154,0.3729689807976367,0.37851442602823815,0.3782471473658655,0.343890994405342,0.39511201629327897,0.39406457223611263,0.4077268431001891,0.4128239445187979,0.4107978404319137,0.41771708683473385,0.366405520114021,0.026343408005078638
BE2,0.6416938110749185,0.6466165413533834,0.6623282718727403,0.6741258741258742,0.6744487678339819,0.6692094313453537,0.6787003610108303,0.6855995410212278,0.690781796966161,0.6892497200447928,0.6855081178592904,0.6967706622879037,0.6780459093584461,0.6771745475773496,0.6692630317555422,0.6776556776556776,0.6765983860955929,0.6727716727716727,0.6734578381437465,,0.6670448099829834,0.6763005780346821,0.6725352112676057,0.6901805869074492,0.6909632460379903,0.6926541926541927,0.6967324912530392,0.7015370229676816,0.697192513368984,0.6983836883888286,0.679431872448894,0.014455254864991897
BE3,0.3583061889250814,0.3533834586466165,0.3376717281272596,0.3258741258741259,0.3255512321660182,0.33079056865464634,0.3212996389891697,0.31440045897877217,0.30921820303383896,0.31075027995520715,0.3144918821407095,0.30322933771209637,0.32195409064155384,0.32282545242265026,0.33073696824445775,0.3223443223443223,0.32340161390440725,0.32722832722832723,0.32654216185625357,,0.33295519001701646,0.3236994219653179,0.3274647887323944,0.3098194130925508,0.3090367539620097,0.30734580734580735,0.3032675087469608,0.2984629770323184,0.3028074866310161,0.3016163116111714,0.3205681275511061,0.014455254864991883
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
