region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.7421383647798742,0.7455089820359281,0.7492447129909365,0.7459807073954984,0.7550335570469798,0.7925925925925925,0.8136882129277567,0.8119658119658119,0.8122270742358079,0.8232758620689655,0.8396624472573839,0.8398268398268397,0.8444444444444444,0.8428571428571429,0.8356164383561643,0.8333333333333334,0.8356164383561643,0.8451327433628318,0.8458149779735683,0.8333333333333334,0.8411470186618116,0.8481400437636761,0.8516988062442608,0.849905303030303,0.8569424964936886,0.8605792832596957,0.8615167216203485,0.8665217391304347,0.8707368421052631,0.8723936613844872,0.8255625310945109,0.03970300318289055
AT2,0.08805031446540879,0.08982035928143713,0.09063444108761329,0.090032154340836,0.087248322147651,0.06666666666666667,0.0570342205323194,0.05555555555555555,0.05676855895196506,0.056034482758620684,0.05063291139240506,0.04761904761904762,0.04888888888888889,0.047619047619047616,0.045662100456621,0.04504504504504505,0.045662100456621,0.04424778761061947,0.04845814977973569,0.05405405405405406,0.04870277651342741,0.048577680525164126,0.0472910927456382,0.05303030303030303,0.05236091631603553,0.050564555719194895,0.05181347150259068,0.05043478260869565,0.05052631578947368,0.05087572977481234,0.05733039444118317,0.01515513702451521
AT3,0.16981132075471697,0.16467065868263472,0.16012084592145015,0.16398713826366557,0.15771812080536912,0.14074074074074072,0.12927756653992398,0.13247863247863248,0.13100436681222707,0.12068965517241377,0.10970464135021098,0.11255411255411255,0.10666666666666666,0.10952380952380951,0.1187214611872146,0.12162162162162163,0.1187214611872146,0.11061946902654866,0.10572687224669604,0.11261261261261261,0.11015020482476104,0.10328227571115974,0.10101010101010101,0.09706439393939392,0.09069658719027582,0.08885616102110948,0.08666980687706076,0.08304347826086957,0.07873684210526316,0.07673060884070058,0.11710707446430593,0.026215833021351848
BE2,0.7406639004149378,0.7092337917485265,0.6907216494845361,0.681912681912682,0.6705426356589147,0.6792114695340502,0.6623164763458402,0.6660649819494585,0.674061433447099,0.6618075801749271,0.6555386949924127,0.6511254019292604,0.6482982171799028,0.6222596964586846,0.6281859070464767,0.6194144838212635,0.6264880952380952,0.6244477172312223,0.5940438871473355,0.5753052917232021,0.5703794369645043,0.5853658536585366,0.554559043348281,0.5731382978723404,0.5582003988035892,0.5561640346408557,0.5686692869174621,0.5622706669544572,0.5373711340206185,0.5603430671839902,0.6236035071267821,0.05440527588796864
BE3,0.2593360995850622,0.2907662082514735,0.30927835051546393,0.31808731808731816,0.32945736434108525,0.3207885304659498,0.3376835236541599,0.33393501805054154,0.32593856655290104,0.3381924198250729,0.3444613050075872,0.3488745980707395,0.35170178282009723,0.3777403035413153,0.37181409295352325,0.3805855161787365,0.37351190476190477,0.37555228276877756,0.4059561128526646,0.42469470827679784,0.42962056303549573,0.4146341463414634,0.44544095665171896,0.42686170212765956,0.44179960119641076,0.4438359653591441,0.4313307130825379,0.4377293330455429,0.4626288659793814,0.4396569328160098,0.3763964928732179,0.05440527588796863
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.019328956965718454,0.031323185011709595,0.030202272097533952,0.031059878322126158,0.03306066802999319,0.030783878133925732,0.02888624181060155,0.027338603425559948,0.027590847913862716,0.026264591439688713,0.02563259940847848,0.02409638554216867,0.02780711017247448,0.023660403618649958,0.02132701421800948,0.023104693140794226,,0.02146234994543471,0.02117828263380824,0.022365428354814254,0.021079125373603905,0.022041763341067284,0.02308015107007973,0.021837659662134322,0.02330335241210139,0.019864750633981406,0.022277227722772276,0.019976028765481425,0.019032513877874704,0.02097902097902098,0.02448086151805069,0.004092472603199068
DE2,0.1150619985412108,0.18501170960187352,0.19118869492934334,0.19692603266090297,0.2000681663258351,0.19136781973976513,0.18612269207861826,0.1834650856389987,0.18539703903095558,0.1799610894941634,0.1820571804140651,0.17717930545712257,0.1816261879619852,0.1795407098121085,0.17535545023696683,0.1747292418772563,,0.17460894870862134,0.17635733538698498,0.1728582259287339,0.17079597294321222,0.16898685228151586,0.17415023080151068,0.1792336217552534,0.1668029435813573,0.16906170752324598,0.16584158415841582,0.1666000799041151,0.15305313243457574,0.15126978284873022,0.17498892489853257,0.015991109656722353
DE4,0.1814369073668855,0.1062646370023419,0.08700471044610697,0.0627601665065642,0.05385139740967963,0.05299904792129482,0.05300774270399048,0.05105401844532279,0.049461641991924626,0.04701686121919584,0.04534998356884654,0.04358610914245216,0.04047870468145019,0.03966597077244258,0.04434664861205146,0.04187725631768953,,0.037831938886867957,0.036580670003850596,0.03639120545868082,0.03492213308164229,0.03634957463263728,0.0360889634913974,0.036670786979810466,0.04006541291905152,0.03888419273034657,0.03919141914191419,0.03995205753096285,0.04282315622521809,0.04048582995951417,0.05159997052241839,0.029387129774495122
DE7,0.012217359591539023,0.019320843091334892,0.019673039623164315,0.020172910662824207,0.020109066121336068,0.01904157410345922,0.01816557474687314,0.018774703557312252,0.01850605652759085,0.019130998702983137,0.017745645744331257,0.016654854712969524,0.016543470608940514,0.017745302713987467,0.018957345971563982,0.016245487364620937,,0.017824663514005096,0.01732768579129765,0.01743745261561789,0.016831838917728492,0.016241299303944315,0.0180444817456987,0.017717346518335394,0.01717089125102208,0.015638207945900255,0.016089108910891086,0.015181781861765883,0.015463917525773196,0.013986013986013986,0.017377893921821545,0.0018222209631802105
DE8,0.13274981765134938,0.08021077283372365,0.0806317539484622,0.07396733909702209,0.05794137695978188,0.058076801015550614,0.057474687313877316,0.05533596837944664,0.05383580080753701,0.05285343709468223,0.0538941833716727,0.056343019135364984,0.054206265399507216,0.05671537926235211,0.05924170616113745,0.05667870036101083,,0.05783921425973082,0.0562187139006546,0.05420773313115997,0.05462482302973101,0.052590873936581586,0.05371380612673101,0.049443757725587144,0.04987735077677841,0.047759932375317,0.047442244224422433,0.04754294846184579,0.04916732751784299,0.04784688995215311,0.0589114698003798,0.01651473652321752
DE9,0.17706053975200584,0.30913348946135827,0.33250207813798843,0.37720140890169707,0.39775051124744387,0.39543002221516976,0.40530077427039907,0.4265480895915678,0.4236204576043069,0.4296368352788586,0.4226092671705554,0.4340892983699503,0.4318901795142555,0.43806541405706323,0.4306025727826676,0.44765342960288806,,0.4372499090578393,0.437812860993454,0.4461713419257013,0.44277961302501184,0.43658159319412215,0.43474611833822907,0.4223320972393902,0.4304987735077678,0.4475908706677938,0.4451320132013201,0.4486616060727128,0.4516256938937352,0.4405594405594406,0.41382194136671363,0.05630577054237483
DEA,0.03355215171407731,0.06645199063231849,0.07509005264616239,0.08549471661863592,0.08963871847307432,0.0948905109489051,0.09946396664681359,0.0922266139657444,0.09724091520861372,0.10051880674448767,0.10811698981268486,0.1066619418851878,0.10524463217177049,0.10716771050800275,0.1140825998645904,0.10469314079422383,,0.11531465987631867,0.11551790527531768,0.11485974222896134,0.12218813905930472,0.12606341840680588,0.11498111624003356,0.12896580140090647,0.12878168438266557,0.12045646661031277,0.12788778877887788,0.12425089892129447,0.1316415543219667,0.14906146485093855,0.10691400341341371,0.02279494918088954
DEB,0.019511305616338438,0.031323185011709595,0.032696037683568865,0.0329811079090618,0.03612815269256988,0.035226912091399554,0.032757593805836815,0.034255599472990776,0.033647375504710635,0.03372243839169909,0.03187643772592836,0.030829199149539327,0.0337909186906019,0.03061934585942936,0.030128639133378474,0.03032490974729242,,0.030920334667151696,0.03273007316134001,0.029946929492039424,0.029809658644014476,0.030549110595514305,0.032731850608476706,0.03255047383601154,0.029844644317252658,0.030431107354184278,0.027640264026402638,0.027566919696364368,0.02696272799365583,0.027603974972396025,0.031003697512098596,0.003189334109509552
DEC,0.0005470459518599562,0.0008782201405152224,0.0011083402604599615,0.0009606147934678194,0.0013633265167007503,0.0009520787051729609,0.0008933889219773676,0.0009881422924901185,0.0013458950201884255,0.0006485084306095979,0.0006572461386789354,0.0007087172218284903,0.0007039774727208729,0.00069589422407794,0.0006770480704129994,0.0007220216606498196,,0.0007275372862859223,0.00038505968425105896,0.000758150113722517,0.0005505741702060722,0.0003866976024748646,0.000419639110365086,0.0004120313143798929,0.0004088307440719542,0.000422654268808115,0.0004125412541254125,0.00039952057530962855,0.00039651070578905636,0.0007361059992638941,0.0006988385741677487,0.000277096098898977
DED,0.09883296863603211,0.05444964871194379,0.04267110002770852,0.034902337495997436,0.028629856850715757,0.03205331640748968,0.029481834425253133,0.026021080368906456,0.026917900403768506,0.026913099870298312,0.02891883010187316,0.028703047484053855,0.029215065117916227,0.027835768963117596,0.027420446851726475,0.026714801444043323,,0.029101491451436888,0.027724297266076243,0.026914329037149354,0.027450055057417024,0.028615622583139984,0.028535459504825847,0.026782035434693038,0.028209321340964842,0.02704987320371936,0.025990099009900985,0.02477027566919697,0.023394131641554326,0.022451232977548766,0.03160928714960235,0.014273420302809587
DEE,0.13274981765134938,0.06996487119437939,0.0659462454973677,0.05059237912263849,0.05078391274710295,0.05553792446842272,0.05419892793329363,0.05171277997364953,0.05047106325706595,0.05090791180285343,0.05225106802497536,0.04961020552799432,0.04857444561774023,0.04906054279749476,0.04671631685849696,0.048014440433213,,0.046562386322299025,0.04851752021563342,0.04852160727824109,0.04927638823344345,0.05336426914153132,0.05245488879563575,0.052740008240626295,0.053556827473426,0.05325443786982249,0.05239273927392738,0.05393527766679985,0.05789056304520222,0.0563121089436879,0.05537489225545911,0.0157285623370328
