region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,,,0.7370242214532872,0.793418647166362,0.7464212678936606,0.5681818181818182,0.6082191780821917,0.6159554730983302,0.6052631578947368,0.5967413441955194,0.5879732739420935,0.6193853427895981,0.6550976138828633,0.689873417721519,0.7123595505617978,0.7296037296037297,0.7408312958435207,0.7604456824512534,0.7944250871080138,0.7916666666666666,0.8040983606557378,0.7812499999999999,0.7849705749207786,0.7400336889387985,0.7444331983805668,0.7106491302503182,0.7233870967741935,0.7147856517935258,0.7493940862821135,0.7963800904977376,0.7107953088225262,0.07382903714725099
AT2,,,0.08823529411764705,0.0603290676416819,0.081799591002045,0.18560606060606064,0.10684931506849314,0.07235621521335805,0.06414473684210527,0.07942973523421588,0.08463251670378619,0.08510638297872342,0.08676789587852494,0.07594936708860758,0.06292134831460673,0.06060606060606061,0.056234718826405856,0.05849582172701949,0.0627177700348432,0.07407407407407407,0.06311475409836066,0.0664612676056338,0.06971480307831598,0.07580011229646268,0.07135627530364372,0.0615188799321171,0.04959677419354838,0.05643044619422573,0.053805138148327686,0.050339366515837106,0.07372834961874043,0.025627529359021187
AT3,,,0.17474048442906573,0.14625228519195613,0.17177914110429449,0.24621212121212122,0.28493150684931506,0.3116883116883117,0.3305921052631579,0.32382892057026474,0.3273942093541203,0.2955082742316785,0.25813449023861174,0.2341772151898734,0.2247191011235955,0.2097902097902098,0.20293398533007334,0.18105849582172698,0.14285714285714282,0.13425925925925924,0.13278688524590165,0.1522887323943662,0.1453146220009054,0.18416619876473891,0.18421052631578946,0.2278319898175647,0.22701612903225804,0.2287839020122485,0.19680077556955888,0.15328054298642535,0.21547634155873346,0.06241989121289876
BE2,,,,,,,,0.2368421052631579,0.25,0.26666666666666666,0.3181818181818181,0.15,0.3157894736842105,0.2692307692307693,0.27999999999999997,0.32,0.25,0.29411764705882354,0.28571428571428575,0.25,0.3,0.0,0.23529411764705882,0.18749999999999997,0.2474747474747475,0.218978102189781,0.17647058823529413,0.168141592920354,0.1741424802110818,0.16630196936542668,0.2411202720058663,0.053629148851728314
BE3,,,,,,,,0.7631578947368421,0.75,0.7333333333333334,0.6818181818181818,0.85,0.6842105263157895,0.7307692307692308,0.72,0.6799999999999999,0.75,0.7058823529411765,0.7142857142857143,0.7499999999999999,0.7,1.0,0.7647058823529411,0.8125,0.7525252525252525,0.7810218978102189,0.823529411764706,0.8318584070796461,0.8258575197889182,0.8336980306345733,0.7588797279941336,0.07298617416907899
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
