region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.8551307847082495,0.8621359223300972,0.8643122676579926,0.8672897196261683,0.8675623800383877,0.8643410852713178,0.8603773584905661,0.8565891472868218,0.8608870967741936,0.8617021276595744,0.8648018648018648,0.8660714285714286,0.8651685393258427,0.8614318706697459,0.8683035714285714,0.8642533936651584,0.8625954198473281,0.8537735849056605,0.8604651162790697,0.863013698630137,0.8641837644959857,0.8673535093367676,0.868250101502233,0.8715830875122911,0.8723320158102766,0.873019366197183,0.8691954022988506,0.8652764761012184,0.82464,0.8006453926138402,0.8608895164612274,0.014238584364796412
AT2,0.006036217303822938,0.005825242718446602,0.0055762081784386614,0.005607476635514019,0.005758157389635316,0.005813953488372093,0.005660377358490566,0.005813953488372093,0.006048387096774193,0.006382978723404255,0.006993006993006993,0.006696428571428572,0.006741573033707865,0.006928406466512702,0.006696428571428572,0.006787330316742081,0.0050890585241730275,0.007075471698113208,0.004651162790697674,0.004566210045662101,0.005575379125780553,0.0053659583601631256,0.005278116118554608,0.0057030481809242865,0.005533596837944664,0.005941901408450704,0.005747126436781609,0.006560449859418932,0.007679999999999999,0.008605234851201148,0.006091294685732105,0.0008661684464828621
AT3,0.1388329979879276,0.13203883495145632,0.13011152416356878,0.12710280373831778,0.12667946257197696,0.1298449612403101,0.1339622641509434,0.1375968992248062,0.13306451612903225,0.13191489361702127,0.12820512820512822,0.12723214285714288,0.12808988764044943,0.13163972286374134,0.125,0.12895927601809953,0.13231552162849872,0.13915094339622644,0.13488372093023254,0.1324200913242009,0.1302408563782337,0.12728053230306932,0.12647178237921233,0.12271386430678466,0.12213438735177864,0.12103873239436619,0.12505747126436784,0.1281630740393627,0.16768,0.1907493725349588,0.13301918885304048,0.013683599023010324
BE2,0.35992578849721707,0.36585365853658536,0.36993076162215627,0.36767676767676766,0.3792016806722689,0.375886524822695,0.36465781409601633,0.3674321503131524,0.37154989384288745,0.3719090009891197,0.3733480176211454,0.3807531380753138,0.3765560165975103,0.37719298245614036,0.3769931662870159,0.3824561403508772,0.37394451145958985,0.3784764207980653,0.3452566096423017,0.3460925039872408,0.3490725126475548,0.3387096774193548,0.33934426229508197,0.3516666666666667,0.33858267716535434,0.3383789998083924,0.3374277456647399,0.32958560873755216,0.31780339417227027,0.3231090972464273,0.3589591396722487,0.019138138412433857
BE3,0.640074211502783,0.6341463414634146,0.6300692383778438,0.6323232323232323,0.6207983193277311,0.624113475177305,0.6353421859039836,0.6325678496868475,0.6284501061571125,0.6280909990108804,0.6266519823788547,0.6192468619246863,0.6234439834024896,0.6228070175438597,0.623006833712984,0.6175438596491227,0.62605548854041,0.6215235792019347,0.6547433903576984,0.6539074960127591,0.6509274873524452,0.6612903225806451,0.660655737704918,0.6483333333333333,0.6614173228346456,0.6616210001916076,0.6625722543352601,0.6704143912624477,0.6821966058277297,0.6768909027535727,0.6410408603277513,0.019138138412433843
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
