region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.6786324786324787,0.6856469002695417,0.6820662058930519,0.6699321778447627,0.6732594936708861,0.6608467917939764,0.7177512514439738,0.7203682393555811,0.7041776439593527,0.6896268962689627,0.6866338846669646,0.6777011494252873,0.6794425087108014,0.6806406029203956,0.6661442006269592,0.6776212832550861,0.6768410852713179,0.6773526370217167,0.6754574811625403,0.6618942731277534,0.6443036475603979,0.6362212943632568,0.6207743906488677,0.6075611980079961,0.6181169855310977,0.6148118864070633,0.5959265061956986,0.5990929378734432,0.5963954907733181,0.5950888953657826,0.6590110139349438,0.03691527747212139
AT2,0.12683760683760684,0.1236522911051213,0.12222626409603493,0.12773172569706104,0.12579113924050636,0.1313836752509821,0.10242587601078167,0.10817031070195625,0.11328566051938277,0.11890118901189012,0.11354492624050067,0.11172413793103447,0.10900945744151318,0.1031559114460669,0.10135841170323927,0.09650495565988523,0.09544573643410853,0.0951396070320579,0.08611410118406888,0.0919603524229075,0.08627427759355755,0.08918319415448851,0.09656638108520954,0.09728554394332607,0.09936227113762598,0.10041510179877446,0.0961401509756445,0.09668130444172485,0.09370287929920298,0.0920285631011367,0.10506676678324656,0.01340519156161973
AT3,0.19452991452991453,0.19070080862533695,0.19570753001091304,0.20233609645817632,0.2009493670886076,0.2077695329550415,0.1798228725452445,0.1714614499424626,0.18253669552126459,0.1914719147191472,0.19982118909253466,0.21057471264367814,0.21154803384768542,0.21620348563353745,0.23249738766980144,0.22587376108502866,0.2277131782945737,0.2275077559462254,0.2384284176533907,0.24614537444933926,0.2694220748460445,0.2745955114822547,0.2826592282659229,0.2951532580486778,0.28252074333127614,0.2847730117941622,0.3079333428286569,0.3042257576848319,0.30990162992747894,0.3128825415330807,0.23592221928180965,0.04474177222453883
BE2,0.35806451612903223,0.34850455136540964,0.32413793103448274,0.33232628398791536,0.3391003460207613,0.32835820895522394,0.29306930693069305,0.2788844621513944,0.26492537313432835,0.2838095238095238,0.2577319587628866,0.2937743190661478,0.26431718061674014,0.303921568627451,0.2971576227390181,0.2775,0.2693877551020408,0.27572016460905346,0.24999999999999997,0.25046382189239336,0.2700892857142857,0.29545454545454547,0.28,0.29059829059829057,0.28187059577194107,0.31730569948186527,0.3213316446535191,0.3400576368876081,0.3541170871013803,0.34913146043319754,0.29970370470103763,0.03280628139546443
BE3,0.6419354838709678,0.6514954486345904,0.6758620689655171,0.6676737160120846,0.6608996539792388,0.6716417910447762,0.7069306930693069,0.7211155378486056,0.7350746268656717,0.7161904761904762,0.7422680412371133,0.7062256809338521,0.73568281938326,0.696078431372549,0.7028423772609819,0.7224999999999999,0.7306122448979592,0.7242798353909465,0.7500000000000001,0.7495361781076066,0.7299107142857143,0.7045454545454546,0.72,0.7094017094017094,0.718129404228059,0.6826943005181346,0.6786683553464808,0.659942363112392,0.6458829128986197,0.6508685395668025,0.7002962952989624,0.032806281395464446
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
