region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.3993854176366514,0.3960108624403034,0.40467963273768387,0.39618539381361795,0.395259857583165,0.39377269226537576,0.38427386376913186,0.3895383162120675,0.38560120618168114,0.383231190507237,0.3772745653052971,0.38612222375500066,0.3855731492759507,0.3819837218926749,0.38200026353933325,0.38333981085632857,0.37888198757763975,0.3788048204745931,0.3873785213433386,0.3820573272118129,0.3859756846371116,0.38290053895149445,0.3806928294573643,0.3746283448959366,0.3775254034668261,0.4123809546214902,0.3775927042554168,0.37656138896661423,0.377189780277373,0.37194927590363636,0.3856250576604049,0.009289251821494105
AT2,0.2729304404506937,0.28382807378968067,0.271596406357982,0.27878248838818065,0.273249016898714,0.2542633953130158,0.26066129220703355,0.25162356830794663,0.2526699334087197,0.25309688355717824,0.25084243159455455,0.24155055869775144,0.24644742184328056,0.24706856118085252,0.25708261958097245,0.2605259748672108,0.25998225377107365,0.2548142626413219,0.24615573871324886,0.2458121355006825,0.24082033648532483,0.2384860362567369,0.2409156976744186,0.2814667988107037,0.22737597130902568,0.19352323236125357,0.2146674550562543,0.210609331451879,0.21200460965379006,0.21033557956038043,0.24777295018966206,0.02253368191876689
AT3,0.3276841419126548,0.3201610637700159,0.3237239609043341,0.32503211779820135,0.33149112551812093,0.3519639124216085,0.3550648440238346,0.35883811547998584,0.36172886040959923,0.3636719259355849,0.3718830031001482,0.3723272175472479,0.36797942888076873,0.37094771692647266,0.3609171168796943,0.3561342142764607,0.36113575865128655,0.3663809168840849,0.36646573994341247,0.37213053728750467,0.37320397887756357,0.3786134247917688,0.378391472868217,0.34390485629335976,0.3950986252241482,0.3940958130172561,0.40773984068832886,0.4128292795815068,0.4108056100688369,0.4177151445359832,0.366601992149933,0.026261506719299246
BE2,0.6519886363636364,0.6556291390728476,0.6692258477287268,0.6795031055900621,0.6794425087108014,0.6750924784217016,0.6829533116178068,0.6890275611024441,0.6937697993664204,0.6922685656154629,0.6890938686923495,0.6990533134030893,0.6822778073443321,0.6814580031695722,0.6744186046511628,0.6820682068206821,0.6811836962590732,0.6776677667766776,0.6779661016949152,0.683316998783925,0.6721564590838909,0.680628272251309,0.6605145413870246,0.6745182012847966,0.692536491324704,0.6897955355699571,0.6934073898212273,0.698024748804102,0.6939869476200115,0.6950337611415836,0.6816002556491431,0.011794698812608636
BE3,0.34801136363636365,0.3443708609271523,0.3307741522712732,0.3204968944099379,0.32055749128919864,0.3249075215782984,0.3170466883821933,0.3109724388975559,0.3062302006335797,0.30773143438453715,0.31090613130765055,0.3009466865969108,0.3177221926556679,0.31854199683042783,0.32558139534883723,0.3179317931793179,0.3188163037409269,0.3223322332233223,0.3220338983050848,0.31668300121607496,0.3278435409161091,0.3193717277486911,0.3394854586129754,0.32548179871520344,0.30746350867529604,0.3102044644300429,0.3065926101787727,0.3019752511958979,0.30601305237998855,0.3049662388584164,0.3183997443508569,0.011794698812608622
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
