region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.5364889712405027,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405027,0.5364889712405027,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405027,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5364889712405025,0.5385216614560071,0.5403925148334094,0.5259336099585062,0.5272684254110966,0.5136644486692015,0.5319148936170213,0.5319474556816732,0.5492572322126661,0.5512227362855255,0.5547667342799188,0.5364889712405025,0.007173944526343101
AT2,0.15593115476113467,0.15593115476113467,0.15593115476113462,0.15593115476113464,0.15593115476113464,0.15593115476113464,0.15593115476113464,0.15593115476113464,0.15593115476113467,0.15593115476113464,0.15593115476113464,0.15593115476113464,0.15593115476113464,0.15593115476113467,0.15593115476113462,0.15593115476113464,0.15593115476113467,0.15593115476113462,0.15593115476113462,0.15593115476113462,0.14694059848146493,0.1532405294386125,0.16505301982480405,0.16408375724594818,0.16848859315589354,0.15529469307899244,0.16847340900395358,0.153635652853792,0.14857898215465962,0.13552231237322515,0.15593115476113467,0.0059567117144367805
AT3,0.30757987399836284,0.30757987399836284,0.30757987399836273,0.3075798739983628,0.3075798739983628,0.30757987399836273,0.30757987399836284,0.3075798739983628,0.3075798739983628,0.3075798739983628,0.3075798739983628,0.3075798739983628,0.30757987399836273,0.3075798739983628,0.3075798739983628,0.3075798739983628,0.3075798739983628,0.30757987399836273,0.3075798739983628,0.3075798739983628,0.31453774006252794,0.3063669557279781,0.3090133702166897,0.30864781734295516,0.31784695817490494,0.3127904133039863,0.2995791353143731,0.2971071149335418,0.300198281559815,0.30971095334685594,0.3075798739983629,0.003798189816914332
BE2,0.25172182194221404,0.251721821942214,0.251721821942214,0.251721821942214,0.251721821942214,0.25172182194221404,0.251721821942214,0.251721821942214,0.251721821942214,0.251721821942214,0.251721821942214,0.25172182194221404,0.25172182194221404,0.25172182194221404,0.251721821942214,0.251721821942214,0.251721821942214,0.251721821942214,0.25172182194221404,0.25172182194221404,0.251721821942214,0.5,0.0967741935483871,0.0967741935483871,0.0906344410876133,0.3518930957683742,0.35071090047393366,0.32189973614775724,0.22040816326530613,0.23640167364016737,0.251721821942214,0.0746444553301522
BE3,0.7482781780577861,0.748278178057786,0.748278178057786,0.748278178057786,0.748278178057786,0.7482781780577861,0.748278178057786,0.748278178057786,0.7482781780577861,0.748278178057786,0.748278178057786,0.748278178057786,0.7482781780577861,0.7482781780577861,0.7482781780577858,0.748278178057786,0.748278178057786,0.7482781780577861,0.7482781780577861,0.748278178057786,0.748278178057786,0.5,0.9032258064516129,0.9032258064516129,0.9093655589123867,0.6481069042316259,0.6492890995260664,0.6781002638522426,0.7795918367346939,0.7635983263598327,0.748278178057786,0.0746444553301522
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,0.13914420099145772,0.1391442009914577,0.13914420099145766,0.13914420099145766,0.13914420099145774,0.13914420099145774,0.13914420099145772,0.1391442009914577,0.1391442009914577,0.13914420099145772,0.13914420099145772,0.13914420099145766,0.13959141405012665,0.1400885337042654,0.14064440759400618,0.1412701061050836,0.1419796671568203,0.14279116197324598,0.1437282557176735,0.14482255354965945,0.1461172354879388,0.13781982932109613,0.12446100659249645,0.12029250457038393,0.12052593133674216,0.14053426248548198,0.14613618974751338,0.14958044509303173,0.14598798161894663,0.14397905759162302,0.13933603185312093,0.006641831003890619
