region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.39618718700962136,0.3999892522824652,0.39474814098443567,0.3844433945705951,0.3863612232322876,0.3817660660679779,0.39703908254496784,0.4058714244155474,0.40938003091858627,0.40688486276512603,0.4385460752650655,0.4385460752650656,0.43854607526506556,0.4385460752650655,0.4385460752650655,0.43854607526506556,0.4385460752650656,0.43854607526506556,0.4385460752650656,0.43854607526506556,0.3892810977428657,0.4074159373560571,0.4177779800646307,0.46122226624405704,0.44267751479289946,0.4391988555078684,0.4401536491677337,0.45068741645980526,0.46815301796007813,0.4688930173546604,0.42445307233643076,0.02564028982507815
AT2,0.3743259232633962,0.3678558732723928,0.37384187589974643,0.38529902468238414,0.38073899059798794,0.3890639538866157,0.37430977266319,0.36549337670556153,0.3632315202938127,0.36285985412700117,0.31929135199161063,0.3192913519916106,0.31929135199161063,0.3192913519916106,0.3192913519916106,0.3192913519916106,0.3192913519916106,0.3192913519916106,0.3192913519916106,0.3192913519916105,0.3705876503927613,0.35730078304928603,0.3440444221928906,0.3144809825673534,0.31129807692307687,0.2967201822709691,0.30309859154929575,0.3051842658010312,0.29322090419703684,0.29697766097240474,0.33742824017414336,0.030743846266585242
AT3,0.22948688972698242,0.23215487444514207,0.23140998311581784,0.23025758074702068,0.2328997861697244,0.22916998004540648,0.22865114479184226,0.22863519887889108,0.22738844878760095,0.23025528310787283,0.24216257274332387,0.24216257274332387,0.24216257274332387,0.24216257274332384,0.24216257274332387,0.2421625727433238,0.2421625727433239,0.2421625727433239,0.24216257274332384,0.24216257274332384,0.24013125186437306,0.23528327959465684,0.2381775977424787,0.22429675118858955,0.24602440828402364,0.2640809622211625,0.25674775928297056,0.24412831773916366,0.2386260778428851,0.2341293216729349,0.2381186874894259,0.008676716948604257
BE2,0.8812313205963997,0.8801473283390658,0.8759931282754327,0.8876845130525309,0.8919974112307182,0.8921013619633961,0.8877925724718807,0.8872115873202437,0.8916215944381642,0.8873276224206029,0.8973564969225505,0.8898730418748626,0.9020108203606149,0.9048261158989798,0.9071299017351134,0.9081610060442973,0.9076056440607577,0.9091056709750007,0.9074581283029977,0.9016845634016876,0.9016845634016876,0.9027777777777777,0.9061102831594636,0.8930987821380243,0.9212749003984064,0.8972555746140651,0.9100691775557262,0.9031269160024524,0.8961038961038961,0.8853437628653767,0.8971721821234058,0.010593808207946653
BE3,0.11876867940360018,0.11985267166093425,0.12400687172456722,0.11231548694746907,0.10800258876928186,0.10789863803660389,0.11220742752811935,0.11278841267975614,0.10837840556183577,0.11267237757939706,0.10264350307744959,0.11012695812513731,0.0979891796393852,0.09517388410102016,0.09287009826488661,0.09183899395570268,0.0923943559392422,0.09089432902499939,0.09254187169700238,0.09831543659831235,0.09831543659831235,0.09722222222222221,0.09388971684053653,0.10690121786197564,0.07872509960159364,0.10274442538593483,0.08993082244427364,0.09687308399754752,0.1038961038961039,0.1146562371346233,0.10282781787659422,0.010593808207946647
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
