region,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,mean,std_dev
AL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
AT1,0.9350034440982452,0.9350034440982452,0.9442077008498453,0.9367152206741594,0.9367323347691263,0.9326943134337091,0.9326943134337091,0.9363509118526976,0.9363475941451824,0.9249756984415384,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982453,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982453,0.9350034440982452,0.9350034440982452,0.9350034440982452,0.9350034440982451,0.9350034440982452,0.9350034440982452,0.9350264619253787,0.002661759531105383
AT2,0.06406653357332683,0.06406653357332683,0.05493572077671827,0.06244768137827729,0.06244882231794176,0.06649265818313534,0.06649265818313534,0.06280402457548581,0.06280380204632321,0.07415416991725414,0.06406653357332681,0.06406653357332684,0.06406653357332683,0.06406653357332683,0.06406653357332684,0.06406653357332683,0.06406653357332683,0.06406653357332684,0.06406653357332683,0.06406653357332683,0.06406653357332684,0.06406653357332683,0.06406653357332684,0.06406653357332683,0.06406653357332681,0.06406653357332683,0.06406653357332683,0.06406653357332683,0.06406653357332681,0.06406653357332683,0.06406810919971535,0.0026608938614479487
AT3,0.0009300223284279682,0.0009300223284279681,0.0008565783734364343,0.0008370979475634028,0.0008188429129319391,0.0008130283831555595,0.0008130283831555595,0.0008450635718165636,0.0008486038084943459,0.0008701316412074445,0.000930022328427968,0.0009300223284279682,0.0009300223284279681,0.0009300223284279682,0.0009300223284279683,0.0009300223284279681,0.0009300223284279681,0.0009300223284279682,0.0009300223284279682,0.0009300223284279681,0.0009300223284279682,0.0009300223284279683,0.0009300223284279683,0.0009300223284279682,0.0009300223284279681,0.0009300223284279682,0.0009300223284279682,0.0009300223284279682,0.000930022328427968,0.0009300223284279681,0.0009054288749058847,4.27719314259604e-05
BE2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BE3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BG,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CH,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CY,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
CZ,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
DE1,,,,,,,,0.24677898909811694,0.24556213017751477,0.23671013039117356,,,,,,,,,,,,,,,,,,,,,0.24301708322226845,0.005495764452594735
DE2,,,,,,,,0.05649157581764123,0.057199211045364885,0.058174523570712136,,,,,,,,,,,,,,,,,,,,,0.05728843681123942,0.0008450143270167242
DE4,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DE7,,,,,,,,0.03369672943508424,0.03451676528599606,0.03510531594784353,,,,,,,,,,,,,,,,,,,,,0.03443960355630795,0.0007074563169399157
DE8,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DE9,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEA,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEB,,,,,,,,0.6541129831516352,0.6538461538461537,0.6609829488465396,,,,,,,,,,,,,,,,,,,,,0.6563140286147764,0.004045603980556342
DEC,,,,,,,,0.0009910802775024777,0.0009861932938856016,0.0010030090270812437,,,,,,,,,,,,,,,,,,,,,0.000993427532823108,8.650111350839616e-06
DED,,,,,,,,0.0029732408325074326,0.0029585798816568042,0.003009027081243731,,,,,,,,,,,,,,,,,,,,,0.0029802825984693235,2.5950334052519056e-05
DEE,,,,,,,,0.004955401387512388,0.004930966469428008,0.005015045135406219,,,,,,,,,,,,,,,,,,,,,0.004967137664115539,4.325055675419853e-05
DEF,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DEG,,,,,,,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,
DK,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EE,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
EL,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
ES11,0.02505160485144047,0.025051604851440472,0.025051604851440472,0.025051604851440475,0.025051604851440475,0.025051604851440475,0.02483239141228289,0.024169257916341915,0.024817307366504785,0.026387443857925883,0.025051604851440472,0.025051604851440475,0.025051604851440475,0.025051604851440472,0.02505160485144048,0.025051604851440475,0.025051604851440472,0.025051604851440475,0.025051604851440475,0.025051604851440475,0.025051604851440472,0.02505160485144048,0.025051604851440475,0.025051604851440475,0.025051604851440475,0.02505160485144048,0.02505160485144048,0.025051604851440475,0.025051604851440475,0.025051604851440475,0.025051604223016926,0.00030319856976213837
ES12,8.655342656426008e-05,8.655342656426009e-05,8.655342656426008e-05,8.655342656426009e-05,8.655342656426008e-05,8.655342656426008e-05,8.682654339959053e-05,8.69397766774889e-05,8.677380198078597e-05,8.567351901923989e-05,8.655342656426009e-05,8.655342656426008e-05,8.655342656426009e-05,8.655342656426008e-05,8.65534265642601e-05,8.655342656426008e-05,8.655342656426009e-05,8.655342656426008e-05,8.655342656426008e-05,8.655342656426008e-05,8.655342656426008e-05,8.655342656426009e-05,8.655342656426008e-05,8.655342656426009e-05,8.65534265642601e-05,8.655342656426008e-05,8.655342656426008e-05,8.655342656426008e-05,8.655342656426008e-05,8.655342656426009e-05,8.655342439159559e-05,1.8997838602866559e-07
ES13,1.8506840715037553e-05,1.8506840715037557e-05,1.8506840715037553e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8699666916061582e-05,1.8688655522698705e-05,1.8705973422543138e-05,1.8686007432245957e-05,1.850684071503756e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037563e-05,1.8506840715037557e-05,1.8506840715037553e-05,1.8506840715037553e-05,1.8506840715037553e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.850684071503756e-05,1.8506840715037557e-05,1.850684071503756e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.8506840715037557e-05,1.85319387294842e-05,6.515123148730151e-08
ES21,0.009974127867760902,0.009974127867760904,0.009974127867760904,0.009974127867760904,0.009974127867760904,0.009974127867760904,0.00981139940415373,0.009824194764556246,0.010065761029771171,0.010195148763289547,0.009974127867760904,0.009974127867760904,0.009974127867760906,0.009974127867760904,0.009974127867760908,0.009974127867760904,0.009974127867760902,0.009974127867760902,0.009974127867760902,0.009974127867760904,0.009974127867760902,0.009974127867760906,0.009974127867760904,0.009974127867760906,0.009974127867760906,0.009974127867760904,0.009974127867760906,0.009974127867760904,0.009974127867760904,0.009974127867760904,0.009974127617451811,6.051712808069832e-05
ES22,0.016831207661521075,0.016831207661521075,0.016831207661521075,0.01683120766152108,0.016831207661521075,0.016831207661521075,0.016062910528924244,0.016605497345400382,0.01700766518823405,0.017648744917963415,0.01683120766152108,0.016831207661521075,0.01683120766152108,0.016831207661521075,0.01683120766152108,0.01683120766152108,0.01683120766152108,0.016831207661521075,0.016831207661521075,0.016831207661521075,0.016831207661521075,0.01683120766152108,0.016831207661521075,0.01683120766152108,0.01683120766152108,0.01683120766152108,0.01683120766152108,0.016831207661521075,0.016831207661521075,0.01683120766152108,0.016831207239335674,0.00021501644324926732
ES23,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.032301739162819615,0.031518035254051356,0.03216771737067089,0.03227985433685238,0.033241325379465066,0.03230173916281961,0.03230173916281961,0.032301739162819615,0.03230173916281961,0.032301739162819615,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.032301739162819615,0.03230173916281961,0.03230173916281961,0.032301739162819615,0.03230173916281961,0.032301739162819615,0.03230173916281961,0.03230173916281961,0.03230173916281961,0.032301738352478335,0.00022859804065044346
